,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,10515,9458,9734,9058,10023,10359,14156,6050,6090,5725,6498,7670,8426,9442,3553,-,-,-,-,-
1,Market Cap Growth,-8.69%,-8.69%,-31.23%,49.74%,64.59%,80.92%,117.86%,-21.13%,-27.73%,-39.36%,82.88%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10911,10014,10246,9482,10447,10915,14833,6833,6873,6624,7426,8500,9256,10223,4639,-,-,-,-,-
3,PE Ratio,47.76,43.29,44.04,42.21,47.42,49.66,68.05,28.46,28.72,27.32,30.80,34.50,36.09,35.13,12.46,-,-,-,-,-
4,PS Ratio,2.90,2.63,2.82,2.76,3.05,3.19,4.25,1.68,1.68,1.55,1.80,2.28,2.65,3.43,1.38,-,-,-,-,-
5,PB Ratio,4.59,3.40,3.58,3.33,3.76,3.98,5.60,2.39,2.46,2.36,-,3.24,3.65,4.19,1.58,-,-,-,-,-
6,P/FCF Ratio,81.72,73.51,95.97,-,31.22,33.31,34.18,18.77,18.88,34.02,81.61,-220.94,-,69.24,-,-,-,-,-,-
7,P/OCF Ratio,24.54,24.54,32.90,20.87,22.41,26.86,28.27,15.91,15.42,21.77,35.03,112.06,-,54.12,-,-,-,-,-,-
8,EV/Sales Ratio,3.03,2.78,2.97,2.89,3.18,3.36,4.45,1.90,1.89,1.79,2.06,2.53,2.91,3.72,1.81,-,-,-,-,-
9,EV/EBITDA Ratio,32.28,29.85,29.09,25.72,28.09,32.67,44.75,21.34,21.47,20.14,20.62,21.20,22.23,22.11,9.98,-,-,-,-,-
10,EV/EBIT Ratio,49.01,44.98,42.61,36.78,39.86,48.45,66.48,32.06,32.20,29.75,29.23,28.80,29.80,28.65,12.94,-,-,-,-,-
11,EV/FCF Ratio,84.80,77.83,101.02,-,32.54,35.10,35.82,21.20,21.31,39.36,93.26,-244.86,-,74.96,-,-,-,-,-,-
12,Debt / Equity Ratio,0.27,0.27,0.27,0.25,0.25,0.28,0.33,0.38,0.44,0.47,-,0.49,0.52,0.48,0.50,0.65,0.65,-,-,0.85
13,Debt / EBITDA Ratio,2.23,2.34,1.85,2.22,2.12,1.87,1.84,2.94,6.71,2.98,-,3.55,6.05,2.16,1.95,3.17,3.20,-,-,4.21
14,Debt / FCF Ratio,5.85,5.85,7.34,-,2.08,2.34,2.04,2.97,3.40,6.71,-,-33.22,-,7.96,-,5.50,4.08,-,-,18.08
15,Quick Ratio,1.43,1.43,1.37,1.43,1.36,1.42,1.42,1.20,1.26,1.21,-,1.06,1.04,1.12,1.28,-,0.82,-,-,-
16,Current Ratio,1.65,1.65,1.63,1.66,1.62,1.67,1.57,1.46,1.40,1.37,-,1.33,1.23,1.35,1.39,-,1.00,-,-,-
17,Asset Turnover,0.93,0.95,0.80,1.06,0.82,0.78,0.78,0.97,-,-,0.82,1.08,-,-,-,-,-,-,-,
18,Return on Equity (ROE),9.11%,13.21%,8.48%,9.45%,11.40%,13.57%,8.85%,9.31%,-,-,8.79%,10.18%,-,20.53%,14.25%,-,-,-,-,
