,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,558.48,555.03,728.88,1233,1321,1672,2543,3056,753.55,728.32
1,Short-Term Investments,694.22,635.11,705.37,354.85,470.13,574.13,103.69,78.63,0.35,142.66
2,Trading Asset Securities,579.28,790.27,527.36,440.66,500.54,458.29,382.96,201.04,489.3,330.97
3,Cash & Short-Term Investments,1832,1980,1962,2029,2292,2705,3030,3335,1243,1202
4,Cash Growth,-6.61%,-2.37%,-14.42%,-25.00%,-24.35%,-18.91%,143.72%,177.50%,-,-
5,Accounts Receivable,106.72,110.08,205.14,131.35,145.95,155.93,313.99,328.68,390.19,545.78
6,Other Receivables,26.07,31.62,33.85,29.24,24.75,29.76,28.56,12.68,11.03,5.12
7,Receivables,132.79,141.7,242.01,160.59,170.7,185.69,342.55,341.36,401.22,550.89
8,Prepaid Expenses,-,-,0.1,-,2.57,2.11,0.98,0.37,1.34,0.01
9,Restricted Cash,-,26.4,26.91,25.91,37.07,35.77,29.87,-,2.83,-
10,Other Current Assets,99.78,68.35,96.55,60.92,71.54,33.3,34.57,26.91,38.83,28.19
11,Total Current Assets,2065,2217,2327,2276,2574,2962,3438,3704,1687,1781
12,"Property, Plant & Equipment",45.1,60.61,78.69,129.65,154.52,168.19,181.4,185.16,167.99,50.68
13,Long-Term Investments,411.4,326.74,310.92,401.75,421.58,254.36,143.94,36.47,-,-
14,Other Intangible Assets,106.53,111.5,131.26,128.32,110.17,113.34,67.11,37.99,40,44.03
15,Long-Term Deferred Tax Assets,15.62,13.78,1.62,1.95,1.82,1.76,10.85,13.69,8.94,7.19
16,Long-Term Deferred Charges,-,-,-,-,3.09,3.09,12.31,12.79,-,18.87
17,Other Long-Term Assets,16.84,14.14,12.92,15.77,16.36,15.71,16.34,11.72,21.01,1.39
18,Total Assets,2660,2744,2863,2953,3282,3518,3870,4002,1925,1903
19,Accounts Payable,79.27,67.19,70.38,66.87,47.33,37.1,124.55,95.7,122.18,84.83
20,Accrued Expenses,40.41,76.41,45.28,81.56,56.34,82.01,34.98,95.04,40.79,61.11
21,Current Portion of Leases,31.16,29.29,28.36,39.92,40.01,37.1,36.2,32.07,27.62,14.62
22,Current Income Taxes Payable,5.77,5.74,6.69,6.69,6.63,7.79,7.81,6.54,19.34,32.58
23,Current Unearned Revenue,253.53,194.19,204,64.44,48.32,62.21,58.87,65.25,53.19,62.38
24,Other Current Liabilities,9.68,10.73,12.66,9.47,9.76,13.05,58.04,15.68,29.86,10.92
25,Total Current Liabilities,419.82,383.54,367.37,268.95,208.38,239.26,320.45,310.27,292.97,266.44
26,Long-Term Debt,-,-,-,-,-,-,-,-,2552,1260
27,Long-Term Leases,0.76,15,29.04,62.8,83.18,98.78,117.56,132.78,125.3,22.64
28,Long-Term Unearned Revenue,10.73,9.92,23.6,28.6,17.34,10.51,4.81,9.5,10.62,10.17
29,Long-Term Deferred Tax Liabilities,2.9,1.23,1.32,2.79,3.95,3.13,-,-,-,-
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,166.04,174.2
31,Total Liabilities,434.21,409.69,421.33,363.13,312.85,351.69,442.82,452.55,3147,1733
32,Common Stock,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0,577.98
33,Additional Paid-In Capital,6980,6965,6933,6947,6940,6951,6907,6907,2024,-
34,Retained Earnings,-3129,-2995,-2912,-2679,-2220,-1911,-1693,-1559,-1587,-588.97
35,Comprehensive Income & Other,-1626,-1636,-1580,-1677,-1752,-1874,-1787,-1799,-1658,181.09
36,Shareholders' Equity,2226,2334,2441,2590,2969,3166,3427,3549,-1222,170.1
37,Total Liabilities & Equity,2660,2744,2863,2953,3282,3518,3870,4002,1925,1903
38,Total Debt,31.92,44.3,57.39,102.72,123.19,135.88,153.76,164.84,2705,1297
39,Net Cash (Debt),1800,1936,1904,1926,2169,2569,2876,3171,-1462,-94.96
40,Net Cash Growth,-5.47%,0.54%,-12.20%,-25.03%,-24.59%,-18.98%,-,-,-,-
41,Net Cash Per Share,2.29,2.46,2.43,2.45,2.75,3.24,3.66,4.24,-4.56,-0.27
42,Filing Date Shares Outstanding,798.57,799.36,799.36,800.02,789.77,812.64,815.51,815.51,815.51,354.77
43,Total Common Shares Outstanding,798.57,799.36,799.36,800.02,789.77,812.64,815.51,786.11,301.85,354.77
44,Working Capital,1645,1833,1960,2007,2366,2722,3118,3394,1394,1515
45,Book Value Per Share,2.79,2.92,3.05,3.24,3.76,3.90,4.20,4.51,-4.05,0.48
46,Tangible Book Value,2119,2222,2310,2462,2859,3053,3360,3511,-1262,126.07
47,Tangible Book Value Per Share,2.65,2.78,2.89,3.08,3.62,3.76,4.12,4.47,-4.18,0.36
48,Machinery,-,39.38,-,42.5,-,39.11,-,24.67,-,16.79
49,Leasehold Improvements,-,25.85,-,25.63,-,23.65,-,15.31,-,8.25
