,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1454,1046,1567,3229,3064,4550,6534,12102,17126,-,-
1,Market Cap Growth,-67.61%,-67.61%,-48.87%,-29.02%,-53.10%,-62.40%,-61.85%,-,-,-,-
2,Enterprise Value,-480,-1087,-491,1052,523,1397,3074,8337,18729,-,-
3,Last Close Price,1.82,1.31,1.96,4.04,3.83,5.63,8.04,14.84,20.89,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,-19.00,-,-
5,Forward PE,-,40.64,27.63,-,247.29,-,6.87,11.10,14.64,-,-
6,PS Ratio,1.41,1.03,1.57,4.55,4.64,5.57,5.78,8.67,11.93,-,-
7,PB Ratio,0.61,0.44,0.61,1.22,1.05,1.31,1.68,2.94,4.06,-,-
8,P/TBV Ratio,0.46,0.46,0.64,1.29,1.10,1.36,1.74,2.99,4.11,-,-
9,P/FCF Ratio,120.50,-,-17.47,-,-,-,-,-,32.58,-,-
10,P/OCF Ratio,76.31,-,-17.88,-,-,-,-,-,31.57,-,-
11,EV/Sales Ratio,-,-,-,1.48,0.79,1.71,2.72,5.97,13.05,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,145.87,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-,-,163.83,-,-
14,EV/FCF Ratio,-39.77,-,-,-,-,-,-,-,35.63,-,-
15,Debt / Equity Ratio,0.01,0.01,0.02,0.02,0.04,0.04,0.04,0.04,0.05,-2.21,7.62
16,Debt / FCF Ratio,2.84,-,-0.54,-,-,-,-,-,0.37,10.32,-
17,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,2.61%,23.07%,20.59%
18,Earnings Yield,-16.00%,-22.25%,-22.19%,-23.18%,-28.36%,-13.55%,-5.70%,-0.57%,-5.26%,-,-
19,FCF Yield,0.83%,1.15%,-5.73%,-14.65%,-19.39%,-8.67%,-3.32%,0.79%,3.07%,-,-
20,Buyback Yield / Dilution,-0.23%,-0.29%,-0.17%,0.63%,0.93%,-0.35%,-6.02%,-145.45%,-110.66%,9.72%,-
21,Total Shareholder Return,-0.23%,-0.29%,-0.17%,0.63%,0.93%,-0.35%,-6.02%,-145.45%,-110.66%,9.72%,-
