,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Cash & Equivalents,404.29,634.2,444.99,492.67,443.61,630.17,435.88,590.32,379.57,506.31,Upgrade
1,Short-Term Investments,13.12,10.56,11.19,11.13,10.94,11.59,-,11.7,-,11.22,Upgrade
2,Cash & Short-Term Investments,417.41,644.76,456.18,503.81,454.55,641.76,435.88,602.02,379.57,517.53,Upgrade
3,Cash Growth,-8.50%,27.98%,0.36%,-21.50%,4.28%,6.60%,14.83%,16.33%,988.27%,17.73%,Upgrade
4,Accounts Receivable,1106,965.35,863.09,865.26,761.79,731.26,770.86,763.99,723.75,734.51,Upgrade
5,Other Receivables,54.18,41.49,42.01,116.91,30.18,42.8,53.41,44.54,44.71,37.24,Upgrade
6,Receivables,1160,1007,905.1,982.17,791.97,774.06,824.27,808.54,768.46,771.76,Upgrade
7,Inventory,797.82,775.84,721.35,586.85,558.04,509.16,590.34,585.01,514.24,515.16,Upgrade
8,Other Current Assets,457.51,384.56,334.68,389.53,333.21,313.25,371.01,255.74,245.93,214.26,Upgrade
9,Total Current Assets,2833,2812,2417,2462,2138,2238,2221,2251,1908,2019,Upgrade
10,"Property, Plant & Equipment",331.25,328.55,308.69,294.08,336.25,348.44,361.96,372.5,322.6,317.37,Upgrade
11,Goodwill,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,3.13,3.13,Upgrade
12,Other Intangible Assets,74.61,76.72,78.84,80.86,139.82,143.03,146.28,152.19,149.96,153.08,Upgrade
13,Long-Term Deferred Tax Assets,7.75,7.38,7,6.8,8.65,8.16,10.09,9.29,6.28,6.03,Upgrade
14,Long-Term Deferred Charges,18.3,16.98,15.3,16.34,17.77,19.21,7.88,8.09,5.13,5.5,Upgrade
15,Total Assets,3271,3248,2833,2866,2646,2763,2754,2799,2395,2504,Upgrade
16,Accounts Payable,1174,936.49,1355,876.78,818.41,809.77,828.29,938.61,1040,833.56,Upgrade
17,Accrued Expenses,49.63,58.35,65.67,86.48,64.65,47.84,57.53,55,53.68,52.5,Upgrade
18,Short-Term Debt,948.84,1338,678.15,1166,1024,1193,1176,1086,593.42,934.78,Upgrade
19,Current Portion of Long-Term Debt,-,-,-,-,31.75,31.78,31.79,31.84,31.59,26.85,Upgrade
20,Current Portion of Leases,8.78,6.59,4.13,4.15,2.88,2.97,2.75,2.69,1.95,2.31,Upgrade
21,Current Income Taxes Payable,11.48,12.85,27.44,27.05,5.08,6.41,8.98,14.28,10.47,6.2,Upgrade
22,Current Unearned Revenue,2.34,19.49,2.93,13.53,67.64,46.66,1.88,5.01,1.63,2.86,Upgrade
23,Other Current Liabilities,442.54,247.55,112,81.98,24.57,20.44,22.33,28.4,20.27,19.18,Upgrade
24,Total Current Liabilities,2638,2619,2246,2256,2039,2159,2130,2162,1753,1878,Upgrade
25,Long-Term Debt,-,-,-,-,71.07,86.87,102.66,118.46,134.25,126.35,Upgrade
26,Long-Term Leases,39.66,30.39,13.8,15.75,11.29,12.49,14.07,15.33,13.72,14.38,Upgrade
27,Long-Term Unearned Revenue,-,-,-,-,0.08,0.3,0.53,0.76,0.99,1.22,Upgrade
28,Long-Term Deferred Tax Liabilities,0.84,0.6,0.84,0.06,0.01,0.4,0.01,0.31,-,-,Upgrade
29,Total Liabilities,2678,2650,2260,2271,2122,2259,2247,2297,1902,2020,Upgrade
30,Common Stock,108,108,108,108,108,108,108,108,108,108,Upgrade
31,Additional Paid-In Capital,278,278,278.99,278,278,278,278,278,278,278,Upgrade
32,Retained Earnings,205.16,210.82,185.82,208.07,137.75,117.11,119.92,115.56,105.88,96.6,Upgrade
33,Comprehensive Income & Other,0.99,0.99,-,0.99,0.99,0.99,0.99,0.99,0.99,0.99,Upgrade
34,Total Common Equity,592.15,597.81,572.81,595.06,524.74,504.1,506.91,502.55,492.87,483.59,Upgrade
35,Shareholders' Equity,592.15,597.81,572.81,595.06,524.74,504.1,506.91,502.55,492.87,483.59,Upgrade
36,Total Liabilities & Equity,3271,3248,2833,2866,2646,2763,2754,2799,2395,2504,Upgrade
37,Total Debt,997.27,1375,696.08,1186,1141,1327,1327,1254,774.93,1105,Upgrade
38,Net Cash (Debt),-579.87,-729.76,-239.9,-681.72,-686.55,-685.4,-891.38,-652.46,-395.36,-587.16,Upgrade
39,Net Cash Per Share,-5.37,-6.76,-2.22,-6.31,-6.36,-6.35,-8.25,-6.04,-3.66,-5.44,Upgrade
40,Filing Date Shares Outstanding,108,108,108,108,108,108,108,108,108,108,Upgrade
41,Total Common Shares Outstanding,108,108,108,108,108,108,108,108,108,108,Upgrade
42,Working Capital,194.72,193.14,171.59,206.77,98.68,79.3,91.95,89.32,154.72,140.44,Upgrade
43,Book Value Per Share,5.48,5.54,5.30,5.51,4.86,4.67,4.69,4.65,4.56,4.48,Upgrade
44,Tangible Book Value,511.52,515.06,487.95,508.18,378.9,355.04,354.61,344.33,339.78,327.38,Upgrade
45,Tangible Book Value Per Share,4.74,4.77,4.52,4.71,3.51,3.29,3.28,3.19,3.15,3.03,Upgrade
46,Buildings,298.21,298.21,292.14,269.2,329.71,329.71,329.71,329.85,189.81,189.81,Upgrade
47,Machinery,81.67,81.06,77.93,76.69,100.76,101.72,101.79,100.26,62.59,62.33,Upgrade
48,Construction In Progress,-,-,0.2,-,-,-,1.54,1.5,124.15,110.58,Upgrade
