,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,3026,2374,2171,1592,2069,1331,1450,1161,1305,1290,1562,967.44,950.34,788.61,417.75,153.62
1,Other Revenue,-,-,-,-,-,-,-,-,-,-,-,-,0.09,-,-,-
2,Revenue,3026,2374,2171,1592,2069,1331,1450,1161,1305,1290,1562,967.44,950.44,788.61,417.75,153.62
3,Revenue Growth (YoY),46.22%,78.33%,49.67%,37.09%,58.52%,3.17%,-7.16%,20.04%,37.35%,63.60%,273.98%,529.76%,-,-,-,-
4,Cost of Revenue,1311,718.35,799.46,591.08,899.56,573.28,558.06,421.1,718.09,676,736.33,339.03,402.18,469.65,59.65,110.1
5,Gross Profit,1715,1655,1371,1001,1170,757.74,892.32,740.21,587.31,614.15,825.96,628.42,548.26,318.96,358.11,43.52
6,"Selling, General & Admin",94.92,83.72,75.27,63.45,79.42,53.29,61.09,51.53,62.65,55.15,51.59,46.16,42.2,34.13,34.37,31.6
7,Research & Development,1096,682.54,556.68,574.57,713.49,442.3,402.76,433.88,383.75,333.81,332.5,363.53,237.91,46.97,286.17,173.62
8,Other Operating Expenses,97.32,-100.52,24.34,20.39,119.79,-2.31,4.28,-57.84,69.81,-1.86,-28.71,-0.17,40.87,-21.99,10.29,-5.26
9,Operating Expenses,1300,662.79,657.47,656.33,917.26,492.53,467.91,429.22,512.54,391.5,358.25,412.98,317.54,62,332.39,200
10,Operating Income,414.68,992.49,713.9,344.67,252.45,265.21,424.41,311,74.77,222.65,467.71,215.43,230.72,256.95,25.71,-156.48
11,Interest Expense,-20.87,-6.51,-9.53,-6.92,-7.7,-10.28,-11.56,-6.69,-9.99,-4.84,-8.13,-6.53,-5.14,-5.53,-7.1,-6.82
12,Interest & Investment Income,59.95,48.3,58.08,69.2,76.7,78.07,110.73,39.65,69.93,32.18,15.7,2.26,6.74,5.28,18.23,9.09
13,Currency Exchange Gain (Loss),-,0.14,-0.14,-,-,0.83,-0.83,-,0.22,-0.58,0.58,-,9.6,-4.68,8.35,-3.67
14,Other Non Operating Income (Expenses),9.86,-13.78,-1.32,-0.06,0.63,-4.26,1.78,0.43,-5.68,1.63,0.73,-0.12,-4.54,2.54,0.63,-0.48
15,EBT Excluding Unusual Items,463.62,1021,760.99,406.88,322.08,329.56,524.52,344.39,129.25,251.04,476.59,211.04,237.38,254.57,45.82,-158.35
