,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,360757,348085,240004,163411,179578,164982,125468,158683,179369,93252,136718,-,-,-,-,-,-
1,Market Cap Growth,110.98%,110.98%,91.29%,2.98%,0.12%,76.92%,-8.23%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,357263,344544,235998,156381,171743,157146,117450,151262,170818,84701,137811,-,-,-,-,-,-
3,Last Close Price,155.49,149.79,103.28,70.32,77.14,70.87,53.90,68.17,77.02,40.04,58.70,-,-,-,-,-,-
4,PE Ratio,187.34,180.26,127.17,113.55,136.84,130.61,119.13,157.85,199.38,116.03,159.94,-,-,-,-,-,-
5,Forward PE,121.16,146.81,116.35,87.74,106.32,111.97,80.80,112.71,132.29,66.17,105.04,-,-,-,-,-,-
6,PS Ratio,39.48,37.99,29.25,22.81,27.87,27.44,23.91,30.47,33.72,18.19,28.66,-,-,-,-,-,-
7,PB Ratio,17.81,15.37,10.90,7.71,8.64,8.12,6.42,8.28,9.63,5.12,7.61,-,-,-,-,-,-
8,P/TBV Ratio,21.58,21.58,15.59,10.90,12.10,11.57,8.75,11.44,13.49,7.28,11.01,-,-,-,-,-,-
9,P/FCF Ratio,11333.39,10935.27,-383.05,-,-,-,164.19,1347.48,-,-65.46,-,-,-,-,-,-,-
10,P/OCF Ratio,356.25,356.25,826.75,-,-,-,68.44,133.18,-,-2155.85,-,-,-,-,-,-,-
11,EV/Sales Ratio,38.99,37.61,28.76,21.83,26.66,26.14,22.38,29.05,32.11,16.53,28.89,-,-,-,-,-,-
12,EV/EBITDA Ratio,95.09,101.83,76.42,66.46,86.31,80.67,66.87,91.95,101.70,53.82,82.98,-,-,-,-,-,-
13,EV/EBIT Ratio,144.89,139.73,102.45,99.21,133.47,125.41,109.22,146.45,158.73,86.38,121.26,-,-,-,-,-,-
14,EV/FCF Ratio,11223.62,10824.03,-376.66,-,-,-,153.70,1284.46,-,-59.45,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.13,0.13,0.15,0.07,0.07,0.06,0.08,0.06,0.06,0.06,0.08,-,0.18,0.13,-,0.22,0.16
16,Debt / EBITDA Ratio,0.77,0.96,0.71,0.37,0.67,0.71,0.95,0.47,0.58,1.06,1.17,-,0.79,0.61,-,2.63,-
17,Debt / FCF Ratio,91.17,91.17,-5.27,-,-,-,2.16,9.77,-,-0.78,-,-,-,-5.35,-,-,-
18,Asset Turnover,0.44,0.37,0.36,0.28,0.35,0.23,0.26,0.21,0.24,-,-,0.37,-,-,-,-,
19,Inventory Turnover,1.05,1.12,0.90,1.54,1.70,4.09,2.92,2.24,1.53,2.60,-,-,1.17,-,-,-,-
20,Quick Ratio,2.53,2.53,2.90,4.94,9.27,8.51,8.25,12.01,10.91,9.10,7.99,-,1.44,1.48,-,2.12,-
21,Current Ratio,4.15,4.15,4.77,8.13,12.92,11.07,10.11,15.03,13.86,10.91,9.60,-,3.21,2.48,-,3.80,-
22,Return on Equity (ROE),10.93%,16.31%,15.85%,7.68%,9.73%,6.72%,11.85%,7.20%,4.43%,-,-,12.52%,-,-,4.14%,-,
23,Return on Assets (ROA),3.73%,9.66%,7.49%,3.73%,2.70%,2.84%,4.71%,3.52%,0.85%,-,-,5.19%,-,-,-,-,
24,Return on Capital (ROIC),4.08%,10.34%,7.96%,3.94%,2.95%,3.20%,5.30%,3.98%,0.96%,-,-,7.28%,-,-,0.97%,-,
25,Return on Capital Employed (ROCE),10.20%,10.20%,9.77%,7.00%,5.82%,5.83%,4.83%,4.72%,5.08%,4.77%,5.59%,-,7.99%,4.01%,-,-1.53%,-
26,Earnings Yield,0.54%,0.55%,0.79%,0.88%,0.73%,0.77%,0.84%,0.63%,0.50%,0.86%,0.63%,-,-,-,-,-,-
27,FCF Yield,0.01%,0.01%,-0.26%,-0.43%,0.12%,-0.06%,0.61%,0.07%,-0.38%,-1.53%,-1.02%,-,-,-,-,-,-
28,Dividend Yield,0.10%,0.11%,-,-,-,0.16%,-,-,-,0.10%,-,-,-,-,-,-,-
29,Payout Ratio,14.60%,1.34%,0.98%,46.76%,2.02%,2.59%,2.56%,22.81%,1.82%,3.21%,3.69%,1.96%,3.24%,1.49%,1.96%,10.04%,-
30,Buyback Yield / Dilution,0.54%,2.08%,-2.59%,3.06%,-0.44%,-3.18%,-5.40%,-18.87%,-16.81%,-19.89%,1.11%,5.33%,-1.24%,-,-,-,-
31,Total Shareholder Return,0.65%,2.19%,-2.59%,3.06%,-0.44%,-3.03%,-5.40%,-18.87%,-16.81%,-19.79%,1.11%,5.33%,-1.24%,-,-,-,-
