,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,8797,9038,7442,10147,10321,10981,10559,9798,11208,11184,-,993.57,1960,-,1349,-
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.41,-
2,Cash & Short-Term Investments,8797,9038,7442,10147,10321,10981,10559,9798,11208,11184,-,993.57,1960,-,1402,2168
3,Cash Growth,-14.77%,-17.70%,-29.52%,3.57%,-7.91%,-1.82%,-,886.12%,471.81%,-,-,-54.17%,-,-,-,-
4,Accounts Receivable,2275,1004,1507,1278,1524,1356,1183,1485,1243,1254,-,689.89,340.36,-,306.19,-
5,Other Receivables,26.77,26.14,29.08,24.19,17.39,15.48,13.32,11.25,10.78,11.34,-,10.68,10.38,-,10.76,-
6,Receivables,2302,1031,1536,1302,1541,1372,1197,1496,1254,1265,-,700.57,350.74,-,316.95,-
7,Inventory,5425,3896,2455,1709,1074,686.24,883.74,1105,1095,1115,-,1203,1124,-,554.56,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,0.32,-,-,-,0.32,-,-,-
9,Other Current Assets,1682,2616,3353,2799,2496,2098,2065,1950,1391,1395,-,875.98,435.39,-,807.12,-
10,Total Current Assets,18207,16581,14786,15958,15432,15138,14704,14349,14949,14960,-,3773,3871,-,3080,-
11,"Property, Plant & Equipment",638.55,516.63,453.69,371.48,400.11,430.3,379.4,326.53,341.95,285.26,-,153.99,156.04,-,146.88,-
12,Long-Term Investments,4416,20,3358,20,1285,20,857.65,-,-,217.63,-,213.73,211.81,-,207.88,-
13,Other Intangible Assets,4123,4431,4221,4212,4443,3710,3896,4057,4246,4421,-,4424,3818,-,3971,-
14,Long-Term Deferred Tax Assets,49.7,15.38,14.28,17.73,14.64,17.71,22.28,24.71,11.93,8.23,-,7.49,6.37,-,5.4,-
15,Long-Term Deferred Charges,370.99,189.07,584.11,654.43,516.9,1246,940.23,735.03,547.28,249.2,-,320.88,984.3,-,691.49,-
16,Other Long-Term Assets,753.9,5309,915.9,2093,810.68,3201,2071,2717,1839,1738,-,1408,1410,-,1248,-
17,Total Assets,28559,27061,24333,23326,22903,23762,22871,22210,21934,21879,-,10301,10457,-,9352,-
18,Accounts Payable,735.37,649,830.06,397.37,321.78,308.73,277.85,332.32,342.45,322.94,-,156.2,292.05,-,177.82,-
19,Accrued Expenses,783.28,530.19,528.93,351.74,647.79,335.48,429.72,214.94,412.57,224.35,-,164.35,328.55,-,177.99,-
20,Short-Term Debt,1800,2200,400,350,350,700,200,-,200,540,-,300,150,-,140,-
21,Current Portion of Long-Term Debt,100.62,25.87,1.37,23.24,21.21,61.9,21.16,388.24,361.73,420.42,-,88.99,88.57,-,179.83,-
22,Current Portion of Leases,21.46,-,27.69,-,23.66,-,25.63,-,24.93,-,-,13.23,16.61,-,21.28,-
23,Current Income Taxes Payable,11.22,49.91,-,106.59,-,76.96,-,84.77,-,42.41,-,0.11,-,-,-,-
24,Current Unearned Revenue,903.47,15,15,2.85,2.85,-,-,-,-,4.7,-,393.1,172.34,-,93.9,-
25,Other Current Liabilities,32.8,4.28,14.68,3.79,27.26,14.5,24.22,15.31,28.33,4.08,-,59.51,513.96,-,20.13,-
26,Total Current Liabilities,4388,3474,1818,1236,1395,1498,978.58,1036,1370,1559,-,1175,1562,-,810.95,-
27,Long-Term Debt,898.9,998.6,998.3,998.7,858.9,870.31,869.2,679.6,479.8,489.7,-,740.8,540.8,-,385,-
28,Long-Term Leases,81.14,76.61,20.8,24.74,30.97,21.76,33.98,39.68,46.57,54.69,-,31.16,31.58,-,521.46,-
29,Long-Term Unearned Revenue,515.19,466.05,271.85,264.08,278.08,167.15,171.82,161.82,150.52,156.34,-,169.83,177.76,-,191.51,-
30,Long-Term Deferred Tax Liabilities,-,-,-,-,-,9.51,9.51,13.91,3.01,2.64,-,2.06,1.77,-,1.54,-
31,Other Long-Term Liabilities,24.08,25.57,24.11,25.57,19.93,1655,1655,1655,1654,1652,-,1653,1882,-,1882,-
32,Total Liabilities,5908,5041,3133,2549,2582,4221,3718,3585,3704,3914,-,3772,4196,-,3792,-
33,Common Stock,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,-,2024,2024,-,2024,-
34,Additional Paid-In Capital,14524,14502,14461,14413,14351,14027,13964,13902,13839,13775,-,3363,3295,-,3127,-
35,Retained Earnings,3735,3330,2658,2348,2060,1698,1474,1129,889.58,738.02,-,229.37,85.91,-,-282.91,-
36,Treasury Stock,-332.39,-332.39,-230.02,-30.01,-30.01,-,-,-,-,-,-,-,-,-,-,-
37,Total Common Equity,20251,19824,19213,19056,18705,18049,17763,17355,17053,16837,-,5616,5406,-,4869,4831
38,Minority Interest,2401,2196,1987,1721,1615,1492,1391,1269,1177,1128,-,912.46,855.79,-,690.34,-
39,Shareholders' Equity,22652,22020,21201,20777,20320,19541,19154,18624,18230,17965,-,6529,6261,-,5559,5577
40,Total Liabilities & Equity,28559,27061,24333,23326,22903,23762,22871,22210,21934,21879,-,10301,10457,-,9352,-
41,Total Debt,2902,3301,1448,1397,1285,1654,1150,1108,1113,1505,-,1174,827.56,-,1248,872.51
42,Net Cash (Debt),5895,5737,5994,8751,9037,9327,9409,8690,10095,9680,-,-180.62,1133,-,154.06,1296
43,Net Cash Growth,-34.76%,-38.49%,-36.30%,0.70%,-10.48%,-3.64%,-,-,791.36%,-,-,-,-,-,-,-
44,Net Cash Per Share,2.49,2.47,2.71,3.64,3.73,4.12,4.13,3.63,4.30,4.51,-,-0.09,0.58,-,0.08,0.64
45,Filing Date Shares Outstanding,2320,2322,2208,2324,2324,2324,2324,2324,2324,2324,2324,2024,2024,2172,2024,2024
46,Total Common Shares Outstanding,2320,2322,2208,2324,2324,2324,2324,2324,2324,2324,2024,2024,2024,2172,2024,2024
47,Working Capital,13819,13106,12968,14722,14038,13640,13725,13314,13579,13401,-,2598,2309,-,2269,-
48,Book Value Per Share,8.73,8.54,8.70,8.20,8.05,7.77,7.64,7.47,7.34,7.24,-,2.77,2.67,-,2.41,2.39
49,Tangible Book Value,16128,15393,14992,14844,14262,14340,13866,13297,12807,12416,-,1193,1588,-,897.38,569.02
50,Tangible Book Value Per Share,6.95,6.63,6.79,6.39,6.14,6.17,5.97,5.72,5.51,5.34,-,0.59,0.78,-,0.44,0.28
51,Buildings,19.47,-,19.47,-,19.47,-,19.47,-,19.47,-,-,19.47,19.47,-,19.47,-
52,Machinery,801.82,-,631.87,-,527,-,462.83,-,380.76,-,-,183.13,173.58,-,139.03,-
