,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021,Q4 2020,Q3 2019,Q3 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '19 Sep 30, 2019","Sep '18 Sep 30, 2018"
0,Cash & Equivalents,21156,5991,3834,-,32157,17134,12890,15412,942.05,-,-,2545,16436,-,-,2537,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,6000,-,-,8000,-,-,-,6000,-
2,Accounts Receivable,15676,10988,21376,-,15744,9018,23094,22482,29913,-,-,20366,18997,-,-,445.77,-
3,Other Receivables,-,64.62,61.71,-,25.86,77.01,1049,1144,24.49,-,-,275.64,111.71,-,-,181.03,-
4,Inventory,727.97,787.37,902.61,-,717.36,734,578.86,589.55,459.65,-,-,226,234.48,-,-,152.24,-
5,Prepaid Expenses,127.18,210.56,77.67,-,39.36,106.09,96.24,99.31,150.28,-,-,88.6,125.76,-,-,147.51,-
6,Other Current Assets,180.27,165.22,214.11,-,54.5,353.89,88.47,197,130.5,-,-,210.61,488.34,-,-,149,-
7,Total Current Assets,37868,18207,26466,-,48738,27423,37797,39924,37620,-,-,31712,36392,-,-,9613,-
8,"Property, Plant & Equipment",164000,168846,173711,-,183231,188149,193068,197891,202830,-,-,218062,223233,-,-,261537,-
9,Other Intangible Assets,93.99,93.99,93.99,-,93.99,93.99,93.99,93.99,93.99,-,-,93.99,93.99,-,-,93.99,-
10,Other Long-Term Assets,1929,2024,2052,-,2539,1701,1602,1488,1379,-,-,679.08,335.65,-,-,285.07,-
11,Total Assets,203891,189171,202323,-,234602,217368,232561,239397,241923,-,-,250547,260055,-,-,271529,-
12,Accounts Payable,3427,1332,2323,-,1809,1110,2511,2472,2846,-,-,1863,1823,-,-,401.8,-
13,Accrued Expenses,10617,4787,6435,-,7275,5829,2600,3872,5094,-,-,2285,3428,-,-,369.62,-
14,Short-Term Debt,-,6259,12498,-,31233,24974,24974,24974,24974,-,-,25274,25724,-,-,24224,-
15,Current Income Taxes Payable,2744,3515,3805,-,5265,3423,4256,3102,5079,-,-,2193,4651,-,-,1848,-
16,Other Current Liabilities,518.53,527.7,504.8,-,11227,484.44,576.43,586.9,1539,-,-,426.68,7874,-,-,1604,-
17,Total Current Liabilities,17306,16421,25565,-,56809,35820,34918,35006,39532,-,-,32042,43501,-,-,28447,-
18,Long-Term Debt,-,-,-,-,-,6259,12503,18746,24990,-,-,43720,49964,-,-,102968,-
19,Total Liabilities,17306,16421,25565,-,56809,42080,47421,53753,64522,-,-,75762,93465,-,-,131415,-
20,Common Stock,108021,108021,108021,-,108021,108021,108021,108021,108021,-,-,108021,108021,-,-,108021,-
21,Retained Earnings,78564,64730,68738,-,69772,67268,77119,77624,69381,-,-,66765,58570,-,-,32093,-
22,Shareholders' Equity,186585,172750,176758,177793,177793,175288,185140,185644,177401,-,-,174785,166590,-,-,140114,-
23,Total Liabilities & Equity,203891,189171,202323,-,234602,217368,232561,239397,241923,-,-,250547,260055,-,-,271529,-
24,Total Debt,-,6259,12498,31233,31233,31233,37477,43720,49964,-,-,68994,75688,-,-,127192,-
25,Net Cash (Debt),21156,-268.53,-8664,923.43,923.43,-14099,-24587,-28309,-43022,-,-,-58449,-59252,-,-,-118655,-
26,Net Cash Growth,2191.05%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Net Cash Per Share,1958.41,-24.85,-801.77,85.49,85.47,-1305.29,-2275.64,-2620.55,-3982.91,-,-,-5411.98,-5484.99,-,-,-10980.09,-
28,Filing Date Shares Outstanding,10.8,10.81,10.81,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.81,12.66,10.81,10.8
29,Total Common Shares Outstanding,10.8,10.81,10.81,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.81,12.66,10.81,10.8
30,Working Capital,20562,1786,901.29,-,-8070,-8397,2879,4918,-1912,-,-,-329.63,-7108,-,-,-18834,-
31,Book Value Per Share,17271.83,15984.63,16358.01,16455.77,16455.77,16227.71,17135.46,17185.27,16423.74,-,-,16183.88,15421.23,-,-,12965.89,-
32,Tangible Book Value,186491,172656,176664,177699,177699,175194,185046,185550,177307,-,-,174691,166496,-,-,140020,-
33,Tangible Book Value Per Share,17263.13,15975.93,16349.32,16447.07,16447.07,16219.01,17126.76,17176.57,16415.04,-,-,16175.18,15412.53,-,-,12957.19,-
34,Buildings,127598,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Machinery,268172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Construction In Progress,-,-,-,-,111.25,111.25,111.25,5,5,-,-,8413,8413,-,-,-,-
