,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021,Q4 2020,Q3 2019,Q3 2018
,Period Ending,"Mar '25 Mar 5, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '19 Sep 30, 2019","Sep '18 Sep 30, 2018"
0,Market Capitalization,596273,594113,663246,658925,648123,594113,566028,648123,585471,502295,459087,480691,465568,392115,342425,329463,324062,-
1,Market Cap Growth,0%,0%,17.18%,1.67%,10.70%,18.28%,23.29%,34.83%,25.75%,28.10%,34.07%,45.90%,43.67%,-,-,-,-,-
2,Enterprise Value,575117,594381,671910,658002,647200,608212,590615,676432,628493,548785,517536,539141,524821,510769,461080,448117,-,-
3,PE Ratio,11.63,11.73,13.18,13.77,12.91,10.77,9.64,10.00,8.47,7.27,6.42,6.67,5.95,7.33,12.53,20.10,-,-
4,PS Ratio,5.54,5.56,6.18,6.28,5.97,5.13,4.75,5.06,4.35,3.74,3.26,3.42,3.05,3.15,3.81,5.13,21.05,-
5,PB Ratio,3.20,3.18,3.84,3.73,3.65,3.34,3.23,3.50,3.15,2.83,-,-,2.66,2.35,-,-,2.31,-
6,P/FCF Ratio,12.14,12.14,15.62,15.03,11.04,7.48,7.19,9.39,7.13,6.66,7.49,11.95,56.47,-,-,-,-,-
7,P/OCF Ratio,12.14,12.14,15.62,15.03,11.04,7.47,7.19,9.38,7.13,6.65,7.49,11.94,56.47,-,-,-,-,-
8,EV/Sales Ratio,5.34,5.57,6.26,6.27,5.96,5.25,4.95,5.28,4.67,4.09,3.68,3.84,3.44,4.11,5.13,6.97,-,-
9,EV/EBIT Ratio,10.42,10.92,12.29,12.50,11.65,9.89,8.97,9.27,8.03,6.95,6.30,6.45,5.80,7.72,11.34,16.76,-,-
10,EV/FCF Ratio,12.15,12.15,15.83,15.01,11.03,7.65,7.50,9.80,7.66,7.27,8.44,13.41,63.65,-,-,-,-,-
11,Debt / Equity Ratio,-,-,0.04,0.07,0.18,0.18,0.18,0.20,0.24,0.28,-,-,0.39,0.45,-,-,0.91,-
12,Debt / FCF Ratio,-,-,0.15,0.29,0.53,0.39,0.40,0.54,0.53,0.66,-,-,8.37,-,-,-,-,-
13,Quick Ratio,2.13,2.13,1.04,0.99,-,0.84,0.73,1.06,1.12,0.93,-,-,0.97,0.82,-,-,0.32,-
14,Current Ratio,2.19,2.19,1.11,1.04,-,0.86,0.77,1.08,1.14,0.95,-,-,0.99,0.84,-,-,0.34,-
15,Asset Turnover,0.67,0.40,-,-,0.59,0.30,0.52,-,-,-,-,0.54,-,-,-,-,-,
16,Return on Equity (ROE),36.51%,15.61%,30.18%,31.60%,36.40%,9.71%,33.87%,-,-,-,-,44.52%,-,-,-,-,-,
17,Return on Assets (ROA),22.04%,9.45%,-,-,19.48%,5.94%,18.41%,-,-,-,-,21.38%,-,-,-,-,-,
18,Return on Capital (ROIC),23.70%,10.04%,18.15%,18.21%,21.18%,6.23%,19.23%,-,-,-,-,22.46%,-,-,-,-,-,
19,Return on Capital Employed (ROCE),29.57%,29.16%,31.66%,29.78%,-,34.58%,36.25%,36.91%,38.30%,39.02%,-,-,41.38%,30.57%,-,-,-,-
20,Earnings Yield,8.60%,8.52%,7.59%,7.26%,7.74%,9.29%,10.37%,10.00%,11.80%,13.75%,15.58%,14.98%,16.81%,13.64%,7.98%,4.98%,-3.04%,-
21,Earnings Yield,8.60%,8.52%,7.59%,7.26%,7.74%,9.29%,10.37%,10.00%,11.80%,13.75%,15.58%,14.98%,16.81%,13.64%,7.98%,4.98%,-3.04%,-
22,FCF Yield,8.24%,8.24%,6.40%,6.65%,9.06%,13.37%,13.91%,10.65%,14.02%,15.02%,13.35%,8.37%,1.77%,-,-2.90%,-,-,-
23,Dividend Yield,8.15%,-,-,1.73%,-,-,-,8.60%,7.60%,6.45%,-,-,-,-,-,-,-,-
24,Payout Ratio,56.32%,0.01%,162.02%,66.66%,63.48%,-,237.88%,97.75%,53.72%,54.96%,83.89%,112.26%,91.55%,-,-,-,-,-
25,Buyback Yield / Dilution,0.00%,0.01%,-0.05%,-0.01%,0.01%,-0.02%,-0.05%,-0.05%,-0.02%,0.01%,0.09%,14.70%,0.06%,0.02%,-,-,-,-
26,Total Shareholder Return,8.15%,0.01%,-0.05%,1.72%,0.01%,-0.02%,-0.05%,8.55%,7.58%,6.46%,0.09%,14.70%,0.06%,0.02%,-,-,-,-
