,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,7196539,7822325,5804988,4364034,2214953,1893826,1567538,2040757,1048370,1027245,1043089,1080059,1090622,1188329,1233222,1267551,1386384,1126008,1130233,961226,929537,Upgrade
1,Market Cap Growth,313.04%,313.04%,270.33%,113.84%,111.28%,84.36%,50.28%,88.95%,-3.87%,-13.56%,-15.42%,-14.79%,-21.33%,5.53%,9.11%,31.87%,49.15%,9.67%,16.30%,46.77%,32.25%,Upgrade
2,Enterprise Value,7513670,8001132,5983795,4563400,2365740,2176376,1898867,2354067,1127440,1106314,1060714,1052143,993962,1073555,1119074,1107959,1553458,1287133,1281433,1053327,1060360,Upgrade
3,Last Close Price,87400.00,95000.00,69997.86,52622.51,26708.40,22370.14,20619.43,26844.17,13790.29,13512.40,13369.00,13842.84,13978.22,14889.78,15452.28,15882.43,17371.41,17636.11,17381.02,14781.99,13712.40,Upgrade
4,PE Ratio,100.27,106.23,82.75,64.48,29.87,22.75,15.27,18.77,10.25,10.79,13.18,16.62,16.60,17.49,17.09,15.40,21.48,15.02,15.62,13.39,13.10,Upgrade
5,PS Ratio,3.45,3.76,2.89,2.24,1.11,0.94,0.75,0.97,0.54,0.56,0.60,0.68,0.67,0.74,0.69,0.66,0.74,0.56,0.58,0.47,0.43,Upgrade
6,PB Ratio,6.99,7.40,5.49,4.13,2.08,1.77,1.47,2.40,-,1.29,1.32,1.41,1.46,1.58,1.68,1.74,1.96,3.22,3.44,3.11,2.75,Upgrade
7,P/TBV Ratio,7.61,7.61,5.65,4.24,2.14,1.83,1.51,2.48,-,1.33,1.37,1.46,1.51,1.63,1.74,1.81,2.03,3.47,3.72,3.38,2.95,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-19.78,-14.93,-,-,-,-,-,-,-,-,-,-,-,-,-,7.12,Upgrade
