,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,59.79,92.6,46.82,106.49,59.6,100.85,26.21,97.48,18.38,59.95
1,Short-Term Investments,0.42,0.56,-,0.96,-,-,-,-,-,-
2,Cash & Short-Term Investments,60.21,93.17,46.82,107.45,59.6,100.85,26.21,97.48,18.38,59.95
3,Cash Growth,28.60%,-13.29%,-21.44%,6.54%,127.42%,3.45%,42.61%,62.61%,-60.29%,79.57%
4,Accounts Receivable,177.46,167.05,167.74,125.3,138.69,166.13,269.44,254.96,313.35,235.94
5,Other Receivables,-,6.17,0.78,-,0.7,0.83,5.47,1.25,3.88,1.01
6,Receivables,177.46,173.21,168.52,125.3,139.4,166.96,274.91,256.22,317.23,236.96
7,Inventory,77.93,74.27,78.1,69.11,82.04,82.9,66.46,87.26,81.54,69.29
8,Prepaid Expenses,-,-,2.88,-,2.28,2.54,-,1.03,-,-
9,Other Current Assets,9.84,5.14,2.69,4.22,1.93,4.52,1.52,1.82,1.92,2.53
10,Total Current Assets,325.44,345.78,299,306.08,285.25,357.77,369.1,443.81,419.06,368.73
11,"Property, Plant & Equipment",161.3,164.99,184.33,195.24,203.13,204.92,181.99,169.92,149.53,128.98
12,Other Intangible Assets,1.09,1.2,1.32,1.54,1.73,1.28,0.43,0.48,-,-
13,Long-Term Deferred Tax Assets,8.82,7.52,6.81,6.38,4.1,2.06,1.04,1.75,2.57,1.88
14,Other Long-Term Assets,10.83,9.44,8.32,8.79,7.47,6.29,9.79,9.95,12.44,22.96
15,Total Assets,507.48,528.93,499.79,518.03,501.68,572.32,562.35,625.91,583.6,522.55
16,Accounts Payable,109.17,141.44,102.52,97.81,61.47,131.86,129.4,223.39,182.69,168.41
17,Accrued Expenses,10.74,12.16,13.35,9.57,6.49,4.38,11.51,7.65,8.04,8.14
18,Short-Term Debt,83.36,60.3,68.5,94.59,100.53,85.09,64.88,78.09,83.94,66.94
19,Current Portion of Long-Term Debt,16.93,26.99,25.42,19.09,28.31,33.51,19.66,10.58,12.61,6.75
20,Current Portion of Leases,1.97,1.4,0.47,0.54,0.32,0.82,1.62,1.06,1.78,1.01
21,Current Income Taxes Payable,1.25,1.25,0.57,0.56,0.02,0.07,2.76,3.21,4.74,3.6
22,Other Current Liabilities,22.93,21.38,29.63,33.72,31.77,31.65,32.58,21.34,23.78,28.27
23,Total Current Liabilities,246.35,264.91,240.46,255.87,228.92,287.39,262.4,345.32,317.57,283.11
24,Long-Term Debt,14.57,14.8,16.58,16.81,12.59,15.23,14.12,7.35,11.4,4.4
25,Long-Term Leases,1.98,0.72,0.4,-,-,0.06,0.06,1.05,0.82,1.98
26,Long-Term Unearned Revenue,2.75,3.06,3.43,3.79,3.94,2.97,2.01,2.12,2.23,2.35
27,Total Liabilities,265.64,283.49,260.86,276.47,245.45,305.64,278.59,355.84,332.02,291.83
28,Common Stock,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52
29,Additional Paid-In Capital,96.85,96.85,96.85,96.85,96.85,96.85,96.85,106.88,106.88,117.7
30,Retained Earnings,143.46,147.14,140.44,143.39,158.51,169.4,185.87,162.07,142.85,111.2
31,Comprehensive Income & Other,-16,-16.07,-15.89,-16.2,-16.66,-17.11,-16.48,-16.4,-15.68,-15.71
32,Shareholders' Equity,241.84,245.45,238.92,241.57,256.23,266.67,283.76,270.07,251.58,230.72
33,Total Liabilities & Equity,507.48,528.93,499.79,518.03,501.68,572.32,562.35,625.91,583.6,522.55
34,Total Debt,118.8,104.2,111.36,131.02,141.75,134.71,100.34,98.13,110.55,81.08
35,Net Cash (Debt),-58.59,-11.03,-64.54,-23.57,-82.15,-33.86,-74.13,-0.64,-92.17,-21.13
36,Net Cash Per Share,-0.03,-0.01,-0.03,-0.01,-0.04,-0.02,-0.04,-0.00,-0.05,-0.01
37,Filing Date Shares Outstanding,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
38,Total Common Shares Outstanding,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
39,Working Capital,79.09,80.87,58.54,50.21,56.34,70.39,106.7,98.49,101.49,85.62
40,Book Value Per Share,0.12,0.12,0.12,0.12,0.13,0.13,0.14,0.14,0.13,0.12
41,Tangible Book Value,240.75,244.25,237.6,240.03,254.5,265.39,283.34,269.59,251.58,230.72
42,Tangible Book Value Per Share,0.12,0.12,0.12,0.12,0.13,0.13,0.14,0.13,0.13,0.12
43,Machinery,-,307.44,-,314.35,-,285.91,-,218.55,-,172.54
44,Construction In Progress,-,3.33,-,1.45,-,6.61,-,14.8,-,2.41
