,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,148,176,154,444,236,216,282,308,238,272,246
1,Market Cap Growth,-60.36%,-60.36%,-34.75%,105.56%,-16.31%,-29.87%,18.49%,13.24%,-3.25%,19.30%,-
2,Enterprise Value,211,188,224,472,332,258,371,309,339,296,321
3,Last Close Price,0.07,0.09,0.08,0.22,0.12,0.11,0.14,0.15,0.11,0.13,0.11
4,PE Ratio,45.52,-,37.32,-,-,-,-,5.95,3.94,4.57,4.91
5,PS Ratio,0.60,0.72,0.57,1.92,1.19,1.17,0.78,0.61,0.53,0.78,0.74
6,PB Ratio,0.57,0.68,0.57,1.72,0.86,0.72,0.86,0.90,0.74,0.99,0.95
7,P/TBV Ratio,0.68,0.68,0.57,1.73,0.87,0.72,0.87,0.90,0.74,0.99,0.95
8,P/FCF Ratio,5.26,-,5.40,-,7.72,-,-17.31,-,6.79,-,-2.35
9,P/OCF Ratio,3.29,-,2.96,-,3.74,3.67,6.27,-,3.02,-,-3.53
10,EV/Sales Ratio,0.86,0.77,0.83,2.04,1.67,1.40,1.02,0.61,0.75,0.85,0.96
11,EV/EBITDA Ratio,4.62,4.24,4.55,20.49,25.83,30.33,-,3.01,3.17,3.32,4.07
12,EV/EBIT Ratio,20.68,-,16.58,-37.10,-,-,-,3.96,3.93,4.03,5.01
13,EV/FCF Ratio,7.50,-,7.85,-,10.86,-,-22.78,-,9.68,-,-3.07
14,Debt / Equity Ratio,0.49,0.49,0.42,0.47,0.54,0.55,0.51,0.35,0.36,0.44,0.35
15,Debt / FCF Ratio,4.54,-,4.03,-,4.84,-,-10.15,-,3.33,-,-0.87
16,Return on Capital Employed (ROCE),3.64%,-,4.64%,-4.54%,-,-,-,21.63%,25.92%,25.14%,23.92%
17,Earnings Yield,2.20%,1.85%,2.68%,-4.40%,-12.46%,-14.84%,3.19%,16.80%,25.39%,21.87%,20.38%
18,FCF Yield,19.00%,15.98%,18.51%,-0.06%,12.96%,5.41%,-5.78%,16.47%,14.73%,-7.16%,-42.52%
19,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,10.62%
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,-0.41%,-,-32.79%,
21,Total Shareholder Return,-,-,-,-,-,-,-,-0.41%,-,-22.16%,
