,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,984871,792794,1020568,689745,680675,660151,892595,847945,919502,982169,1133916,1182730,1204057,878582,1187165,1060248,1111254,1052155,1084479,1050946,Upgrade
1,Revenue Growth (YoY),44.69%,20.09%,14.34%,-18.66%,-25.97%,-32.79%,-21.28%,-28.31%,-23.63%,11.79%,-4.49%,11.55%,8.35%,-16.50%,9.47%,0.89%,11.99%,14.47%,9.45%,13.78%,Upgrade
2,Cost of Revenue,879027,738306,910605,659668,695711,641398,823350,811964,870641,940779,959115,1011659,1081393,805919,979173,965069,968375,935569,934286,921929,Upgrade
3,Gross Profit,105844,54488,109963,30077,-15036,18754,69245,35981,48862,41390,174801,171071,122664,72663,207992,95179,142879,116586,150193,129017,Upgrade
4,"Selling, General & Admin",65248,71725,85753,70464,75919,64204,63646,69188,66883,78486,91597,79114,89506,65247,77925,69766,65189,68311,74981,79662,Upgrade
5,Operating Expenses,65248,71725,85753,70464,75919,64204,63646,69188,66883,78486,91597,79114,89506,65247,77925,69766,65189,68311,74981,79662,Upgrade
6,Operating Income,40596,-17237,24210,-40387,-90955,-45451,5599,-33207,-18022,-37096,83203,91957,33158,7416,130067,25413,77691,48274,75212,49355,Upgrade
7,Interest Expense,-8643,-8483,-8866,-10076,-12281,-11906,-12684,-12416,-10907,-8727,-8116,-8599,-10222,-10884,-11063,-12360,-17199,-18779,-19513,-20872,Upgrade
8,Interest & Investment Income,18.66,95.49,1512,621.24,65.24,4.6,6.55,9.72,16.86,7.27,12.82,11.37,598.64,4.81,10.78,7.77,8.2,7.62,7.52,14.53,Upgrade
9,Currency Exchange Gain (Loss),599.1,-,-,-,-12.83,-,-,-,-,-,-,-,-,-,-0.07,0.07,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),741.52,196.03,10245,121.13,-17945,311.48,321.18,-2991,-4070,510.43,2366,1461,351.31,-4532,-3600,-2416,-2255,-5331,248.59,-3345,Upgrade
11,EBT Excluding Unusual Items,33313,-25428,27102,-49721,-121128,-57041,-6757,-48605,-32983,-45305,77466,84831,23886,-7995,115415,10645,58245,24172,55956,25152,Upgrade
12,Gain (Loss) on Sale of Assets,6601,-,-,-,-,-,-,-,2757,-,-2757,2757,-,-,-,-,-,2926,-2856,-69.64,Upgrade
13,Other Unusual Items,-,-,-,-,-,-,-,-,284.73,-,-,-,558.39,-,-,-,1743,-,-,-,Upgrade
14,Pretax Income,39914,-25428,27102,-49721,-121128,-57041,-6757,-48605,-29941,-45305,74709,87588,24444,-7995,115415,10645,59988,27097,53100,25083,Upgrade
15,Income Tax Expense,0.22,-,-,-,-,-,5.12,-,-4238,-7753,16935,18972,10342,122.81,25719,3412,-4076,6914,10983,6507,Upgrade
16,Earnings From Continuing Operations,39914,-25428,27102,-49721,-121128,-57041,-6763,-48605,-25703,-37552,57774,68616,14101,-8118,89696,7233,64064,20183,42117,18576,Upgrade
17,Minority Interest in Earnings,1191,992.93,-1397,1124,1396,1388,1414,1854,1560,1406,1697,1531,1469,1822,1725,1345,2100,1484,1602,1616,Upgrade
18,Net Income,41105,-24435,25705,-48597,-119732,-55653,-5349,-46751,-24143,-36146,59471,70147,15570,-6296,91421,8577,66163,21667,43719,20191,Upgrade
19,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,42579,-,-,-,41247,-,-,-,37781,-,-,-,Upgrade
20,Net Income to Common,41105,-24435,25705,-48597,-119732,-55653,-5349,-46751,-66722,-36146,59471,70147,-25677,-6296,91421,8577,28382,21667,43719,20191,Upgrade
21,Net Income Growth,-,-,-,-,-,-,-,-,-,-,-34.95%,717.82%,-76.47%,-,109.11%,-57.52%,124.75%,18.50%,-25.65%,-15.80%,Upgrade
22,Shares Outstanding (Basic),822,64,123,123,123,123,124,123,123,123,20,123,123,123,123,123,123,123,123,123,Upgrade
23,Shares Outstanding (Diluted),822,64,123,123,123,123,124,123,123,123,20,123,123,123,123,123,123,123,123,123,Upgrade
