,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,150705,43109,23908,57223,188202,6246,15128,33162,42607,41615,22939,22909,94822,20812,49053,9388,88126,41795,36777,36883,Upgrade
1,Cash & Short-Term Investments,150705,43109,23908,57223,188202,6246,15128,33162,42607,41615,22939,22909,94822,20812,49053,9388,88126,41795,36777,36883,Upgrade
2,Cash Growth,-19.92%,590.16%,58.04%,72.56%,341.72%,-84.99%,-34.05%,44.76%,-55.07%,99.96%,-53.24%,144.02%,7.60%,-50.21%,33.38%,-74.55%,-30.67%,-6.86%,-29.67%,-57.45%,Upgrade
3,Accounts Receivable,39089,365455,401549,381043,57354,304066,316821,301591,64427,306852,276470,253887,28625,309306,288076,231998,31540,356677,362854,335481,Upgrade
4,Other Receivables,3713,9144,2880,7827,2988,26710,21688,28546,22215,27349,25019,12714,22921,9049,4374,8976,3284,11547,14232,13610,Upgrade
5,Receivables,42802,374598,404429,388869,60342,330775,338509,330137,86641,334201,301490,266601,51547,318355,292450,240973,34824,368224,377086,349091,Upgrade
6,Inventory,455853,383239,354287,346869,337305,427566,397221,418415,604712,617747,464587,330690,318315,351267,388992,315519,345565,368652,436649,414608,Upgrade
7,Prepaid Expenses,457.8,24574,329.45,23504,7466,14504,8656,18755,19711,22554,33552,18048,31604,45720,7103,6506,13161,13995,21765,11555,Upgrade
8,Other Current Assets,22412,16745,18605,15789,18666,14130,18817,24332,51006,51051,60525,73122,66511,67732,51838,49892,57146,47863,39558,39258,Upgrade
9,Total Current Assets,672230,842265,801558,832254,611981,793222,778332,824801,804677,1067168,883093,711370,562799,803885,789436,622279,538821,840529,911835,851396,Upgrade
10,"Property, Plant & Equipment",2604088,2680907,2760954,2839516,2910126,2987807,3060234,3154534,3154980,3173033,3208782,3158807,3227754,3268201,3336219,3408923,3474942,3541182,3615139,3689627,Upgrade
11,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91913,-,-,-,-,Upgrade
12,Goodwill,-,-,-,-,-,-,-,222.03,555.08,971.39,1388,1804,2220,2637,3053,3469,3886,4302,4718,5134,Upgrade
13,Other Intangible Assets,9141,9208,9275,9352,9430,9507,9584,9643,9741,9751,9866,9980,10095,9017,9073,9128,9184,9239,9295,9310,Upgrade
14,Other Long-Term Assets,126913,124816,122586,122507,125176,117853,125106,126751,129231,110992,112131,89112,124679,112887,99844,103669,101013,116748,126944,133332,Upgrade
15,Total Assets,3412372,3657197,3694373,3803629,3656713,3908388,3973256,4115951,4099184,4361915,4215259,3971074,3927546,4196627,4237625,4239382,4127845,4512000,4667930,4688800,Upgrade
16,Accounts Payable,724747,747158,825427,875479,712011,828621,941044,1090847,1025150,1127752,979707,887722,873158,773497,874909,944420,819474,828694,930898,1020823,Upgrade
17,Accrued Expenses,181282,227303,177662,223046,227504,251456,235144,253513,180535,316903,197321,201462,158045,316445,209737,236139,157834,310087,305211,238862,Upgrade
18,Short-Term Debt,503916,722031,643311,727766,666354,605686,498139,428391,378167,474383,473707,480784,436686,718208,720497,742060,756052,1142253,1261200,1280313,Upgrade
19,Current Portion of Long-Term Debt,99634,110133,118233,118233,118233,133233,133233,133247,133247,105931,90080,77313,87397,52431,71247,52431,65247,40451,53891,53891,Upgrade
20,Current Income Taxes Payable,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,23693,28156,42406,18928,11208,27859,27742,3408,20125,24201,17287,6509,Upgrade
21,Other Current Liabilities,102076,89991,135952,82140,95648,74719,83590,68116,157573,62945,77506,64166,158439,96790,133086,112440,162138,71584,38498,48056,Upgrade
22,Total Current Liabilities,1611658,1896618,1900588,2026667,1819752,1893717,1891152,1974117,1898364,2116071,1860727,1730376,1724931,1985231,2037217,2090898,1980870,2417270,2606985,2648454,Upgrade
23,Long-Term Debt,15007,15008,23008,33508,44008,39508,50008,60508,71008,90508,100217,59247,33800,39000,20000,26000,26000,37980,24540,24540,Upgrade
24,Other Long-Term Liabilities,8918,8696,8474,8253,8031,7816,7600,7385,7169,6895,6620,6281,6071,5869,5667,5465,5263,5042,4820,4609,Upgrade
25,Total Liabilities,1635583,1920322,1932070,2068428,1871791,1941041,1948761,2042010,1976542,2213474,1967564,1795904,1764803,2030101,2062885,2122363,2012133,2460292,2636345,2677603,Upgrade
26,Common Stock,1232098,1232098,1232098,1232098,1232098,1232098,1232098,1232098,1232098,1232098,1232098,1232098,1232098,1232098,1232098,1232098,1232098,1100101,1100101,1100101,Upgrade
27,Additional Paid-In Capital,57007,57007,57007,57007,57007,57007,57007,57007,57007,57007,57007,57007,57007,57007,57007,57007,57007,57007,57007,57007,Upgrade
28,Retained Earnings,524623,483518,507953,482248,530845,711874,767634,815666,862513,886752,984599,910377,896420,898734,905126,845681,843029,908924,887317,865326,Upgrade
29,Total Common Equity,1813728,1772623,1797058,1771352,1819949,2000978,2056739,2104771,2151617,2175857,2273704,2199482,2185525,2187839,2194231,2134786,2132134,2066031,2044424,2022433,Upgrade
30,Minority Interest,-36939,-35748,-34755,-36151,-35027,-33631,-32243,-30829,-28975,-27415,-26009,-24312,-22781,-21313,-19491,-17767,-16422,-14322,-12839,-11237,Upgrade
31,Shareholders' Equity,1776789,1736875,1762303,1735201,1784922,1967347,2024496,2073941,2122642,2148442,2247695,2175170,2162744,2166526,2174740,2117019,2115712,2051708,2031585,2011197,Upgrade
32,Total Liabilities & Equity,3412372,3657197,3694373,3803629,3656713,3908388,3973256,4115951,4099184,4361915,4215259,3971074,3927546,4196627,4237625,4239382,4127845,4512000,4667930,4688800,Upgrade
33,Total Debt,618558,847173,784553,879508,828595,778427,681380,622146,582422,670823,664004,617344,557882,809639,811743,820491,847298,1220684,1339631,1358744,Upgrade
