,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,800600,216488,30559,302780,129882,309417,770795,142564,208421,458645,719393,750581,692146,589013,511816,428421,329809,270820,149702,202493,Upgrade
1,Short-Term Investments,83315,298129,288.06,288.06,201118,450952,969.72,351027,521032,288.06,288.06,288.06,1583,-,691.91,-,663.57,-,850.78,-,Upgrade
2,Cash & Short-Term Investments,883915,514616,30847,303068,330999,760368,771764,493591,729453,458933,719681,750869,693729,589013,512507,428421,330472,270820,150553,202493,Upgrade
3,Cash Growth,167.04%,-32.32%,-96.00%,-38.60%,-54.62%,65.68%,7.24%,-34.26%,5.15%,-22.08%,40.42%,75.26%,109.92%,117.49%,240.42%,111.57%,-22.69%,28.74%,15.59%,74.08%,Upgrade
4,Accounts Receivable,346965,412467,430404,615393,694194,400854,439563,617810,581044,580082,448463,386771,196164,273151,331563,364993,379904,383218,369570,356451,Upgrade
5,Other Receivables,16332,44970,13454,41770,465595,7869,3294,7241,4404,23588,33101,27539,22305,19188,12502,13020,20070,3204,42969,9432,Upgrade
6,Receivables,363297,807437,893858,1107162,1159789,408723,442857,625051,585448,603670,481564,414310,218470,292340,344066,378013,399974,386422,412538,365884,Upgrade
7,Inventory,945933,948780,858131,749399,1062520,1198432,1053845,860080,1050250,773518,614435,445474,605202,500790,511197,537734,709129,542419,666210,819152,Upgrade
8,Prepaid Expenses,2371,3273,3514,1956,2322,2691,3613,2213,2240,2318,2638,1710,1648,2790,3569,3485,2239,3429,2966,5083,Upgrade
9,Other Current Assets,11254,16162,8832,19436,17133,10440,21523,32804,19894,11811,15760,12609,11773,4828,6184,10946,11185,16971,18675,18811,Upgrade
10,Total Current Assets,2206769,2290269,1795183,2181022,2572763,2380655,2293602,2013738,2387284,1850249,1834078,1624972,1530821,1389761,1377523,1358600,1453001,1220061,1250943,1411424,Upgrade
11,"Property, Plant & Equipment",119954,119757,96894,99885,101463,102949,101669,101104,105202,104564,101014,104027,107775,106463,111099,112790,117327,121904,126650,130012,Upgrade
12,Long-Term Investments,-,-,179515,179515,179515,179515,179515,179515,179515,176500,180802,181009,181395,181016,180802,180945,180873,194937,194844,194520,Upgrade
13,Other Intangible Assets,53644,54202,53747,54197,54653,55112,56223,56757,56354,56838,53705,53424,53586,53997,54408,54608,55002,55338,55727,55823,Upgrade
14,Long-Term Deferred Tax Assets,12839,251.5,523.42,9568,9568,-,-,-,-,-,-,-,-,-,-,-,-,823.96,812.96,969.15,Upgrade
15,Other Long-Term Assets,101261,25725,25249,26257,27646,28058,28460,28052,28116,21615,25550,25712,26167,26066,26838,27295,33510,34078,34005,34519,Upgrade
16,Total Assets,2494467,2490205,2151111,2550444,2945608,2746288,2659469,2379167,2756471,2209766,2195149,1989146,1899745,1757303,1750670,1734238,1839713,1627141,1662982,1827268,Upgrade
17,Accounts Payable,120731,231665,110174,97001,511848,438296,584067,152392,701224,232349,194599,37197,400892,109675,207753,90703,145359,66202,145187,137356,Upgrade
18,Accrued Expenses,545927,525716,414364,510630,623823,531862,566572,560292,577519,530192,387257,396073,290895,259926,260650,237764,219904,234464,180188,145529,Upgrade
19,Short-Term Debt,172386,11005,258946,573206,500035,421997,185403,318630,298908,298908,466891,423475,116500,354451,247699,353482,446781,242840,310938,567230,Upgrade
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7665,-,-,-,15251,-,Upgrade
21,Current Income Taxes Payable,-,15963,4310,-,41785,16877,14265,14068,18289,14342,27731,12959,11790,9454,11127,8120,7304,11068,6778,12192,Upgrade
22,Current Unearned Revenue,11285,10488,10598,8270,3585,1392,1302,1257,2092,2383,2765,3707,3916,724.92,1420,8173,1912,4355,2834,3495,Upgrade
23,Other Current Liabilities,23389,208037,47839,79307,16910,174593,161416,179920,16831,42932,41497,18602,19989,11639,10671,3962,11992,62398,21604,11849,Upgrade
24,Total Current Liabilities,873719,1002874,846230,1268415,1697987,1585016,1513025,1226559,1614863,1121106,1120740,892013,843981,745870,746986,702205,833253,621328,682781,877651,Upgrade
25,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15350,7883,15509,Upgrade
26,Long-Term Unearned Revenue,366.5,1466,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
27,Long-Term Deferred Tax Liabilities,15156,-,-,-,-,-,-,-,-,5119,2233,2233,-,2233,2233,2233,2233,-,2233,-,Upgrade
28,Other Long-Term Liabilities,-215637,1994,1994,1993,1993,2086,2086,2086,2311,2072,1969,36753,36816,36598,36598,36598,36438,36438,36438,36438,Upgrade
29,Total Liabilities,673604,1006335,848225,1270408,1699980,1587102,1515111,1228644,1617174,1128297,1124941,930999,880797,784700,785816,741036,871923,673116,729335,929598,Upgrade
30,Common Stock,417146,417146,417146,417146,417146,417146,417146,417146,417146,417146,320889,320889,320889,320889,320889,320889,320889,320889,320889,320889,Upgrade
31,Retained Earnings,1381763,956827,863265,845415,808440,721978,710121,715947,701982,644087,728836,716775,677323,633707,625958,654306,626910,612576,592198,556240,Upgrade
32,Treasury Stock,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,Upgrade
33,Comprehensive Income & Other,21975,21995,22495,17495,20062,20082,17112,17449,20188,20256,20503,20503,20756,18027,18027,18027,20011,20580,20580,20562,Upgrade
34,Total Common Equity,1820864,1395947,1302886,1280036,1245628,1159186,1144359,1150522,1139297,1081469,1070208,1058146,1018948,972603,964854,993202,967790,954025,933647,897670,Upgrade
35,Minority Interest,-,87922,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
36,Shareholders' Equity,1820864,1483870,1302886,1280036,1245628,1159186,1144359,1150522,1139297,1081469,1070208,1058146,1018948,972603,964854,993202,967790,954025,933647,897670,Upgrade
37,Total Liabilities & Equity,2494467,2490205,2151111,2550444,2945608,2746288,2659469,2379167,2756471,2209766,2195149,1989146,1899745,1757303,1750670,1734238,1839713,1627141,1662982,1827268,Upgrade
38,Total Debt,172386,11005,258946,573206,500035,421997,185403,318630,298908,298908,466891,423475,116500,354451,255364,353482,446781,258190,334072,582738,Upgrade
39,Net Cash (Debt),711529,503612,-228099,-270139,-169036,338372,586361,174962,430545,160025,252790,327394,577229,234562,257144,74939,-116309,12630,-183520,-380246,Upgrade
40,Net Cash Growth,-,48.83%,-,-,-,111.45%,131.96%,-46.56%,-25.41%,-31.78%,-1.69%,336.88%,-,1757.19%,-,-,-,-,-,-,Upgrade
41,Net Cash Per Share,17057.88,12073.37,-5468.35,-6476.19,-4052.39,8111.97,14057.17,4194.45,10321.70,3836.38,6060.22,7848.73,13838.13,5623.24,6164.61,1796.55,-2788.31,302.78,-4399.59,-9115.78,Upgrade
42,Filing Date Shares Outstanding,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,Upgrade
43,Total Common Shares Outstanding,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,41.71,Upgrade
44,Working Capital,1333050,1287395,948952,912607,874776,795638,780577,787180,772421,729143,713338,732959,686840,643891,630537,656395,619748,598733,568161,533773,Upgrade
45,Book Value Per Share,43652.59,33465.84,31234.82,30687.02,29862.13,27789.81,27434.35,27582.12,27313.00,25926.67,25656.51,25367.35,24427.63,23316.58,23130.82,23810.42,23201.20,22871.20,22382.68,21520.19,Upgrade
46,Tangible Book Value,1767219,1341745,1249139,1225839,1190975,1104074,1088136,1093765,1082943,1024632,1016503,1004722,965362,918606,910446,938595,912788,898687,877920,841847,Upgrade
47,Tangible Book Value Per Share,42366.55,32166.41,29946.31,29387.72,28551.91,26468.59,26086.49,26221.44,25961.99,24564.07,24369.01,24086.58,23142.99,22022.09,21826.48,22501.29,21882.62,21544.57,21046.71,20181.93,Upgrade
48,Buildings,-,257515,143719,143940,141172,141172,141172,141172,141172,141172,141172,141172,140906,140906,140906,140906,140906,140906,140906,137466,Upgrade
49,Machinery,-,193069,129415,131511,130781,130749,125118,121268,120844,118284,114980,114787,115335,112899,112899,115011,119174,120678,121911,121722,Upgrade
50,Construction In Progress,-,-,-,-,2880,-,-,-,-,-,-,-,-,-,197.01,-,-,-,-,2593,Upgrade
