,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,0.52,0.51,0.54,1.32,0.92,2.68,2.93,0.22,0.46,2.92
1,Cash & Short-Term Investments,0.52,0.51,0.54,1.32,0.92,2.68,2.93,0.22,0.46,2.92
2,Cash Growth,-3.72%,-61.56%,-41.82%,-50.78%,-68.51%,1129.36%,534.42%,-92.54%,-94.62%,-70.12%
3,Accounts Receivable,128.14,124.62,158.32,168.22,197.65,194.37,201.95,203.47,196.01,220.11
4,Other Receivables,2.99,1.17,1.07,5.99,1.11,1.08,1.36,2.42,1.92,2.81
5,Receivables,131.13,125.78,159.4,174.22,198.76,195.45,203.31,205.89,197.94,222.92
6,Inventory,55.09,58.5,64.04,66.58,70.38,72.36,72.36,89.92,105.68,62.66
7,Prepaid Expenses,1,1.52,0.06,0.28,-,0.42,0.02,-,0.02,0.01
8,Other Current Assets,3.1,3.09,-,-,-,-,23.08,34.61,41.09,39.39
9,Total Current Assets,190.83,189.4,224.03,242.4,270.06,270.91,301.69,330.63,345.19,327.9
10,"Property, Plant & Equipment",0.23,0.88,1.57,2.28,3,3.73,3.71,2.87,4.28,5.54
11,Total Assets,191.06,190.27,225.6,244.68,273.06,274.64,305.4,333.5,349.46,333.44
12,Accounts Payable,27.09,27.57,26.07,27.72,29.97,27.43,14.71,13.73,1.25,7.05
13,Accrued Expenses,43.37,37.01,29.47,32.11,20.28,17.51,8.99,10.77,3.99,7.7
14,Short-Term Debt,33.52,33.15,38.33,41.7,39.19,42.88,78.73,158.82,171.42,146.41
15,Current Portion of Leases,0.11,0.44,0.65,0.64,0.62,0.61,3.36,2.28,1.19,2.38
16,Current Income Taxes Payable,3.63,3.66,0.01,2.08,0.01,0.72,0.35,1.49,3.33,1.49
17,Current Unearned Revenue,19.88,10.74,3.07,5.4,4.51,5.5,0.03,4.53,0.04,0.49
18,Other Current Liabilities,16.05,15.97,16.3,19.51,16.25,15.35,14.84,14.8,14.89,13.54
19,Total Current Liabilities,143.64,128.55,113.89,129.16,110.83,109.99,121.01,206.42,196.09,179.05
20,Long-Term Debt,20.85,26.48,49.57,56.89,80.28,80.55,57.45,3.09,4,-
21,Long-Term Leases,-,-,0.11,0.44,0.76,1.08,-,-,2.27,2.28
22,Total Liabilities,164.49,155.03,163.57,186.49,191.87,191.61,178.46,209.51,202.36,181.32
23,Common Stock,21.46,21.46,14.83,13.32,12.47,12.47,12.47,12.24,12,12
24,Additional Paid-In Capital,174.03,174.03,128.02,117.53,-,103.38,-,96.44,-,89.26
25,Retained Earnings,-135.15,-126.63,-94.82,-86.18,-48.66,-46.83,-2.91,-0.08,29.01,34.02
26,Comprehensive Income & Other,-33.77,-33.62,14,13.52,117.38,14,117.38,15.4,106.1,16.83
27,Shareholders' Equity,26.57,35.25,62.03,58.19,81.19,83.02,126.94,123.99,147.1,152.12
28,Total Liabilities & Equity,191.06,190.27,225.6,244.68,273.06,274.64,305.4,333.5,349.46,333.44
29,Total Debt,54.48,60.08,88.66,99.67,120.85,125.11,139.55,164.18,178.88,151.06
30,Net Cash (Debt),-53.96,-59.57,-88.12,-98.35,-119.92,-122.43,-136.61,-163.97,-178.42,-148.13
31,Net Cash Per Share,-0.03,-0.02,-0.06,-0.04,-0.10,-0.10,-0.11,-0.13,-0.15,-0.12
32,Filing Date Shares Outstanding,2146,2146,1558,1331,1247,1247,1247,1224,1200,1200
33,Total Common Shares Outstanding,2146,2146,1483,1331,1247,1247,1247,1224,1200,1200
34,Working Capital,47.19,60.85,110.14,113.24,159.23,160.92,180.68,124.21,149.1,148.86
35,Book Value Per Share,0.01,0.02,0.04,0.04,0.07,0.07,0.10,0.10,0.12,0.13
36,Tangible Book Value,26.57,35.25,62.03,58.19,81.19,83.02,126.94,123.99,147.1,152.12
37,Tangible Book Value Per Share,0.01,0.02,0.04,0.04,0.07,0.07,0.10,0.10,0.12,0.13
38,Machinery,-,2.57,-,2.57,-,2.54,-,2.53,-,2.75
39,Leasehold Improvements,-,1.57,-,1.57,-,1.57,-,0.57,-,0.57
