,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,82,69,127,104,225,286,723,3505,147,354,318
1,Market Cap Growth,-33.86%,-33.86%,-43.73%,-63.64%,-68.89%,-91.85%,392.49%,890.01%,-53.81%,22.92%,6.00%
2,Enterprise Value,136,128,215,202,345,408,860,3669,325,502,462
3,Last Close Price,0.03,0.03,0.06,0.07,0.17,0.23,0.58,2.81,0.12,0.29,0.27
4,PS Ratio,1.20,1.01,1.64,1.01,1.73,3.00,7.87,28.39,0.86,1.83,0.98
5,PB Ratio,2.75,2.58,3.59,1.67,3.87,3.52,8.71,27.61,1.18,2.41,2.09
6,P/TBV Ratio,2.58,2.58,3.59,1.67,3.87,3.52,8.71,27.61,1.18,2.41,2.09
7,P/FCF Ratio,3.19,3.19,9.28,-,28.89,-19.48,-,78.06,-8.00,-,-158.37
8,P/OCF Ratio,3.19,3.19,9.28,-,28.80,-26.75,-,77.98,-8.02,-,-159.64
9,EV/Sales Ratio,2.01,1.89,2.78,1.97,2.65,4.29,9.35,29.72,1.91,2.60,1.42
10,EV/EBITDA Ratio,-,-,-,-,-,-10.14,-,-136.33,-,-,-
11,EV/EBIT Ratio,-,-,-,-,-,-9.95,-,-,-,-,-
12,EV/FCF Ratio,5.96,5.96,15.73,-,44.29,-27.83,-,81.71,-17.72,-,-229.96
13,Debt / Equity Ratio,2.05,2.05,1.70,1.43,1.71,1.49,1.51,1.10,1.32,1.22,0.99
14,Debt / FCF Ratio,2.53,2.53,4.40,-,12.80,-8.24,-,3.11,-8.94,-,-75.23
15,Return on Capital Employed (ROCE),-,-,-,-,-,-25.27%,-,-,-,-,-
16,Earnings Yield,-55.32%,-66.08%,-31.94%,-32.83%,-14.37%,-16.02%,-6.46%,-0.91%,-23.22%,-3.75%,0.66%
17,FCF Yield,31.36%,31.36%,10.78%,4.22%,3.46%,-5.13%,-0.28%,1.28%,-12.50%,-9.65%,-0.63%
18,Buyback Yield / Dilution,-20.54%,-44.69%,-6.10%,-18.93%,-94.05%,-3.10%,-4.80%,-0.81%,-1.29%,-,-0.52%
19,Total Shareholder Return,-20.54%,-44.69%,-6.10%,-18.93%,-94.05%,-3.10%,-4.80%,-0.81%,-1.29%,-,-0.52%
