,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,80.89,65.91,62.86,59.3,150.75,98.19,50.98,76.18,132.1,86.18,52.86,54.34,169.65,68.68,42.87,44.87,102.49,63.54,29.53,33.63
1,Other Revenue,-,-1.93,1.93,-,18.13,-7.16,7.16,-,10.72,-3.07,3.07,-,3.47,-,-,-,-,-,-,-
2,Revenue,80.89,63.98,64.79,59.3,168.88,91.03,58.14,76.18,142.81,83.11,55.94,54.34,173.12,68.68,42.87,44.87,102.49,63.54,29.53,33.63
3,Revenue Growth (YoY),-52.10%,-29.71%,11.43%,-22.16%,18.25%,9.53%,3.94%,40.20%,-17.50%,21.02%,30.47%,21.10%,68.91%,8.08%,45.17%,33.42%,-,-,-,-
4,Cost of Revenue,-119.06,39.08,39.57,40.42,126.75,53.47,39.62,52.5,86.82,49.94,34.03,32.81,91.01,40.58,26.96,30.7,55.9,40.81,21.06,21.8
5,Gross Profit,199.95,24.91,25.22,18.89,42.14,37.56,18.52,23.68,55.99,33.17,21.91,21.53,82.11,28.1,15.91,14.17,46.59,22.73,8.47,11.83
6,"Selling, General & Admin",-31.28,10.16,10.91,10.22,21.01,9.21,12.67,10.67,15.66,10.18,10.53,9.42,18.77,8.84,7.89,5.55,8.05,6.5,5.57,5.18
7,Research & Development,-30.77,10.5,10.34,9.93,14.17,14.31,9.86,10.49,11.71,13.57,8.42,8.97,12.05,8.88,4.51,4.14,5.23,4.2,2.48,3.08
8,Other Operating Expenses,255.43,-1.37,0.14,-1.29,1.82,-0.54,-2.04,-1.38,4.07,-3.43,-0.07,-0.26,0.66,-0.25,-0.17,-1.14,0.84,-0.39,-1.15,-0.1
9,Operating Expenses,191.43,17.76,24.77,18.95,38.6,27.13,20.21,21.02,33.66,19.05,19.52,18.77,34.15,20.63,11.08,9.46,14.94,12.87,6.18,8.97
10,Operating Income,8.52,7.14,0.45,-0.06,3.53,10.43,-1.69,2.66,22.33,14.11,2.39,2.77,47.96,7.47,4.83,4.7,31.66,9.86,2.29,2.86
11,Interest Expense,-4.17,-0.53,-0.43,-0.19,-1.04,-0.51,-0.51,-0.06,-0.48,-0.23,-0.07,-0.06,-0.13,-0.05,-0.09,-,-,-,-,-
12,Interest & Investment Income,1.15,1.37,2.63,0.16,-,5.96,4.43,2.92,-,1.97,2.74,3.47,2,3.44,0.95,0.53,0.74,0.23,0.24,1.03
13,Currency Exchange Gain (Loss),-,-1.08,1.08,-,0.1,-1.52,1.52,-,2.3,-0.01,0.01,-,-1.41,1.5,-1.5,-,-1.27,-0.58,0.58,-
14,Other Non Operating Income (Expenses),-0.85,1.07,-0.32,0.1,-2.24,1.23,-0.52,0.24,-1.21,0.73,-0.53,0.13,1.06,-1.29,0.78,-0.97,0.44,-0.04,-0.71,0.22
15,EBT Excluding Unusual Items,4.65,7.98,3.42,0.01,0.35,15.6,3.22,5.75,22.94,16.58,4.55,6.3,49.48,11.06,4.96,4.26,31.56,9.47,2.4,4.11
