,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2705,2531,2437,2134,2241,3471,3709,4350,5023,4128,3972,4301,3731,6030,4056,4743,-,-,-,-,-
1,Market Cap Growth,-27.06%,-27.06%,-34.30%,-50.94%,-55.38%,-15.92%,-6.63%,1.14%,34.62%,-31.55%,-2.06%,-9.33%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2456,2282,2179,1825,1961,3190,3374,3991,4650,3755,3608,3883,3257,5556,3554,4616,-,-,-,-,-
3,Last Close Price,37.19,34.80,33.50,29.12,30.58,47.36,50.62,59.13,68.28,56.11,54.03,58.63,50.65,81.86,55.06,64.08,-,-,-,-,-
4,PE Ratio,185.95,175.18,128.59,97.78,90.95,128.00,74.90,82.23,96.99,81.88,66.41,71.24,62.84,98.99,80.99,99.18,-,-,-,-,-
5,Forward PE,-,38.34,38.34,38.34,38.34,38.34,43.26,50.75,47.15,37.42,38.82,47.79,46.47,72.52,52.83,-,-,-,-,-,-
6,PS Ratio,9.99,9.41,6.83,5.56,5.94,8.80,10.07,12.08,14.03,12.28,10.84,12.22,11.01,18.30,15.67,18.69,-,-,-,-,-
7,PB Ratio,4.14,3.69,3.55,3.12,3.26,4.97,5.40,6.45,7.35,6.10,6.16,6.88,5.92,9.70,7.26,8.71,-,-,-,-,-
8,P/TBV Ratio,4.37,4.37,4.21,3.69,3.85,6.00,6.46,7.70,8.75,7.26,7.32,8.18,6.99,11.44,7.28,8.73,-,-,-,-,-
9,P/FCF Ratio,-,-,127.71,-,-,-1395.53,-,-,-,-1276.19,984.00,-,-,935.29,2744.25,-,-,-,-,-,-
10,P/OCF Ratio,-,-,61.47,-,-,161.61,-,-,-,208.81,194.19,-,-,339.89,683.39,-,-,-,-,-,-
11,EV/Sales Ratio,9.13,8.49,6.10,4.75,5.20,8.09,9.17,11.08,12.99,11.17,9.85,11.03,9.61,16.86,13.73,18.19,-,-,-,-,-
12,EV/EBITDA Ratio,107.05,97.84,118.84,85.56,104.04,149.97,84.83,93.56,100.56,82.42,51.28,61.15,50.02,83.13,70.64,87.78,-,-,-,-,-
13,EV/EBIT Ratio,152.97,142.14,196.92,127.14,-,213.69,100.05,-,112.07,90.25,53.68,64.10,51.69,85.54,73.05,90.43,-,-,-,-,-
14,EV/FCF Ratio,-,-,114.19,-,-,-1282.84,-,-,-,-1160.81,893.83,-,-,861.75,2404.71,-,-,-,-,-,-
15,Debt / Equity Ratio,0.08,0.08,0.08,0.08,0.04,0.01,0.11,0.06,0.03,0.02,0.04,0.02,0.00,0.01,0.01,0.01,0.02,-,-,-,-
16,Debt / EBITDA Ratio,2.29,1.28,1.48,2.42,4.60,0.11,1.54,3.62,1.35,0.10,0.42,0.46,0.22,0.04,0.15,0.12,0.19,-,-,-,-
17,Debt / FCF Ratio,-,-,2.76,-,-,-1.87,-,-,-,-3.46,6.14,-,-,1.37,3.09,-,-,-,-,-,-
18,Asset Turnover,-,0.28,0.29,0.26,0.72,0.38,0.25,0.34,0.66,0.41,0.27,0.26,0.91,0.41,0.35,0.56,-,-,-,-,
19,Inventory Turnover,-,-,2.12,2.11,2.12,5.44,1.89,1.91,4.12,7.35,3.65,2.57,3.26,13.05,7.42,4.32,3.52,-,-,-,-
20,Quick Ratio,-,-,2.87,3.37,3.05,3.30,2.47,2.59,3.37,3.15,3.94,3.71,3.41,3.22,6.14,4.90,2.71,2.00,-,1.83,-
21,Current Ratio,-,-,3.42,3.90,3.69,3.79,3.08,3.20,3.85,3.56,4.45,4.24,3.76,3.41,6.44,5.18,3.13,2.35,-,2.47,-
22,Return on Equity (ROE),0.29%,3.96%,2.81%,1.35%,9.11%,6.81%,4.38%,3.80%,20.42%,8.59%,6.08%,3.14%,31.26%,7.97%,5.55%,8.84%,-,-,7.33%,-,
23,Return on Assets (ROA),-,1.95%,0.13%,-0.02%,0.94%,2.73%,-0.46%,0.74%,6.48%,4.35%,0.73%,0.83%,15.82%,2.76%,2.46%,3.68%,-,-,-,-,
24,Return on Capital (ROIC),2.88%,2.42%,0.15%,-0.02%,1.21%,3.54%,-0.60%,0.95%,8.23%,5.40%,0.94%,1.09%,20.08%,3.36%,3.22%,5.92%,-,-,3.44%,-,
25,Return on Capital Employed (ROCE),-,-,1.55%,2.03%,-,2.09%,4.82%,-,5.96%,6.04%,10.15%,9.43%,9.84%,10.30%,8.54%,9.22%,23.29%,23.30%,-,3.17%,-
26,Earnings Yield,0.53%,0.57%,0.78%,1.02%,1.10%,0.78%,1.34%,1.22%,1.03%,1.22%,1.51%,1.40%,1.59%,1.01%,1.23%,1.01%,-,-,-,-,-
27,FCF Yield,-,0.78%,-0.78%,-0.50%,-0.07%,-1.82%,-0.70%,-0.24%,-0.08%,0.10%,-0.05%,-0.23%,0.11%,0.04%,-0.48%,-,-,-,-,-,
28,Dividend Yield,0.43%,-,-,0.69%,-,0.25%,-,-,-,0.46%,-,-,-,0.31%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,354.99%,5.97%,859.97%,6.35%,270.11%,3.17%,1.58%,0.40%,0.89%,300.99%,0.62%,0.17%,269.04%,-,-,2.70%,47.29%,746.63%,-
30,Buyback Yield / Dilution,1.40%,10.25%,14.28%,-15.45%,-0.54%,-0.47%,-8.54%,3.09%,-0.20%,-12.88%,1.01%,1.23%,-36.41%,-22.48%,-41.07%,-30.03%,2.08%,-,-,-,-
31,Total Shareholder Return,1.83%,10.25%,14.28%,-14.76%,-0.54%,-0.21%,-8.54%,3.09%,-0.20%,-12.42%,1.01%,1.23%,-36.41%,-22.17%,-41.07%,-30.03%,2.08%,-,-,-,-
