,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,19631,15117,11008,13104,7160,5719,5778,5441,4950,3883,5678,5086,5274,-,-,-,-,-,-,-
1,Market Cap Growth,164.33%,164.33%,90.51%,140.83%,44.64%,47.27%,1.76%,6.98%,-6.13%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,19150,14509,10176,12321,6377,4882,4867,4546,4055,2926,4650,5332,5519,-,-,-,-,-,-,-
3,Last Close Price,48.40,37.27,27.14,32.28,17.64,14.09,14.23,13.37,12.17,9.55,13.96,12.36,12.82,-,-,-,-,-,-,-
4,PE Ratio,114.42,89.50,78.98,-,44.20,33.45,33.94,-,30.90,29.26,43.34,-,32.92,-,-,-,-,-,-,-
5,Forward PE,119.51,85.00,61.90,37.67,21.65,27.36,29.24,24.33,23.11,18.13,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,14.67,11.48,8.29,9.27,5.05,4.28,4.37,4.31,4.04,3.34,4.98,4.37,4.55,-,-,-,-,-,-,-
7,PB Ratio,8.58,6.34,4.76,5.69,3.06,2.58,2.65,2.53,2.26,1.92,2.86,2.57,2.61,-,-,-,-,-,-,-
8,P/TBV Ratio,7.16,7.16,5.39,6.46,3.49,2.95,3.05,2.89,2.59,2.10,3.15,2.81,2.86,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,85.14,-,-,-,-42.94,-,-,-,-18.16,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,57.22,-,-,-,-316.25,-,-,-,-59.04,-,-,-,-,-,-,-
11,EV/Sales Ratio,14.54,11.02,7.67,8.71,4.49,3.65,3.68,3.60,3.31,2.51,4.08,4.58,4.76,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,95.77,71.99,62.17,-,32.73,39.18,40.68,-,35.12,24.26,38.28,-,32.48,-,-,-,-,-,-,-
13,EV/EBIT Ratio,127.29,85.12,76.61,-,39.52,53.43,55.41,-,46.38,31.13,49.10,-,38.16,-,-,-,-,-,-,-
14,EV/FCF Ratio,-119.64,-,-,-,75.83,-,-,-,-35.18,-,-,-,-19.00,-,-,-,-,-,-,-
