,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,316.85,234.63,228.86,532.84,327.23,321.23,234.14,452.88,313.17,262.38,196.03,392.53,288.59,285.72,192.11,439.03,353.25,190.12,190.12
1,Other Revenue,-1.11,1.11,-,3.73,-0.8,0.8,-,1.33,-,-,-,0.22,-0.09,0.09,-,1.31,0.66,0.36,0.36
2,Revenue,315.74,235.74,228.86,536.57,326.43,322.03,234.14,454.22,313.17,262.38,196.03,392.75,288.5,285.81,192.11,440.34,353.9,190.47,190.47
3,Revenue Growth (YoY),-3.27%,-26.80%,-2.25%,18.13%,4.24%,22.73%,19.44%,15.65%,8.55%,-8.20%,2.04%,-10.81%,-18.48%,50.05%,0.86%,-,-,-,-
4,Cost of Revenue,187.91,122.98,207.13,253.44,231.9,202.6,201.2,250.38,202.29,148.44,178.92,213.06,182.59,161.12,166.98,246.45,207.75,135.22,135.22
5,Gross Profit,127.83,112.76,21.73,283.13,94.53,119.43,32.94,203.84,110.87,113.94,17.11,179.7,105.91,124.69,25.13,193.89,146.15,55.25,55.25
6,"Selling, General & Admin",36.42,38.89,41.69,57.71,39.04,40.44,45.83,55.96,44.56,41.82,43.28,47.19,45.22,34.05,28.63,41.22,39.92,27.39,27.39
7,Research & Development,25.3,33.92,20.28,52.67,27.85,26.42,24.08,46.48,23.71,29.26,25.79,42.05,25.16,18.33,25.1,38.89,31.39,14.08,14.08
8,Other Operating Expenses,-17.01,0.73,0.06,-1.33,-3.31,-7.19,-5.63,28.01,-5.45,-10,-6.63,23.82,-8.36,-6.15,-7.06,1.83,-0.19,2.35,2.35
9,Operating Expenses,51.14,98.41,73.97,151.47,55.47,83.45,78.29,142.18,75.34,72.75,68.05,111.5,69.64,54.49,55.17,85.92,76.34,48.35,48.35
10,Operating Income,76.69,14.35,-52.24,131.66,39.07,35.99,-45.35,61.67,35.54,41.18,-50.94,68.2,36.27,70.2,-30.04,107.98,69.81,6.91,6.91
11,Interest Expense,-1.08,-0.91,-1.09,-1.14,-0.87,-0.41,-0.85,-2.82,-0.09,-3.52,-3.44,-5.2,-2.4,-3.13,-1.28,-,-1.52,-0.68,-0.68
12,Interest & Investment Income,3.36,2.33,5.72,3.02,5.18,6.74,7.61,30.03,7.47,11.8,8.09,7.5,-,0.53,0.6,1,0.81,1.09,1.09
