,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,339.12,364.62,473.14,672.52,360.58,329.66,318.51,406.6,346.22,397.51,480.08,690.85,183.4,-,-,317.74,317.74,90.36,90.36
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.03,56.03,30.53,30.53
2,Trading Asset Securities,306.54,400.78,514.03,579.59,588.84,679.32,778.81,898.17,759.94,882.31,1013,1104,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,645.66,765.41,987.17,1252,949.42,1009,1097,1305,1106,1280,1493,1794,183.4,-,373.77,373.77,373.77,120.89,120.89
4,Cash Growth,-31.99%,-24.14%,-10.04%,-4.04%,-14.17%,-21.16%,-26.49%,-27.29%,503.15%,-,299.38%,380.08%,-50.93%,-,209.19%,-,-,-,-
5,Accounts Receivable,1354,1186,1110,1005,1167,1059,986.41,962.23,846.22,727.75,636.75,569.08,611.77,-,-,323.95,323.95,285.33,285.33
6,Other Receivables,32.69,32.39,34.3,29.41,32.1,35.83,38.36,34.45,29.22,26.31,33.25,29.75,24.01,-,-,16.84,16.84,20.18,20.18
7,Receivables,1387,1218,1145,1034,1199,1094,1025,996.68,875.44,754.06,670,598.83,635.78,-,-,340.8,340.8,305.51,305.51
8,Inventory,187.04,172.58,149.81,167.84,123.18,137.44,84.13,72.72,33.13,34.84,23.65,19.56,2.58,-,-,12.95,12.95,17.15,17.15
9,Prepaid Expenses,-,-,-,-,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Other Current Assets,25.46,16.01,62.43,49.73,22.26,26.08,29.69,16.38,25,22.95,30.65,24.74,47.63,-,-,20.44,20.44,16.22,16.22
11,Total Current Assets,2245,2172,2344,2504,2294,2267,2236,2391,2040,2092,2217,2438,869.38,-,-,747.96,747.96,459.77,459.77
12,"Property, Plant & Equipment",565.2,513.56,497.59,464.99,452.21,449.02,439.45,448.68,414.27,405.03,405.65,408.46,358.31,-,-,185.74,185.74,183.87,183.87
13,Long-Term Investments,14.84,106.77,13.5,13.5,11.29,9.97,10,10,1.03,1.03,1.03,1.03,1.01,-,-,1.37,1.37,0.91,0.91
14,Goodwill,56.85,56.88,56.92,56.95,56.99,57.03,57.07,57.11,13.72,13.87,13.83,13.91,1.33,-,-,1.36,1.36,1.38,1.38
15,Other Intangible Assets,120.49,117.65,119.27,122.83,124.53,127.13,105.93,107.16,92,93.05,94.52,94.53,85.96,-,-,89.4,89.4,87.11,87.11
16,Long-Term Deferred Tax Assets,48.03,47.95,42.79,41.48,38.81,39.32,32.09,30.31,20.58,20.6,17.88,12.99,13.26,-,-,10.56,10.56,9.76,9.76
17,Long-Term Deferred Charges,23.18,17.03,10.8,8.94,5.61,6.56,7.19,8.64,10.07,10.66,12.65,12.49,6.67,-,-,13.05,13.05,14.67,14.67
18,Other Long-Term Assets,119.95,21.64,21.13,16.56,29.96,9.52,32.45,37.82,16.03,35.94,6.87,13.29,30.04,-,-,18.68,18.68,6.23,6.23
19,Total Assets,3194,3054,3106,3229,3014,2966,2920,3090,2607,2672,2770,2994,1366,-,-,1068,1068,763.69,763.69
20,Accounts Payable,448.49,368.17,351.68,397.51,369.55,345.65,300.09,302.58,204.71,165.04,165.66,184.77,185.17,-,-,191.7,191.7,103.42,103.42
21,Accrued Expenses,67.85,130.87,78.33,230.81,67.56,121.84,76.72,216.55,51.07,85.89,52.68,168.01,49.02,-,-,124.64,124.64,80.95,80.95
22,Short-Term Debt,-,-,-,-,1.08,1.08,3.52,3.52,26.54,110.6,250.55,288.7,288.85,-,-,20,20,20,20
23,Current Portion of Long-Term Debt,15.63,6.34,13.53,6.32,17.92,6.27,33.15,23.55,48.5,29.75,32.89,13.54,13.13,-,-,11.32,11.32,5.6,5.6
24,Current Portion of Leases,-,7.77,-,9.43,-,13.97,-,21.66,-,19.48,-,19.04,-,-,-,-,-,-,-
25,Current Income Taxes Payable,70.81,6.6,60.95,18.44,52.25,0.84,43.64,19.77,49,2.04,23.42,6.59,36.07,-,-,13.78,13.78,5.7,5.7
26,Current Unearned Revenue,42.8,46.17,47.04,34.73,100.51,96.97,133.7,112.46,54.61,71.01,74.37,80.71,86.27,-,-,97.18,97.18,103.67,103.67
27,Other Current Liabilities,61.32,74.98,156.81,91.02,78.76,98.22,81.54,89.19,36.18,69.66,33.96,53.89,68.64,-,-,113.02,113.02,88.17,88.17
28,Total Current Liabilities,706.9,640.9,708.34,788.26,687.63,684.84,672.35,789.28,470.6,553.47,633.53,815.25,727.15,-,-,571.65,571.65,407.52,407.52
29,Long-Term Debt,32.66,34.21,35.77,37.32,38.88,40.43,34.21,43.54,42.37,65.24,84.96,88.24,91.5,-,-,42.07,42.07,50.54,50.54
30,Long-Term Leases,18.3,12.66,5.72,6.87,9.29,10.81,17.24,20.64,21.58,26.04,30.55,35.65,28.32,-,-,-,-,-,-
31,Long-Term Unearned Revenue,44.14,44.91,46.68,47.29,47.83,39.3,42.64,42.05,44.95,39.82,34.04,28.12,30.26,-,-,37.57,37.57,27.89,27.89
32,Long-Term Deferred Tax Liabilities,2.72,2.87,1.92,2.24,6.38,6.87,3.09,3.29,0.26,0.26,0.34,0.31,0.23,-,-,0.27,0.27,0.29,0.29
33,Other Long-Term Liabilities,3.58,3.66,3.76,3.82,3.89,3.96,4.03,4.11,4.19,4.26,4.34,4.42,-,-,-,-,-,-,-
34,Total Liabilities,808.3,739.21,802.19,885.79,793.89,786.22,773.57,902.9,583.95,689.11,787.76,971.99,877.46,-,-,651.56,651.56,486.24,486.24
35,Common Stock,405.6,405.6,312,312,312,312,208,208,208,208,160,160,120,-,-,120,120,120,120
36,Additional Paid-In Capital,1183,1181,1274,1270,1269,1267,1368,1364,1362,1361,1406,1405,64.89,-,-,60.36,60.36,54.4,54.4
