,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,168.44,125.69,147.33,86.15,119.34,83.71,167.01,128.14,202.62,109.78,216.78,172.46,223.88,213.02,213.02
1,Other Revenue,-20.79,20.79,-,34.47,-19.31,19.31,-,45.06,-25.03,25.03,-,64.29,-34.21,17.1,17.1
2,Revenue,147.65,146.48,147.33,120.63,100.02,103.02,167.01,173.2,177.58,134.82,216.78,236.75,189.67,230.13,230.13
3,Revenue Growth (YoY),47.62%,42.18%,-11.79%,-30.35%,-43.68%,-23.58%,-22.96%,-26.84%,-6.37%,-41.42%,-5.80%,-,-,-,-
4,Cost of Revenue,125.37,133.49,128.7,120.86,95.48,94.68,145.01,148.92,156.5,114.41,170.76,191.48,154.07,188.54,188.54
5,Gross Profit,22.29,12.98,18.63,-0.23,4.54,8.34,22,24.28,21.08,20.41,46.02,45.27,35.61,41.58,41.58
6,"Selling, General & Admin",7.51,7.96,7.47,9.53,7.86,7.61,6.09,8.78,9.16,4.87,6.65,4.86,8.74,7.16,7.16
7,Research & Development,6.9,4.72,3.19,5.76,4.36,5.34,5.02,4.71,7.22,6.04,9.66,9.57,5.61,9.67,9.67
8,Other Operating Expenses,2.12,0.04,-0.15,-1.96,0.76,-0.08,0.68,11.32,-0.36,-7.65,-0.27,7.98,-2.58,-0.67,-0.67
9,Operating Expenses,19,14.08,11.36,10.49,9.42,16.57,10.44,29.34,17.67,1.03,14.81,24.12,14.71,15.25,15.25
10,Operating Income,3.28,-1.09,7.27,-10.72,-4.87,-8.23,11.56,-5.06,3.41,19.37,31.21,21.15,20.9,26.33,26.33
11,Interest Expense,-0.68,-0.32,-0.86,-1.35,-2.49,-2.73,-,-0.61,-0.57,-0.55,-1.2,-0.66,-1.29,-0.8,-0.8
12,Interest & Investment Income,0.95,2.23,0.48,1.53,2.73,2.56,0.81,2.71,0.87,0.53,0.16,-,0.52,0.16,0.16
13,Currency Exchange Gain (Loss),-0.17,0.17,-,0.11,-0.23,0.23,-,0.27,-0.04,0.04,-,-0.08,0.04,-0.02,-0.02
