,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,94.26,64.67,92.42,163.27,91.95,59.39,168.42,257.39,365.97,475.37,-,61.85,-,-,-
1,Trading Asset Securities,197.19,235.46,228.02,184.62,255.28,257.02,262.02,117.02,5.57,18.05,-,29.81,-,-,-
2,Cash & Short-Term Investments,291.45,300.13,320.44,347.89,347.24,316.41,430.45,374.41,371.54,493.42,91.66,91.66,-,-,69.28
3,Cash Growth,-16.07%,-5.15%,-25.56%,-7.08%,-6.54%,-35.87%,369.62%,308.49%,-,-,32.29%,-,-,-,-
4,Accounts Receivable,379.78,358.82,327.84,299.15,364.75,420.65,389.18,382.15,337.32,256.77,-,334.72,-,-,-
5,Other Receivables,0.36,0.42,0.74,5.07,0.4,0.75,0.38,0.14,0.71,0.23,-,1.55,-,-,-
6,Receivables,380.14,359.24,328.58,304.22,365.15,421.4,389.57,382.29,338.03,257,-,336.27,-,-,-
7,Inventory,92.25,87.94,92.85,101.79,70.26,81.47,85.33,94.44,82.31,87.85,-,93.17,-,-,-
8,Prepaid Expenses,-,-,-,0.17,-,-,-,-,-,-,-,0.01,-,-,-
9,Other Current Assets,36.8,34.33,46.47,38.51,27.6,19.13,19.92,25.1,14.19,27.93,-,7.79,-,-,-
10,Total Current Assets,800.64,781.64,788.34,792.57,810.25,838.4,925.26,876.25,806.07,866.21,-,528.89,-,-,-
11,"Property, Plant & Equipment",305.45,287.57,277.16,258.74,226.12,227.23,211.34,199.1,184.83,142.03,-,125.55,-,-,-
12,Other Intangible Assets,44.79,45.12,45.17,45.51,45.94,46.38,18.91,19.2,19.5,19.62,-,20.18,-,-,-
13,Long-Term Deferred Tax Assets,11.35,10.73,10.92,11.55,6.94,7.22,7.62,6.9,3.35,3.68,-,4.05,-,-,-
