,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2291,1856,2038,2643,2657,2369,2277,2200,2061,2471,3506,-,-,-,-,-
1,Market Cap Growth,-21.65%,-21.65%,-10.52%,20.16%,28.91%,-4.14%,-35.05%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2184,1721,1886,2507,2520,2287,2034,1871,1732,2009,3543,-,-,-,-,-
3,Last Close Price,30.68,24.86,27.29,35.40,35.58,31.35,30.14,29.11,27.27,32.22,45.71,-,-,-,-,-
4,PE Ratio,320.46,259.67,-572.46,-141.24,-,-,-,49.16,35.03,34.58,41.08,-,-,-,-,-
5,PS Ratio,4.08,3.30,3.96,5.61,5.41,4.36,3.67,3.37,2.93,3.23,4.51,-,-,-,-,-
6,PB Ratio,3.11,2.52,2.78,3.64,3.68,3.14,2.98,2.85,2.71,3.30,4.47,-,-,-,-,-
7,P/TBV Ratio,2.68,2.68,2.96,3.88,3.93,3.34,3.18,2.92,2.78,3.39,4.59,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-11.03,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,30.64,-,-,-,-18.98,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.89,3.06,3.67,5.32,5.14,4.21,3.28,2.87,2.47,2.62,4.55,-,-,-,-,-
11,EV/EBITDA Ratio,150.25,114.93,288.68,-3434.15,-,-,-,43.27,-,23.00,33.85,-,-,-,-,-
12,EV/EBIT Ratio,-,-1371.94,-,-151.50,-,-,-,63.86,-,26.73,38.24,-,-,-,-,-
13,EV/FCF Ratio,-48.00,-,-,-,-10.46,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.25,0.25,0.23,0.23,0.20,0.28,0.31,0.24,0.12,0.06,0.04,0.33,0.33,-,-,0.42
15,Debt / EBITDA Ratio,12.77,6.37,13.14,3.75,-,-,-,3.07,-,1.69,0.33,0.83,1.18,-,-,0.91
16,Debt / FCF Ratio,-,-,-,-,-0.59,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.51,0.52,0.53,0.44,0.36,0.36,0.59,0.65,0.69,-,-,-,-,-,-,
18,Inventory Turnover,6.26,5.57,5.91,5.29,5.62,5.03,4.54,6.45,6.74,7.36,-,-,-,-,-,-
19,Quick Ratio,2.28,2.28,2.58,2.60,2.36,3.15,3.00,2.93,2.36,2.68,3.06,-,1.26,-,-,-
20,Current Ratio,2.72,2.72,3.06,3.16,2.86,3.58,3.41,3.30,2.74,3.04,3.53,-,1.56,-,-,-
21,Return on Equity (ROE),1.75%,3.54%,2.86%,-4.61%,-3.95%,-4.43%,6.09%,5.86%,2.34%,12.51%,30.40%,-,-,-,-,
22,Return on Assets (ROA),0.71%,-0.24%,1.63%,-2.43%,-1.10%,-1.80%,2.55%,-1.19%,0.83%,-,-,-,-,-,-,
23,Return on Capital (ROIC),0.90%,-0.30%,2.06%,-2.93%,-1.24%,-2.10%,3.19%,-1.54%,1.06%,7.64%,17.26%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-0.14%,-,-1.89%,-,-,-,3.31%,-,9.99%,11.76%,-,27.77%,-,-,-
25,Earnings Yield,0.31%,0.39%,-0.17%,-0.71%,-0.47%,0.28%,0.82%,2.03%,2.85%,2.89%,2.43%,-,-,-,-,-
26,FCF Yield,-1.99%,-2.45%,-2.42%,-6.33%,-9.07%,-14.61%,-18.12%,-12.69%,-9.45%,-7.78%,-4.53%,-,-,-,-,-
27,Dividend Yield,0.00%,-,-,-,-,1.28%,-,-,-,-,1.17%,-,-,-,-,-
28,Payout Ratio,501.54%,14.07%,25.97%,57.09%,-,-,-,3.20%,365.38%,6.25%,1.54%,2.57%,1.48%,2.33%,10.96%,10.96%
29,Buyback Yield / Dilution,0.16%,-10.06%,13.81%,-7.14%,0.74%,10.59%,-50.66%,-30.20%,-33.38%,-32.45%,-0.96%,-0.02%,-,-,-,-
30,Total Shareholder Return,0.16%,-10.06%,13.81%,-7.14%,0.74%,11.86%,-50.66%,-30.20%,-33.38%,-32.45%,0.21%,-0.02%,-,-,-,-
