,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,15.33,16.55,21.83,41.25,31.91,31.91,36.44,42.78,37.38,51.18,Upgrade
1,Revenue Growth (YoY),-29.76%,-59.88%,-31.60%,29.27%,-12.43%,-25.42%,-2.52%,-16.41%,3.73%,-47.58%,Upgrade
2,Cost of Revenue,4.9,6.8,20.35,19.17,12.75,13.46,13.23,13.54,10.46,24.84,Upgrade
3,Gross Profit,10.43,9.75,1.48,22.08,19.17,18.45,23.21,29.25,26.93,26.35,Upgrade
4,"Selling, General & Admin",15.03,27.26,20.63,12.36,12.79,3.23,25.72,19.41,31.31,35.56,Upgrade
5,Operating Expenses,15.03,27.26,20.63,12.36,12.79,3.23,25.72,19.41,31.31,35.56,Upgrade
6,Operating Income,-4.6,-17.5,-19.16,9.72,6.38,15.22,-2.51,9.84,-4.38,-9.22,Upgrade
7,Interest Expense,-1.26,-1.14,-0.72,-1.04,-0.64,-1.19,-1.11,-1.31,-1.01,-1.04,Upgrade
8,Interest & Investment Income,-,0.45,-,0.2,-,0.01,-,0.09,-,0.18,Upgrade
9,Earnings From Equity Investments,-7.35,-0.87,-4.39,13.66,-16.36,-0.41,-11.18,8.78,-25.12,-4.83,Upgrade
10,Currency Exchange Gain (Loss),2.12,-7.7,10.38,16.15,-,-4.61,-2.57,-14.06,4.39,4.45,Upgrade
11,Other Non Operating Income (Expenses),0.37,0.99,0.59,2.32,0.14,0.79,0.69,4.9,0.26,0.81,Upgrade
12,EBT Excluding Unusual Items,-10.72,-25.76,-13.3,41.01,-10.48,9.8,-16.67,8.24,-25.87,-9.64,Upgrade
13,Impairment of Goodwill,-,-,-,-,-,-,-,-12.27,-,-11.13,Upgrade
14,Gain (Loss) on Sale of Investments,-34.96,-18.36,-0.6,-98.8,-19.25,-33.51,-3.16,-74.6,-8.34,-24.53,Upgrade
15,Gain (Loss) on Sale of Assets,19.98,12.6,4.97,-0.1,-,-,-,0.45,-,-2.96,Upgrade
16,Asset Writedown,-,-,-,-,-,-,-,-34.06,-,-,Upgrade
17,Other Unusual Items,-,-,-,0.32,-,-,-,0.53,-,-,Upgrade
18,Pretax Income,-25.7,-31.52,-8.94,-57.57,-29.72,-23.71,-19.83,-111.7,-34.2,-48.26,Upgrade
19,Income Tax Expense,-,-3.09,0.02,1.97,-,-0.29,1.34,-2.05,-0.46,0.7,Upgrade
20,Earnings From Continuing Operations,-25.7,-28.44,-8.96,-59.54,-29.72,-23.42,-21.17,-109.65,-33.75,-48.96,Upgrade
21,Minority Interest in Earnings,0.53,9.96,4.16,9.32,-2.53,4.42,0.04,6.6,-1.03,4.65,Upgrade
22,Net Income,-25.17,-18.48,-4.8,-50.22,-32.26,-19,-21.13,-103.05,-34.78,-44.31,Upgrade
23,Net Income to Common,-25.17,-18.48,-4.8,-50.22,-32.26,-19,-21.13,-103.05,-34.78,-44.31,Upgrade
24,Shares Outstanding (Basic),736,736,736,696,616,618,405,378,319,319,Upgrade
25,Shares Outstanding (Diluted),736,736,736,696,616,618,405,378,319,319,Upgrade
26,Shares Change (YoY),-,5.81%,19.48%,12.60%,52.15%,63.44%,27.07%,18.63%,-,0.00%,Upgrade
27,EPS (Basic),-0.03,-0.03,-0.01,-0.07,-0.05,-0.03,-0.05,-0.27,-0.11,-0.14,Upgrade
28,EPS (Diluted),-0.03,-0.03,-0.01,-0.08,-0.05,-0.03,-0.05,-0.28,-0.11,-0.14,Upgrade
29,Free Cash Flow,6.88,-18.31,-14.9,6.35,-14.18,-49.27,26.42,4.62,-28.83,-22.23,Upgrade
30,Free Cash Flow Per Share,0.01,-0.02,-0.02,0.01,-0.02,-0.08,0.07,0.01,-0.09,-0.07,Upgrade
31,Operating Margin,-30.00%,-105.76%,-87.76%,23.56%,19.99%,47.69%,-6.88%,23.00%,-11.73%,-18.00%,Upgrade
32,Profit Margin,-164.16%,-111.65%,-21.99%,-121.73%,-101.08%,-59.55%,-58.00%,-240.86%,-93.04%,-86.58%,Upgrade
33,Free Cash Flow Margin,44.84%,-110.62%,-68.25%,15.40%,-44.44%,-154.41%,72.51%,10.81%,-77.13%,-43.42%,Upgrade
34,EBITDA,-4.6,-17.47,-18.93,9.93,6.61,16,-2.42,15.14,1.08,-11.11,Upgrade
35,D&A For EBITDA,0,0.04,0.23,0.21,0.23,0.78,0.09,5.3,5.46,-1.89,Upgrade
36,EBIT,-4.6,-17.5,-19.16,9.72,6.38,15.22,-2.51,9.84,-4.38,-9.22,Upgrade
