,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Oct '24 Oct 31, 2024","Apr '24 Apr 30, 2024","Oct '23 Oct 31, 2023","Apr '23 Apr 30, 2023","Oct '22 Oct 31, 2022","Apr '22 Apr 30, 2022","Oct '21 Oct 31, 2021","Apr '21 Apr 30, 2021","Oct '20 Oct 31, 2020","Apr '20 Apr 30, 2020"
0,Market Capitalization,129,198,195,214,214,1172,219,246,221,268,529
1,Market Cap Growth,-7.65%,-7.65%,-8.82%,-81.72%,-2.30%,376.92%,-0.57%,-8.45%,-58.33%,-,-
2,Enterprise Value,18,123,102,66,52,988,141,152,146,218,516
3,Last Close Price,0.10,0.16,0.15,0.17,0.15,0.80,0.14,0.16,0.14,0.17,0.34
4,PE Ratio,-,-71.79,-,6.52,41.55,-,35.04,-,10.14,-,19.08
5,PS Ratio,0.25,0.39,0.29,0.26,0.28,1.48,0.30,0.46,0.50,0.80,1.21
6,PB Ratio,0.48,0.74,0.79,0.85,0.74,4.52,0.70,0.78,0.69,0.93,1.83
7,P/TBV Ratio,0.74,0.74,0.79,0.85,0.74,4.52,0.70,0.78,0.69,0.93,1.83
8,P/FCF Ratio,56.82,87.46,-,-,-,11.38,2.34,-,-7.32,-,12.33
9,P/OCF Ratio,10.05,10.05,-,-,-,11.18,2.28,-,-10.10,-,11.25
10,EV/Sales Ratio,0.04,0.24,0.15,0.08,0.07,1.25,0.20,0.29,0.33,0.65,1.18
11,EV/EBITDA Ratio,-,-23.84,-,1.65,5.03,-,11.24,-,4.37,-,11.46
12,EV/EBIT Ratio,-,-13.14,-,1.91,30.27,-,16.06,-,4.87,-,12.36
13,EV/FCF Ratio,8.05,54.43,-,-,-,9.59,1.50,-,-4.85,-,12.03
14,Debt / Equity Ratio,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.03,0.04
15,Debt / FCF Ratio,0.52,0.52,-,-,-,0.00,0.00,-,-0.16,-,0.25
16,Return on Capital Employed (ROCE),-,-3.46%,-,13.56%,0.59%,-,2.79%,-,9.31%,-,14.16%
17,Earnings Yield,-2.14%,-1.39%,7.09%,15.34%,2.41%,0.03%,2.85%,9.74%,9.86%,4.30%,5.24%
18,FCF Yield,1.76%,1.14%,-24.05%,-14.40%,0.23%,8.79%,42.70%,4.25%,-13.66%,-15.36%,8.11%
19,Dividend Yield,0.00%,-,-,-,22.03%,-,12.09%,-,-,-,-
20,Buyback Yield / Dilution,-,-,-,-,-,-,0.20%,-32.36%,-33.61%,-0.73%,
21,Total Shareholder Return,-,-,-,22.03%,-,12.09%,0.20%,-32.36%,-33.61%,-0.73%,
