,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Operating Revenue,6115,5902,5253,7097,5748
1,Other Revenue,11.96,-,11.81,-,-
2,Revenue,6127,5902,5265,7097,5748
3,Revenue Growth (YoY),16.38%,-16.83%,-8.40%,-,-
4,Cost of Revenue,5410,5143,4462,6143,4920
5,Gross Profit,716.62,758.78,802.91,953.76,828.31
6,"Selling, General & Admin",228.23,511.64,259.32,712.95,480.05
7,Research & Development,132.65,-,177.44,-,-
8,Other Operating Expenses,12.87,-8.64,12.79,-2.3,-0.2
9,Operating Expenses,410.94,503,491.9,710.66,479.85
10,Operating Income,305.68,255.78,311.01,243.1,348.46
11,Interest Expense,-187.08,-157.45,-179.18,-191.94,-195.73
12,Interest & Investment Income,9.55,18.37,10.05,7.44,6.66
13,Earnings From Equity Investments,-,2.07,-,-0.57,6.1
14,Currency Exchange Gain (Loss),0.85,-,0,-,-
15,Other Non Operating Income (Expenses),-20.63,-17.44,-22.35,-10.47,-6.87
16,EBT Excluding Unusual Items,108.38,101.33,119.54,47.56,158.61
17,Gain (Loss) on Sale of Investments,-0.7,-,-,-,-
18,Gain (Loss) on Sale of Assets,2.97,2.3,1.32,1.55,2.63
19,Asset Writedown,-0.52,0.58,0.07,1.13,1.31
20,Other Unusual Items,3.34,-,-,-,-
21,Pretax Income,113.45,104.2,120.92,50.23,162.55
22,Income Tax Expense,-2.29,8.87,10.69,-14.05,26.39
23,Earnings From Continuing Operations,115.74,95.33,110.23,64.28,136.16
24,Minority Interest in Earnings,-26.27,-24.85,-25.77,-21.09,-28.46
25,Net Income,89.47,70.48,84.46,43.19,107.69
26,Net Income to Common,89.47,70.48,84.46,43.19,107.69
27,Net Income Growth,5.93%,63.18%,-21.57%,-,-
28,Shares Outstanding (Basic),1278,1082,1056,1000,1000
29,Shares Outstanding (Diluted),1278,1082,1056,1000,1000
30,Shares Change (YoY),21.06%,8.19%,5.58%,-,-
31,EPS (Basic),0.07,0.07,0.08,0.04,0.11
32,EPS (Diluted),0.07,0.07,0.08,0.04,0.11
33,EPS Growth,-12.50%,53.98%,-25.71%,-,-
34,Free Cash Flow,-92.39,47.39,-290.89,-152.26,-138.71
35,Free Cash Flow Per Share,-0.07,0.04,-0.28,-0.15,-0.14
36,Operating Margin,4.99%,4.33%,5.91%,3.43%,6.06%
37,Profit Margin,1.46%,1.19%,1.60%,0.61%,1.87%
38,Free Cash Flow Margin,-1.51%,0.80%,-5.52%,-2.15%,-2.41%
39,EBITDA,345.93,323.21,354.78,286.98,391.9
40,D&A For EBITDA,40.25,67.43,43.77,43.88,43.44
41,EBIT,305.68,255.78,311.01,243.1,348.46
42,Advertising Expenses,-,-,0.04,-,-
