,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,2816,3022,3008,-,-,-
1,Enterprise Value,7503,8346,8741,-,-,-
2,Last Close Price,2.05,2.20,2.19,-,-,-
3,PE Ratio,13.74,17.58,17.62,-,-,-
4,PS Ratio,0.18,0.23,0.24,-,-,-
5,PB Ratio,0.97,0.86,0.87,-,-,-
6,P/TBV Ratio,1.12,1.12,1.07,-,-,-
7,P/FCF Ratio,-,-,-11.21,-,-,-
8,P/OCF Ratio,5.44,5.44,5.34,-,-,-
9,EV/Sales Ratio,0.58,0.65,0.71,-,-,-
10,EV/EBITDA Ratio,10.33,11.61,11.70,-,-,-
11,EV/EBIT Ratio,12.74,13.83,14.00,-,-,-
12,EV/FCF Ratio,-189.89,-,-32.59,-,-,-
13,Debt / Equity Ratio,2.10,2.10,2.05,2.88,2.58,-
14,Debt / FCF Ratio,-,-,-26.37,-,-,-
15,Return on Capital Employed (ROCE),7.93%,8.19%,8.70%,10.72%,10.93%,-
16,Earnings Yield,6.10%,5.69%,5.67%,-,-,-
17,FCF Yield,-1.40%,-1.60%,-8.92%,-,-,-
18,Buyback Yield / Dilution,-12.08%,-21.06%,-8.19%,-5.58%,-,-
19,Total Shareholder Return,-11.94%,-21.06%,-8.19%,-5.58%,-,-
