,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,546.36,470.97,476.05,435.27,387.11,414.84,382.64,401.48,398.35,516.24,508.35,427.58
1,Other Revenue,-,-2.13,2.13,-,30.2,-16.02,16.02,-,105.94,-19.29,19.29,-
2,Revenue,546.36,468.84,478.18,435.27,417.31,398.82,398.66,401.48,504.29,496.95,527.64,427.58
3,Revenue Growth (YoY),30.93%,17.56%,19.95%,8.42%,-17.25%,-19.75%,-24.44%,-6.10%,-,-,-,-
4,Cost of Revenue,-960.97,346.21,329.18,285.58,265.48,266.91,243.36,253.52,330.57,326.33,314.14,254.68
5,Gross Profit,1507,122.63,149,149.7,151.83,131.91,155.3,147.97,173.72,170.62,213.5,172.9
6,"Selling, General & Admin",-158.67,50.82,56.68,51.18,73.52,54.19,42.04,53.66,50.91,48.25,49.47,56.38
7,Research & Development,-93.46,29.72,24.56,39.19,39.38,58.6,25.68,37.04,32.3,73.72,35.9,15.21
8,Other Operating Expenses,1647,-58.72,33.75,-35.57,78.03,-51.87,-4.91,-31.46,25.21,-13.32,5.29,-2.33
9,Operating Expenses,1395,19.51,113.59,58.31,191.11,63.8,61.17,61.21,106.86,105.92,92.12,70.52
10,Operating Income,112.28,103.11,35.41,91.39,-39.27,68.12,94.13,86.76,66.86,64.7,121.38,102.39
11,Interest Expense,-34.34,-0.03,-0.13,-0.13,-,-0.26,-0.29,-0.31,-,-0.93,-1.14,-1.09
12,Interest & Investment Income,0.29,11.72,10.38,12.24,12.4,17.58,3.45,1.85,5.44,2.46,1.57,0.53
13,Currency Exchange Gain (Loss),-,-2.89,2.89,-,2.13,-5.05,5.05,-,11.55,-5.92,5.92,-
14,Other Non Operating Income (Expenses),-2.85,2.89,-0.08,0.06,-3,2.93,3.86,-3.82,-13.03,13.26,0.23,-0.27
15,EBT Excluding Unusual Items,75.38,114.79,48.48,103.56,-27.75,83.33,106.2,84.48,70.83,73.57,127.96,101.55
16,Gain (Loss) on Sale of Investments,-,-3.78,1.76,2.02,2.43,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,-,-0.04,-0.01,-,-,0.27,-,0.08,-
18,Asset Writedown,-1.68,1.68,4.74,-4.74,3.5,-3.5,-7.39,7.39,7.51,-7.51,-1,1
19,Other Unusual Items,-,-49.19,49.16,0.03,103.91,-,-,-,36.88,-,-,-
20,Pretax Income,73.69,63.51,104.14,100.87,82.05,79.82,98.81,91.87,115.49,66.06,127.04,102.55
21,Income Tax Expense,3.85,7.27,16.61,10.54,-3.77,2.86,12.03,6.56,7.01,-2.14,12.88,10.47
22,Net Income,69.84,56.23,87.53,90.33,85.82,76.95,86.78,85.3,108.48,68.2,114.16,92.09
23,Net Income to Common,69.84,56.23,87.53,90.33,85.82,76.95,86.78,85.3,108.48,68.2,114.16,92.09
24,Net Income Growth,-18.62%,-26.93%,0.87%,5.89%,-20.89%,12.83%,-23.99%,-7.36%,-,-,-,-
25,Shares Outstanding (Basic),537,550,515,531,505,538,507,449,452,453,436,460
26,Shares Outstanding (Diluted),537,550,515,531,505,538,507,449,452,453,436,460
27,Shares Change (YoY),6.30%,2.16%,1.55%,18.34%,11.64%,18.80%,16.22%,-2.49%,-,-,-,-
