,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,2988,2893,2925,2928,2823,3258,542.75,638.26,-,534.61,-
1,Trading Asset Securities,-,-,306.21,304.45,302.43,300,-,-,-,-,-,-
2,Cash & Short-Term Investments,2988,2988,3199,3229,3230,3123,3258,542.75,638.26,-,534.61,593.56
3,Cash Growth,-7.49%,-4.32%,-1.79%,495.00%,406.06%,-,509.36%,-8.56%,-,-,-,-
4,Accounts Receivable,-,449.17,475.83,515.94,482.83,487.29,422.05,459.87,417.91,-,496.69,-
5,Other Receivables,-,1.24,0.96,6.99,1.12,6.43,1.4,1.16,0.41,-,1.08,-
6,Receivables,-,450.4,476.79,522.93,483.95,493.72,423.46,461.03,418.32,-,497.77,-
7,Inventory,-,231.37,219,223.22,225.28,244.05,273.22,290.02,257.32,-,318.99,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,2.41,-
9,Other Current Assets,-,132.38,91.03,93.8,109.61,126.5,116.75,136.58,120.96,-,158.59,-
10,Total Current Assets,-,3802,3986,4069,4049,3987,4071,1430,1435,-,1512,-
11,"Property, Plant & Equipment",-,1890,1730,1583,1562,1526,1446,1340,1254,-,1072,-
12,Other Intangible Assets,-,340.08,266.2,268.66,206.6,71,71.51,71.99,72.5,-,70.26,-
13,Long-Term Deferred Tax Assets,-,-,-,-,-,7.79,7.57,4.49,-,-,4.35,-
14,Long-Term Deferred Charges,-,-,-,-,0.71,18.06,26.16,36.98,48.91,-,36.77,-
15,Other Long-Term Assets,-,75.43,26.01,20.83,20.37,160.6,167.46,26.03,28.7,-,15.32,-
16,Total Assets,-,6108,6009,5941,5839,5771,5790,2910,2839,-,2711,-
17,Accounts Payable,-,379.73,117.28,283.56,106.38,329.97,308.16,295,135.8,-,282.94,-
18,Accrued Expenses,-,15.69,44.14,3.37,48.01,4.66,0.71,2.8,45.02,-,8.93,-
19,Current Portion of Leases,-,2.97,5.8,8.51,11.24,10.73,10.68,10.62,10.61,-,36.28,-
20,Current Income Taxes Payable,-,11.46,4.23,7.95,1.78,4.66,6.19,6.2,1.71,-,9.46,-
21,Current Unearned Revenue,-,10.96,19.84,10.49,5.77,7.51,5.74,16.67,12.78,-,23.1,-
22,Other Current Liabilities,-,11.54,191.55,8.67,139.01,11.41,126.65,13.54,135.19,-,10.96,-
23,Total Current Liabilities,-,432.35,382.84,322.54,312.19,368.94,458.13,344.83,341.11,-,371.67,-
24,Long-Term Leases,-,-,-,-,-,9.19,12.24,14.89,17.46,-,71.65,-
25,Long-Term Unearned Revenue,-,208.66,216.52,204.44,210.06,143.2,150.86,159.68,185.89,-,146.1,-
26,Long-Term Deferred Tax Liabilities,-,20.12,17.4,9.88,4.15,20.76,14.87,11.47,4.2,-,7.82,-
27,Total Liabilities,-,661.14,616.76,536.86,526.4,542.08,636.09,530.87,548.65,-,597.25,-
28,Common Stock,-,529.41,529.41,529.41,529.41,529.41,529.41,450,450,-,450,-
29,Additional Paid-In Capital,-,4109,4109,4109,4109,4109,4109,1385,1385,-,986.29,-
30,Retained Earnings,-,793.22,736.99,750.05,659.72,573.9,496.94,525.39,440.27,-,663.89,-
31,Comprehensive Income & Other,-,15.74,16.69,16.41,14.61,16.67,18.7,18.06,14.83,-,14.06,-
32,Shareholders' Equity,5447,5447,5392,5405,5313,5229,5154,2379,2290,-,2114,1908
33,Total Liabilities & Equity,-,6108,6009,5941,5839,5771,5790,2910,2839,-,2711,-
34,Total Debt,2.97,2.97,5.8,8.51,11.24,19.92,22.92,25.51,28.07,-,107.93,110.35
35,Net Cash (Debt),2985,2985,3193,3221,3219,3103,3235,517.24,610.19,-,426.67,483.21
36,Net Cash Growth,-7.26%,-3.80%,-1.28%,522.70%,427.50%,-,658.13%,7.04%,-,-,-,-
37,Net Cash Per Share,5.56,5.43,6.20,6.06,6.37,5.77,6.38,1.15,1.35,-,0.98,1.05
38,Filing Date Shares Outstanding,529.41,529.41,529.41,529.41,529.41,529.41,529.41,450,529.41,453.03,450,460.43
39,Total Common Shares Outstanding,529.41,529.41,529.41,529.41,529.41,529.41,529.41,450,450,453.03,450,460.43
40,Working Capital,-,3370,3603,3747,3737,3618,3613,1086,1094,-,1141,-
41,Book Value Per Share,10.29,10.29,10.18,10.21,10.03,9.88,9.74,5.29,5.09,-,4.70,4.24
42,Tangible Book Value,5107,5107,5126,5136,5106,5158,5082,2307,2218,-,2044,1837
43,Tangible Book Value Per Share,9.65,9.65,9.68,9.70,9.64,9.74,9.60,5.13,4.93,-,4.54,4.08
44,Buildings,-,-,776.31,-,773.44,-,504.98,-,504.68,-,494.67,-
45,Machinery,-,-,1579,-,1553,-,1184,-,1139,-,1019,-
46,Construction In Progress,-,-,328.15,-,71.79,-,513.33,-,284.88,-,77.71,-
