,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,15729,15374,16676,15803,13791,18005,19440,22341,-,-,-,-,-
1,Market Cap Growth,-14.61%,-14.61%,-14.22%,-29.27%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,12744,12389,13483,12582,10688,14902,16205,21824,-,-,-,-,-
3,Last Close Price,29.71,29.04,31.50,29.85,25.88,33.79,36.48,41.71,-,-,-,-,-
4,PE Ratio,52.12,50.58,52.13,46.39,40.58,53.77,54.37,64.06,-,-,-,-,-
5,Forward PE,35.16,36.41,37.61,36.70,34.28,36.28,41.03,-,-,-,-,-,-
6,PS Ratio,8.21,7.97,9.27,9.14,8.36,11.14,11.41,12.40,-,-,-,-,-
7,PB Ratio,2.89,2.82,3.06,2.93,2.55,3.39,3.72,4.33,-,-,-,-,-
8,P/TBV Ratio,3.01,3.01,3.27,3.08,2.69,3.53,3.77,4.40,-,-,-,-,-
9,P/FCF Ratio,-,-,-,101.42,240.38,-187.47,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,21.48,21.50,20.75,34.14,39.95,33.96,-,-,-,-,-
11,EV/Sales Ratio,6.61,6.42,7.49,7.27,6.48,9.22,9.51,12.12,-,-,-,-,-
12,EV/EBITDA Ratio,25.87,24.18,37.37,38.73,29.30,-,34.90,47.16,-,-,-,-,-
13,EV/EBIT Ratio,37.24,36.21,70.73,80.84,49.86,-,51.30,69.85,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,80.75,186.29,-155.16,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,-,0.05,0.06
16,Debt / EBITDA Ratio,0.01,0.00,0.01,0.01,0.02,0.32,0.05,0.04,0.05,0.06,-,0.16,0.20
17,Debt / FCF Ratio,-,-,-,0.04,0.15,-0.12,-,-,-,0.39,-,-,-
18,Asset Turnover,-,0.31,0.32,0.30,0.29,0.28,0.37,0.56,-,-,-,-,
19,Inventory Turnover,-,-,6.15,5.96,5.09,4.53,4.13,3.46,3.71,-,-,-,-
20,Quick Ratio,-,-,7.95,9.60,11.63,11.90,9.80,8.04,2.91,3.10,-,2.78,-
21,Current Ratio,-,-,8.79,10.41,12.62,12.97,10.81,8.89,4.15,4.21,-,4.07,-
22,Return on Equity (ROE),5.13%,4.15%,6.49%,6.74%,6.51%,5.93%,9.22%,14.62%,-,-,22.71%,-,
23,Return on Assets (ROA),-,4.25%,1.48%,3.88%,-1.69%,2.95%,5.41%,7.55%,-,-,-,-,
24,Return on Capital (ROIC),5.15%,4.75%,1.64%,4.26%,-1.86%,3.27%,6.21%,9.19%,-,-,14.31%,-,
25,Return on Capital Employed (ROCE),-,-,3.36%,2.77%,3.82%,-,5.85%,5.86%,13.25%,14.23%,-,9.56%,-
26,Earnings Yield,1.93%,1.98%,1.92%,2.16%,2.46%,1.86%,1.84%,1.56%,-,-,-,-,-
27,FCF Yield,-,-0.20%,0.99%,0.42%,-0.53%,-0.93%,-0.26%,-,-,-,-,-,
28,Dividend Yield,0.63%,-,-,-,-,0.56%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,114.92%,-,-,149.98%,-,-,-,-,-,-
30,Buyback Yield / Dilution,-6.69%,-6.30%,-2.16%,-1.55%,-18.34%,-11.64%,-18.80%,-16.22%,2.49%,-,-,-,-
31,Total Shareholder Return,-6.06%,-6.30%,-2.16%,-1.55%,-18.34%,-11.08%,-18.80%,-16.22%,2.49%,-,-,-,-
