,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,300234,300234,271758,-,424853,424853,366294,-,158347,95831,138675,-,336585,-,143263,-,21930,54169,-,-,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,246841,-,-,449436,782779,-,576133,-,355296,-,586009,-,-,-,Upgrade
2,Trading Asset Securities,2572644,2572644,2088615,-,2037923,2037923,1526799,-,1803506,1462677,1470523,-,1719910,-,1511046,-,1486999,1274163,-,-,Upgrade
3,Other Receivables,3330896,3330896,3093167,-,3329155,3329155,2339872,-,1577816,1913747,1806652,-,1674899,-,1624492,-,1054837,832544,-,-,Upgrade
4,"Property, Plant & Equipment",29839,29839,29529,-,33103,33103,11111,-,7278,8361,5361,-,7582,-,10125,-,12172,13700,-,-,Upgrade
5,Other Intangible Assets,32355,32355,32846,-,33524,33524,33725,-,34342,34970,35613,-,37268,-,38959,-,40683,41885,-,-,Upgrade
6,Investments in Debt & Equity Securities,2384435,2384435,2376385,-,2645800,2645800,2443975,-,1410487,1658453,1951368,-,2292825,-,1424565,-,1036553,756964,-,-,Upgrade
7,Other Current Assets,10138,10138,6044,-,11312,11312,20178,-,11679,15824,14776,-,10026,-,7252,-,4035,3007,-,-,Upgrade
8,Other Long-Term Assets,37582,37582,41104,-,43791,43791,32602,-,33514,33933,30477,-,30457,-,30502,-,30488,30685,-,-,Upgrade
9,Total Assets,8698122,8698122,7939449,-,8559462,8559462,7021398,-,5036970,5673231,6236224,-,6685686,-,5145502,-,4273706,3007118,-,-,Upgrade
10,Accounts Payable,6011,6011,235651,-,58910,58910,6670,-,9119,6612,3126,-,987.64,-,150533,-,438.62,770.88,-,-,Upgrade
11,Accrued Expenses,54747,54747,59611,-,47910,47910,52416,-,43533,21230,28383,-,55542,-,102985,-,21584,13350,-,-,Upgrade
12,Short-Term Debt,6330591,6330591,5440018,-,6357889,6357889,4686617,-,3075099,3396603,3499097,-,4100407,-,2849868,-,2166723,1618048,-,-,Upgrade
13,Other Current Liabilities,9667,9667,2000,-,3628,3628,272510,-,2760,326126,782845,-,594540,-,356396,-,590271,3699,-,-,Upgrade
14,Long-Term Unearned Revenue,641.2,641.2,729.77,-,457.73,457.73,507.69,-,1652,3712,3836,-,4225,-,5044,-,5365,5806,-,-,Upgrade
15,Long-Term Deferred Tax Liabilities,22529,22529,28320,-,25614,25614,26455,-,44431,49606,53754,-,73445,-,57896,-,37842,17718,-,-,Upgrade
16,Total Liabilities,6445213,6445213,5789194,-,6521347,6521347,5083612,-,3182651,3813600,4388195,-,4873878,-,3553494,-,2836267,1671240,-,-,Upgrade
17,Common Stock,1487383,1487383,1487383,-,1487383,1487383,1487383,-,1487383,1149468,1149468,-,1064366,-,1064366,-,1064366,1064366,-,-,Upgrade
18,Additional Paid-In Capital,7429,7429,7429,-,6151,6151,6151,-,6151,6151,6165,-,6179,-,6179,-,6179,6179,-,-,Upgrade
19,Retained Earnings,758097,758097,647242,-,544840,544840,444511,-,372192,713412,700147,-,741523,-,521722,-,367154,265592,-,-,Upgrade
20,Comprehensive Income & Other,-,-,8201,-,-,-,-,-,-11147,-9140,-7492,-,-,-,-,-,-,-,-,-,Upgrade
21,Shareholders' Equity,2252909,2252909,2150255,2038115,2038115,2038115,1937786,-,1854320,1859631,1848029,1811809,1811809,-,1592008,1437440,1437440,1335877,-,1313042,Upgrade
22,Total Liabilities & Equity,8698122,8698122,7939449,-,8559462,8559462,7021398,-,5036970,5673231,6236224,-,6685686,-,5145502,-,4273706,3007118,-,-,Upgrade
