,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,316.52,265.31,278.54,406.86,253.48,141.2,364.71,103.19,176.41,161.81,Upgrade
1,Short-Term Investments,94.54,89.72,88.66,96.39,128.76,71.7,47.55,23.81,40.96,18.49,Upgrade
2,Cash & Short-Term Investments,411.05,355.03,367.2,503.24,382.24,212.9,412.26,127,217.37,180.3,Upgrade
3,Cash Growth,11.94%,-29.45%,-3.93%,136.38%,-7.28%,67.63%,89.66%,-29.56%,-16.59%,1.85%,Upgrade
4,Accounts Receivable,493.43,462.59,522.06,521.58,736.56,532.65,770.43,451.66,597.61,384.01,Upgrade
5,Other Receivables,102.08,70.51,91.56,141.28,148.72,213.9,182.06,223.58,268.68,303.23,Upgrade
6,Receivables,595.51,533.1,613.62,662.87,885.28,746.55,966.96,679.45,870.73,689.98,Upgrade
7,Inventory,5618,5013,5228,4456,5220,4432,5123,3771,3580,3275,Upgrade
8,Other Current Assets,3674,1301,2397,1403,2277,1077,2095,887.42,1731,1040,Upgrade
9,Total Current Assets,10298,7202,8606,7025,8765,6468,8597,5465,6400,5185,Upgrade
10,"Property, Plant & Equipment",5796,5741,5660,5552,5445,5352,5296,5203,5054,4952,Upgrade
11,Other Intangible Assets,22.21,23.94,22.32,24.28,19.14,21.03,20.04,20.28,18.6,19.07,Upgrade
12,Long-Term Accounts Receivable,20.79,13.88,2.36,30.08,38.51,41.68,24.27,25.35,25.67,28.52,Upgrade
13,Long-Term Deferred Tax Assets,174.62,170.02,127.39,130.13,56.6,37.19,13.53,14.5,63.32,77.86,Upgrade
14,Other Long-Term Assets,18.59,38.05,27.47,17.33,20.27,38.2,39.32,41.44,13.41,8.33,Upgrade
15,Total Assets,16330,13189,14446,12778,14345,11958,13991,10769,11575,10270,Upgrade
16,Accounts Payable,885.48,707.96,610.02,469.69,902.93,459.16,1391,568.08,1182,966.98,Upgrade
17,Accrued Expenses,446.98,482.56,472.63,535.16,553.35,494.89,664.51,348.07,351.25,216.57,Upgrade
18,Short-Term Debt,145,90,180,120,110,125,159.22,60,40,30,Upgrade
19,Current Portion of Long-Term Debt,7929,5208,6603,4781,6246,4139,5491,4318,5552,4733,Upgrade
20,Current Portion of Leases,123.76,98.34,82.14,87.92,156.56,31.58,28.18,20.81,20.06,69.79,Upgrade
21,Current Income Taxes Payable,38.17,34.31,22.44,61.01,97.95,125.82,112.16,73.35,62.18,49.26,Upgrade
22,Current Unearned Revenue,1229,946.4,953.9,941.58,807.68,930.15,806.76,720.34,580.48,607.54,Upgrade
23,Other Current Liabilities,-,197.42,-,159.29,28,135.96,28,203.93,-,208.01,Upgrade
24,Total Current Liabilities,10797,7765,8924,7156,8902,6441,8681,6313,7787,6881,Upgrade
25,Long-Term Debt,1958,1934,1754,1844,1299,1514,1384,879.15,414,206,Upgrade
26,Long-Term Leases,116.57,37.85,102.2,112.7,147.05,69.32,59.23,85.04,84.14,42.41,Upgrade
27,Long-Term Unearned Revenue,124.62,132.01,120.63,130.4,130.88,132.76,134.04,134.16,139.64,133.13,Upgrade
28,Long-Term Deferred Tax Liabilities,16.26,5.87,14.65,15.98,7.62,33.55,30.18,27.6,41.33,40.57,Upgrade
29,Other Long-Term Liabilities,26.11,32.94,9.9,14.77,13.51,17.75,10.29,14.91,33.93,33.13,Upgrade
30,Total Liabilities,13039,9908,10926,9273,10501,8209,10298,7453,8500,7336,Upgrade
31,Common Stock,109.04,109.04,109.04,109.04,109.04,109.04,106.61,106.61,106.61,106.61,Upgrade
32,Additional Paid-In Capital,-,1073,-,1077,-,1077,-,1001,-,1003,Upgrade
33,Retained Earnings,-,1697,-,1916,-,2160,-,1789,-,1441,Upgrade
34,Comprehensive Income & Other,2838,62.83,3064,62.83,3385,62.83,3245,63.62,2628,56.18,Upgrade
35,Total Common Equity,2947,2942,3173,3165,3494,3409,3352,2960,2735,2607,Upgrade
36,Minority Interest,343.74,338.76,347.68,339.23,349.65,340.28,340.72,355.73,339.71,326.84,Upgrade
37,Shareholders' Equity,3291,3281,3520,3505,3844,3749,3692,3316,3075,2934,Upgrade
38,Total Liabilities & Equity,16330,13189,14446,12778,14345,11958,13991,10769,11575,10270,Upgrade
39,Total Debt,10273,7368,8722,6945,7959,5879,7121,5363,6110,5081,Upgrade
40,Net Cash (Debt),-9862,-7013,-8354,-6442,-7577,-5666,-6709,-5236,-5893,-4901,Upgrade
41,Net Cash Per Share,-7.74,-5.50,-6.55,-5.05,-5.94,-4.61,-5.39,-4.34,-4.73,-4.07,Upgrade
42,Filing Date Shares Outstanding,1275,1275,1275,1275,1275,1275,1245,1245,1245,1245,Upgrade
43,Total Common Shares Outstanding,1275,1275,1275,1275,1275,1275,1245,1245,1245,1245,Upgrade
44,Working Capital,-499.28,-562.33,-317.92,-131.24,-137.47,27.27,-83.59,-847.55,-1388,-1696,Upgrade
45,Book Value Per Share,2.31,2.31,2.49,2.48,2.74,2.67,2.69,2.38,2.20,2.09,Upgrade
46,Tangible Book Value,2925,2919,3150,3141,3475,3388,3332,2940,2716,2588,Upgrade
47,Tangible Book Value Per Share,2.29,2.29,2.47,2.46,2.73,2.66,2.68,2.36,2.18,2.08,Upgrade
48,Buildings,1892,1875,1740,1730,1697,1625,1552,1528,1258,1257,Upgrade
49,Machinery,5201,5085,4889,4808,4538,4440,4259,4172,3861,3750,Upgrade
50,Construction In Progress,1049,907.32,947.41,743.02,736.1,608.65,653.18,469.85,777.06,655.13,Upgrade
