,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,803,1275,1657,2154,2332,3377,3658,3673,2914,1681,2030,Upgrade
1,Market Cap Growth,-40.83%,-40.83%,-28.96%,-36.23%,-36.24%,-8.05%,25.54%,118.52%,43.56%,-32.50%,-34.27%,Upgrade
2,Enterprise Value,11769,9374,11060,9820,11617,10750,12136,10314,9752,7529,7744,Upgrade
3,Last Close Price,0.63,1.00,1.30,1.69,1.83,2.65,2.81,2.84,2.21,1.27,1.54,Upgrade
4,PE Ratio,-,-5.34,-,-6.23,-,15.18,6.02,4.53,7.05,8.17,10.22,Upgrade
5,PS Ratio,0.02,0.02,0.03,0.04,0.04,0.06,0.06,0.07,0.07,0.04,0.05,Upgrade
6,PB Ratio,0.25,0.36,0.46,0.57,0.59,0.75,0.79,0.83,0.74,0.50,0.62,Upgrade
7,P/TBV Ratio,0.41,0.41,0.52,0.63,0.66,0.83,0.88,0.92,0.83,0.56,0.70,Upgrade
8,P/FCF Ratio,-,-,-2.63,-,-5.44,-,-16.46,-,-10.94,-,-,Upgrade
9,P/OCF Ratio,2.67,-,22.35,-,7.58,-,6.83,6.42,7.20,-,15.38,Upgrade
10,EV/Sales Ratio,0.22,0.18,0.20,0.18,0.21,0.19,0.21,0.20,0.23,0.20,0.19,Upgrade
11,EV/EBITDA Ratio,22.70,18.83,22.18,34.57,-,9.71,7.27,5.79,8.42,9.46,9.78,Upgrade
12,EV/EBIT Ratio,293.82,234.03,-,-65.62,-,16.96,10.22,7.41,11.36,14.06,14.42,Upgrade
13,EV/FCF Ratio,-65.57,-,-17.56,-,-27.07,-,-54.62,-,-36.60,-,-,Upgrade
14,Debt / Equity Ratio,3.12,3.12,2.25,2.48,1.98,2.07,1.57,1.93,1.62,1.99,1.73,Upgrade
15,Debt / FCF Ratio,-,-,-12.89,-,-18.30,-,-32.48,-,-23.90,-,-,Upgrade
16,Return on Capital Employed (ROCE),0.67%,0.67%,-,-2.51%,-,9.94%,17.53%,21.81%,16.22%,12.89%,14.16%,Upgrade
17,Earnings Yield,-29.70%,-18.71%,-14.57%,-16.06%,-8.64%,6.59%,16.61%,22.09%,14.18%,12.24%,9.79%,Upgrade
18,FCF Yield,-22.35%,-14.08%,-38.01%,-26.13%,-18.40%,-23.71%,-6.07%,-4.85%,-9.14%,-39.23%,-24.44%,Upgrade
19,Dividend Yield,0.00%,-,-,-,-,-,4.28%,2.11%,-,-,3.90%,Upgrade
20,Buyback Yield / Dilution,-,-,0.14%,-3.65%,-2.45%,-2.00%,-0.05%,-0.13%,0.01%,-0.16%,Upgrade,
21,Total Shareholder Return,-,-,0.14%,-3.65%,-2.45%,2.27%,2.07%,-0.13%,0.01%,3.74%,Upgrade,
