,Fiscal Quarter,Current,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+20 Quarters
,Period Ending,"Feb '25 Feb 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,39,44,42,17,34,34,70,61,63,63,65,75,82,77,61,111,26,23,60,66,157,Upgrade
1,Market Cap Growth,29.10%,29.10%,-40.00%,-71.54%,-46.30%,-46.30%,7.14%,-18.75%,-22.86%,-18.18%,7.69%,-32.63%,218.18%,230.00%,0.97%,66.67%,-83.70%,-82.46%,-60.38%,-60.00%,-32.50%,Upgrade
2,Enterprise Value,39,49,47,20,37,22,58,17,19,42,45,53,60,54,38,152,67,85,122,130,221,Upgrade
3,Last Close Price,0.14,0.16,0.18,0.07,0.14,0.14,0.30,0.26,0.27,0.27,0.28,0.32,0.35,0.33,0.26,0.47,0.29,0.26,0.68,0.75,1.79,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-,-2.33,-,-,-29.43,-19.47,-85.27,-,-0.37,-0.29,-,-,-,Upgrade
5,PS Ratio,1.30,1.74,1.52,0.59,1.22,1.32,2.10,1.91,1.07,1.09,1.32,1.44,2.63,2.10,1.54,2.56,0.59,0.55,1.31,1.45,2.97,Upgrade
6,PB Ratio,1.26,1.33,1.28,0.58,1.14,0.50,0.84,0.73,-,0.44,0.55,0.62,-,0.45,0.37,0.67,-,0.18,0.49,0.54,-,Upgrade
7,P/TBV Ratio,1.43,1.43,1.37,0.64,1.26,0.62,1.00,0.87,-,0.53,0.69,0.79,-,0.62,0.51,0.93,-,0.29,0.80,0.88,-,Upgrade
8,P/FCF Ratio,28.97,32.29,57.77,170.85,669.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
9,P/OCF Ratio,32.10,32.10,57.14,158.31,620.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,1.56,1.93,1.70,0.69,1.33,0.84,1.74,0.54,0.33,0.74,0.91,1.02,1.92,1.48,0.96,3.51,1.53,2.01,2.65,2.83,4.16,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-0.83,-,-,-,-,-,-,-,-,-,-,-,-1.51,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-0.82,-,-,-,-,-,-,-,-,-,-,-,-1.50,-,-,-,Upgrade
13,EV/FCF Ratio,29.11,35.94,64.58,200.99,729.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,1.13,1.13,1.13,1.33,1.33,0.55,0.44,0.44,-,0.25,0.31,0.31,-,0.24,0.41,0.41,-,0.56,0.63,0.63,-,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,-,4.37,-,-,-,-,-,-,-,-,-,-,-,40.03,-,-,-,Upgrade
16,Debt / FCF Ratio,27.36,27.36,50.92,391.18,782.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Asset Turnover,0.18,0.19,0.25,0.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
18,Quick Ratio,0.78,0.78,0.78,1.14,1.14,1.01,-,1.68,-,1.11,-,1.94,-,1.10,-,1.41,-,0.37,-,0.56,-,Upgrade
19,Current Ratio,1.62,1.62,1.62,1.28,1.28,2.54,-,3.49,-,2.39,-,2.80,-,1.69,-,2.47,-,1.22,-,2.23,-,Upgrade
20,Return on Equity (ROE),-9.46%,-9.92%,-253.16%,-154.81%,-33.94%,-43.55%,-,-,91.12%,-26.50%,-,-,6.05%,2.62%,-,-,17.82%,-5.22%,-,-,Upgrade,
21,Return on Assets (ROA),-1.30%,-1.33%,-34.30%,-29.77%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
22,Return on Capital (ROIC),-2.23%,-2.23%,-56.49%,-45.01%,4.40%,-1.47%,-,-,-3.63%,-0.29%,-,-,-0.48%,-7.20%,-,-,0.49%,-3.50%,-,-,Upgrade,
23,Return on Capital Employed (ROCE),-,-,-,-,-,-25.52%,-,-,-,-,-,-,-,-,-,-,-,-43.80%,-,-,-,Upgrade
24,Earnings Yield,-97.87%,-87.00%,-105.21%,-301.02%,-204.58%,-224.60%,-56.15%,-64.28%,-91.89%,-42.88%,-83.84%,-60.00%,-3.40%,-5.14%,-1.17%,-3.83%,-272.17%,-345.63%,-174.82%,-190.30%,-55.83%,Upgrade
25,FCF Yield,3.45%,3.10%,1.73%,0.59%,0.15%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
26,Buyback Yield / Dilution,9.09%,14.28%,-20.00%,-0.00%,0.00%,-39.99%,-,-,-,-,-,-59.18%,-300.00%,-300.00%,-300.00%,-151.29%,-,-,-,-,-,Upgrade
27,Total Shareholder Return,9.09%,14.28%,-20.00%,-0.00%,0.00%,-39.99%,-,-,-,-,-,-59.18%,-300.00%,-300.00%,-300.00%,-151.29%,-,-,-,-,-,Upgrade
