,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,319.71,288.61,260.85,207.86,221.63,274.37,225.06,192.11,246.17,264.73,285.15,265.08,250.56,337.26,294.41,254.78,249.23,242.47,77.09
1,Other Revenue,-14.39,14.39,-,6.05,-2.03,2.03,-,6.02,-1.88,1.88,-,6.15,-2.61,2.61,-,11.05,-5.71,5.71,-
2,Revenue,305.32,303,260.85,213.91,219.6,276.4,225.06,198.13,244.29,266.61,285.15,271.23,247.95,339.87,294.41,265.83,243.52,248.17,77.09
3,Revenue Growth (YoY),39.04%,9.62%,15.90%,7.96%,-10.11%,3.67%,-21.07%,-26.95%,-1.47%,-21.56%,-3.15%,2.03%,1.82%,36.95%,281.91%,-,-,-,-
4,Cost of Revenue,237.99,247.41,214.07,191.26,172.16,235.48,189.53,180.72,207.59,234.25,256.94,258.49,219.13,308.74,261.11,218.51,185,193.42,64.28
5,Gross Profit,67.33,55.59,46.78,22.65,47.44,40.93,35.53,17.42,36.7,32.36,28.21,12.74,28.82,31.12,33.29,47.32,58.52,54.75,12.8
6,"Selling, General & Admin",20.5,16.69,16.86,16.61,15.27,14.5,14.87,13.96,13.82,12.99,12.43,9.5,17.08,11.31,12.08,15.97,13.23,12.51,11.25
7,Research & Development,10.21,9.05,8.11,5.16,9.31,9.18,9.64,8.7,9.12,7.79,8.69,9.1,9.06,10.49,8.35,8.14,8.96,7.38,6.19
8,Other Operating Expenses,0.67,0.6,0.68,-0.04,0.58,0.68,0.53,3.87,-0.11,0.09,0.28,2.7,0.17,0.05,0.65,2.8,1.19,0.07,-0.35
9,Operating Expenses,31.85,27.12,25.68,21.66,24.37,25.12,25.25,25.63,22.64,22.04,20.87,24.46,26.94,11.29,22.73,26.67,25.71,23.41,14.74
10,Operating Income,35.49,28.47,21.1,0.99,23.07,15.81,10.28,-8.22,14.06,10.32,7.33,-11.72,1.88,19.83,10.57,20.65,32.81,31.34,-1.94
11,Interest Expense,-0.98,-0.94,-0.66,-0.56,-1.34,-1.32,-0.08,-0.89,-1.9,-1.43,-1.48,-0.9,-1.43,-0.98,-0.34,-,-0.54,-0.83,-0.29
12,Interest & Investment Income,1.61,1.39,0.82,0.46,1.4,0.56,0.85,0.36,1.12,0.95,0.28,1.74,0.45,2.61,0.22,2.63,0.07,0.15,0.04
13,Currency Exchange Gain (Loss),1.64,-1.64,-,5.02,-6.37,6.37,-,9.93,-6.72,6.72,-,-1.39,1.13,-1.13,-,-14.25,-2.81,2.81,-
14,Other Non Operating Income (Expenses),-0.5,0.65,-0.93,-3.46,2.55,2.86,-3.06,-15.66,14.22,-0.19,-0.5,-2,0.8,-2.77,0.81,4.15,-8.31,-1.71,0.64
15,EBT Excluding Unusual Items,37.26,27.93,20.33,2.45,19.31,24.28,7.99,-14.48,20.78,16.37,5.64,-14.27,2.82,17.56,11.26,13.18,21.22,31.76,-1.55
16,Gain (Loss) on Sale of Investments,-0.1,0.14,0.06,0.97,-0.3,-0.79,0.24,0.76,-2.15,-1.11,0.44,-0.59,0.31,-0.3,0.59,-0.01,0.45,-0.43,-
17,Gain (Loss) on Sale of Assets,0.38,0.73,0,0.35,0.17,-0.2,0.05,1.08,-0.06,0.15,-,-0.09,-0.01,0.02,0,-0,0,-0.09,-0.05
18,Asset Writedown,-14.29,1.74,-1.8,5.18,-6.15,1.54,-1.8,7.14,-7.46,0.99,-1.32,1.48,-1.77,0.24,-0.34,2.41,-2.58,-0.17,-
19,Other Unusual Items,0.45,-0.01,1.55,1.13,-,-,-,3.52,-,-,-,-5.9,-,-,-,2.61,-,-,-
20,Pretax Income,23.7,30.52,20.15,10.08,13.02,24.83,6.49,-1.98,11.12,16.4,4.77,-19.38,1.35,17.52,11.5,18.19,19.09,31.07,-1.6
21,Income Tax Expense,1.56,3.38,2.3,1.16,0.65,3.45,-0.38,-2.85,1.21,2.19,-0.39,-6.45,-1.18,0.75,-0.22,2.14,1.29,2.62,0.54
22,Earnings From Continuing Operations,22.14,27.14,17.85,8.92,12.36,21.38,6.88,0.86,9.91,14.21,5.15,-12.92,2.54,16.77,11.72,16.05,17.81,28.44,-2.14
23,Minority Interest in Earnings,0.39,0.07,0.26,0.09,-0,-0,0,0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0
24,Net Income,22.53,27.22,18.11,9.01,12.36,21.38,6.88,0.86,9.91,14.21,5.15,-12.92,2.54,16.77,11.72,16.05,17.8,28.44,-2.14
25,Net Income to Common,22.53,27.22,18.11,9.01,12.36,21.38,6.88,0.86,9.91,14.21,5.15,-12.92,2.54,16.77,11.72,16.05,17.8,28.44,-2.14
26,Net Income Growth,82.22%,27.32%,163.42%,941.40%,24.75%,50.42%,33.41%,-,290.41%,-15.26%,-56.03%,-,-85.74%,-41.04%,-,-,-,-,-
27,Shares Outstanding (Basic),96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,72,72,72,72
28,Shares Outstanding (Diluted),96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,72,72,72,72
29,Shares Change (YoY),0.04%,0.04%,-0.05%,0.02%,0.05%,-0.09%,0.06%,0.01%,-0.09%,0.05%,-0.03%,33.31%,33.40%,33.51%,33.15%,-,-,-,-
30,EPS (Basic),0.23,0.28,0.19,0.09,0.13,0.22,0.07,0.01,0.10,0.15,0.05,-0.13,0.03,0.17,0.12,0.22,0.25,0.40,-0.03
31,EPS (Diluted),0.23,0.28,0.19,0.09,0.13,0.22,0.07,0.01,0.10,0.15,0.05,-0.13,0.03,0.17,0.12,0.22,0.25,0.40,-0.03
32,EPS Growth,82.14%,27.27%,163.55%,941.26%,24.68%,50.54%,33.33%,-,290.79%,-15.30%,-56.02%,-,-89.31%,-55.84%,-,-,-,-,-
33,Free Cash Flow,-12.15,28.01,40.55,31.46,19.25,13.06,-33.28,32.07,11.47,-30.21,-39.02,-42.24,-35.3,-15.15,-79.78,-0.49,10.97,12.4,-17.28
34,Free Cash Flow Per Share,-0.13,0.29,0.42,0.33,0.20,0.14,-0.35,0.33,0.12,-0.31,-0.41,-0.44,-0.37,-0.16,-0.83,-0.01,0.15,0.17,-0.24
35,Dividend Per Share,-,0.500,-,0.500,-,-,-,0.250,-,-,-,-,-,0.250,-,0.250,-,-,-
36,Dividend Growth,-,-,-,100.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,22.05%,18.35%,17.93%,10.59%,21.60%,14.81%,15.78%,8.79%,15.02%,12.14%,9.89%,4.70%,11.62%,9.16%,11.31%,17.80%,24.03%,22.06%,16.61%
38,Operating Margin,11.62%,9.40%,8.09%,0.46%,10.50%,5.72%,4.57%,-4.15%,5.75%,3.87%,2.57%,-4.32%,0.76%,5.84%,3.59%,7.77%,13.47%,12.63%,-2.51%
39,Profit Margin,7.38%,8.98%,6.94%,4.21%,5.63%,7.73%,3.05%,0.44%,4.06%,5.33%,1.81%,-4.76%,1.02%,4.93%,3.98%,6.04%,7.31%,11.46%,-2.78%
40,Free Cash Flow Margin,-3.98%,9.24%,15.55%,14.71%,8.77%,4.72%,-14.79%,16.19%,4.69%,-11.33%,-13.68%,-15.57%,-14.24%,-4.46%,-27.10%,-0.18%,4.50%,5.00%,-22.41%
41,EBITDA,45.01,37.85,30.62,10.51,31.43,24.86,18.64,0.14,21.38,17.91,14.65,-4.41,7.32,26.64,16.01,26.1,36.97,36.18,2.22
42,EBITDA Margin,14.74%,12.49%,11.74%,4.92%,14.31%,9.00%,8.28%,0.07%,8.75%,6.72%,5.14%,-1.62%,2.95%,7.84%,5.44%,9.82%,15.18%,14.58%,2.88%
43,D&A For EBITDA,9.52,9.38,9.52,9.52,8.36,9.05,8.36,8.36,7.32,7.6,7.32,7.32,5.44,6.81,5.44,5.44,4.16,4.84,4.16
44,EBIT,35.49,28.47,21.1,0.99,23.07,15.81,10.28,-8.22,14.06,10.32,7.33,-11.72,1.88,19.83,10.57,20.65,32.81,31.34,-1.94
45,EBIT Margin,11.62%,9.40%,8.09%,0.46%,10.50%,5.72%,4.57%,-4.15%,5.75%,3.87%,2.57%,-4.32%,0.76%,5.84%,3.59%,7.77%,13.47%,12.63%,-2.51%
46,Effective Tax Rate,6.58%,11.06%,11.41%,11.48%,5.03%,13.90%,-,-,10.85%,13.35%,-,-,-,4.29%,-,11.77%,6.75%,8.44%,-
47,Revenue as Reported,305.32,303,260.85,213.91,219.6,276.4,225.06,198.13,244.29,266.61,285.15,271.23,247.95,339.87,294.41,265.83,243.52,248.17,77.09
