,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2994,1976,1823,1655,2130,2189,2061,1968,1716,1762,1984,2229,2853,2521,2824,3112,3535,-,-,-
1,Market Cap Growth,-9.74%,-9.74%,-11.55%,-15.90%,24.11%,24.25%,3.87%,-11.71%,-39.84%,-30.12%,-29.74%,-28.38%,-19.28%,-,-,-,-,-,-,-
2,Enterprise Value,2920,1855,1684,1556,2068,2165,2029,1920,1669,1730,1933,2067,2691,2322,2585,3059,3481,-,-,-
3,Last Close Price,31.19,20.58,18.44,16.32,21.01,21.59,20.33,19.17,16.72,17.16,19.32,21.71,27.78,24.32,27.25,29.77,33.81,-,-,-
4,PE Ratio,38.96,25.70,27.33,27.19,42.93,52.77,52.81,61.77,56.95,107.73,220.99,193.19,-,53.55,45.30,42.05,58.76,-,-,-
5,PS Ratio,2.76,1.82,1.83,1.70,2.28,2.38,2.18,2.11,1.73,1.65,1.85,1.95,2.47,2.20,2.47,2.96,4.24,-,-,-
6,PB Ratio,4.05,2.67,2.39,2.10,2.76,2.87,2.72,2.61,2.29,2.37,2.71,3.11,4.01,3.46,3.76,4.10,4.72,-,-,-
7,P/TBV Ratio,2.92,2.92,2.64,2.32,3.05,3.11,2.95,2.69,2.36,2.44,2.80,3.23,4.16,3.59,3.90,4.25,4.90,-,-,-
8,P/FCF Ratio,34.08,-,15.29,15.87,69.87,70.39,88.40,-,-66.82,-17.62,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,16.81,-,10.51,10.62,16.38,17.18,21.13,32.55,87.90,393.82,-,-,-56.52,-,-,-,51.76,-,-,-
10,EV/Sales Ratio,2.70,1.71,1.69,1.60,2.21,2.36,2.15,2.06,1.68,1.62,1.80,1.81,2.33,2.02,2.26,2.91,4.17,-,-,-
11,EV/EBITDA Ratio,22.50,14.96,15.25,15.97,24.20,28.84,31.20,33.07,30.85,34.93,54.48,46.75,-,30.53,24.45,26.54,34.31,-,-,-
12,EV/EBIT Ratio,34.67,21.56,22.87,25.52,41.24,52.88,63.54,72.64,-,86.58,247.71,119.34,-,43.88,30.82,32.07,42.01,-,-,-
13,EV/FCF Ratio,33.23,-,14.12,14.91,67.83,69.61,87.01,-,-64.96,-17.30,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.29,0.29,0.27,0.18,0.16,0.30,0.21,0.22,0.17,0.25,0.22,0.21,0.23,0.17,0.10,0.08,0.02,0.02,0.02,0.05
15,Debt / EBITDA Ratio,1.66,1.20,1.30,1.15,2.13,1.80,1.47,2.20,5.87,2.19,1.95,2.59,27.08,4.35,0.67,0.96,0.18,0.06,0.06,2.21
16,Debt / FCF Ratio,2.45,-,1.71,1.35,4.05,7.27,6.88,-,-5.07,-1.87,-,-,-,-,-,-,-,1.48,-1.85,-
17,Asset Turnover,0.91,0.96,0.88,0.70,0.69,0.90,0.76,0.66,0.78,0.85,0.91,0.88,0.82,1.11,0.99,1.13,1.42,-,-,
18,Inventory Turnover,4.00,4.63,5.21,4.20,3.46,3.03,4.00,3.00,2.63,2.67,2.83,3.15,3.32,3.23,4.74,3.95,3.89,4.56,-,-
19,Quick Ratio,1.14,1.14,1.27,1.41,1.31,1.17,1.14,1.11,1.23,1.09,0.97,0.94,0.94,1.19,1.36,1.33,1.51,0.90,1.16,-
20,Current Ratio,1.57,1.57,1.68,1.95,1.94,1.69,1.67,1.78,2.04,1.78,1.69,1.68,1.64,1.94,2.05,2.07,2.29,1.68,1.95,-
21,Return on Equity (ROE),11.79%,14.01%,9.16%,4.65%,6.50%,11.32%,3.66%,0.46%,5.37%,7.85%,2.89%,-7.18%,1.37%,8.88%,6.21%,10.77%,16.41%,27.55%,-,
22,Return on Assets (ROA),6.62%,5.64%,4.44%,0.20%,4.52%,3.20%,2.17%,-1.70%,2.79%,2.05%,1.46%,-2.37%,0.39%,4.06%,2.23%,5.48%,11.92%,-,-,
23,Return on Capital (ROIC),9.24%,7.51%,5.78%,0.26%,6.05%,4.31%,2.86%,-2.27%,3.86%,2.93%,2.10%,-3.38%,0.56%,6.01%,3.33%,8.46%,18.51%,18.34%,-,
24,Return on Capital Employed (ROCE),11.24%,11.49%,9.51%,7.63%,6.38%,5.24%,4.12%,3.42%,-,2.62%,1.04%,2.35%,-,7.03%,10.81%,12.13%,10.99%,13.90%,6.84%,-
25,Earnings Yield,2.57%,3.89%,3.66%,3.68%,2.33%,1.90%,1.89%,1.62%,1.76%,0.93%,0.45%,0.52%,0.63%,1.87%,2.21%,2.38%,1.70%,-,-,-
26,FCF Yield,2.93%,4.45%,6.54%,6.30%,1.43%,1.42%,1.13%,-1.01%,-1.50%,-5.68%,-7.40%,-5.91%,-6.04%,-5.19%,-2.99%,-1.83%,0.16%,-,-,-
27,Dividend Yield,3.69%,-,5.42%,-,2.38%,-,-,-,1.50%,-,-,-,-,-,1.84%,-,0.74%,-,-,-
28,Payout Ratio,117.53%,172.76%,176.32%,1.99%,34.11%,3.45%,111.04%,8.55%,67.50%,9.44%,5.04%,13.35%,-,19.66%,147.90%,1.60%,0.91%,0.86%,0.71%,-
29,Buyback Yield / Dilution,-0.01%,-0.04%,-0.04%,0.05%,-0.02%,-0.05%,0.09%,-0.06%,-0.01%,0.09%,-0.05%,0.03%,-33.31%,-33.40%,-33.51%,-33.15%,-,-,-,-
30,Total Shareholder Return,3.68%,-0.04%,5.38%,0.05%,2.36%,-0.05%,0.09%,-0.06%,1.49%,0.09%,-0.05%,0.03%,-33.31%,-33.40%,-31.67%,-33.15%,0.74%,-,-,-
