,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3181,3260,3064,3350,3260,3318,3366,3936,3973,4397,3258,3151,3822,-,-,-,-,-,-,-
1,Market Cap Growth,-1.74%,-1.74%,-8.96%,-14.88%,-17.95%,-24.54%,3.31%,24.90%,3.96%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4248,4252,3864,3793,3703,3522,3270,3668,3566,4300,3028,3414,4085,-,-,-,-,-,-,-
3,Last Close Price,16.70,16.98,15.96,17.27,16.80,17.10,17.35,20.08,20.27,22.43,16.62,15.96,19.36,-,-,-,-,-,-,-
4,PE Ratio,64.81,65.90,49.44,47.62,-,33.96,23.36,22.50,22.17,26.34,27.67,39.66,53.68,-,-,-,-,-,-,-
5,Forward PE,23.03,20.58,16.93,25.24,27.95,16.54,14.87,17.08,16.85,21.15,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.45,1.47,1.52,1.77,1.89,2.04,1.92,2.08,2.01,2.30,1.97,2.35,3.10,-,-,-,-,-,-,-
7,PB Ratio,1.84,1.74,1.66,1.79,1.77,1.95,1.99,2.31,2.37,2.91,2.25,2.28,2.81,-,-,-,-,-,-,-
8,P/TBV Ratio,2.60,2.60,2.32,2.49,2.43,2.89,2.97,3.48,3.58,3.48,2.71,2.41,2.97,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,17.26,253.28,-,-,-79.73,-,-,-,-,-,-,-
10,P/OCF Ratio,8.93,8.93,12.50,23.32,22.29,9.44,-,5.31,6.08,10.55,25.55,-,35.32,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.92,1.92,1.91,2.00,2.15,2.17,1.87,1.94,1.80,2.25,1.84,2.54,3.31,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,18.36,18.83,16.76,21.45,21.89,19.76,16.11,15.32,15.47,21.09,18.57,27.32,33.59,-,-,-,-,-,-,-
13,EV/EBIT Ratio,71.69,57.65,43.27,62.99,58.43,42.33,28.43,22.44,22.06,30.28,29.05,49.28,59.22,-,-,-,-,-,-,-
14,EV/FCF Ratio,-5.58,-,-,-,-,-,-,-,15.49,247.73,-,-,-85.21,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.71,0.71,0.72,0.64,0.68,0.33,0.22,0.18,0.19,0.31,0.21,0.15,0.27,-,0.70,0.63,0.63,0.63,0.68,0.68
16,Debt / EBITDA Ratio,5.79,7.89,3.46,5.63,6.24,2.94,2.40,1.68,1.50,1.60,1.07,1.39,3.82,-,2.53,2.17,1.52,1.52,1.77,1.77
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,1.39,26.58,-,-,-7.60,-,-316.05,-,-,-,16.02,32.04
18,Asset Turnover,0.62,0.55,0.49,0.55,0.63,0.62,0.46,0.57,0.95,1.11,0.84,-,-,-,-,1.03,1.15,1.00,-,
19,Inventory Turnover,4.67,5.15,4.60,4.01,4.28,4.64,4.91,3.52,3.97,5.66,5.57,4.24,-,-,-,-,3.55,4.35,4.33,-
20,Quick Ratio,0.70,0.70,0.81,0.89,1.14,0.70,0.72,0.84,0.99,1.24,1.20,1.66,1.70,-,0.37,-,0.42,0.42,0.39,0.39
21,Current Ratio,1.17,1.17,1.31,1.39,1.56,1.22,1.11,1.23,1.33,1.63,1.77,2.61,2.30,-,0.88,-,0.85,0.85,0.76,0.76
22,Return on Equity (ROE),0.44%,3.47%,9.00%,-7.08%,3.83%,5.55%,4.42%,7.63%,17.48%,16.36%,6.62%,-,-,16.19%,12.57%,31.26%,33.86%,21.93%,-,
23,Return on Assets (ROA),0.58%,2.17%,1.25%,0.56%,2.18%,0.57%,2.06%,2.49%,5.79%,6.57%,2.75%,-,-,-,-,7.74%,8.64%,7.34%,-,
24,Return on Capital (ROIC),0.77%,2.85%,1.66%,0.74%,2.93%,0.79%,2.95%,3.49%,7.67%,8.21%,3.29%,-,-,6.28%,7.18%,11.68%,12.48%,10.05%,-,
25,Return on Capital Employed (ROCE),1.87%,2.33%,2.85%,2.00%,2.14%,3.77%,5.86%,8.62%,8.59%,8.42%,6.54%,4.61%,4.68%,-,20.09%,-,23.86%,17.04%,11.42%,5.71%
26,Earnings Yield,1.56%,1.52%,2.02%,2.10%,1.39%,2.94%,4.28%,4.44%,4.51%,3.80%,3.61%,2.52%,1.86%,-,-,-,-,-,-,-
27,FCF Yield,-23.93%,-23.35%,-26.59%,-25.18%,-20.35%,-8.05%,4.55%,9.02%,5.79%,0.39%,-8.77%,-7.65%,-1.25%,-,-,-,-,-,-,-
28,Dividend Yield,1.18%,-,-,-,1.19%,-,-,-,0.92%,-,-,-,0.65%,-,-,-,-,-,-,-
29,Payout Ratio,126.83%,150.57%,232.52%,12.69%,-,18.53%,149.48%,5.64%,29.80%,5.23%,49.55%,4.71%,14.27%,20.97%,10.55%,33.70%,4.01%,4.01%,14.68%,14.68%
30,Buyback Yield / Dilution,0.02%,0.01%,0.02%,-17.33%,0.02%,33.33%,-99.88%,-0.05%,-32.65%,-100.03%,33.26%,-33.24%,-1.22%,-0.64%,0.75%,0.67%,-,-,-,-
31,Total Shareholder Return,1.20%,0.01%,0.02%,-17.33%,1.21%,33.33%,-99.88%,-0.05%,-31.72%,-100.03%,33.26%,-33.24%,-0.57%,-0.64%,0.75%,0.67%,-,-,-,-
