,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,414.78,477.12,512.52,946.62,275.23,330.76,569.91,754.63,468.34,139.39,82.03,854.8,-,83.93,-,104.09,104.09,55.39,55.39
1,Trading Asset Securities,-,-,30.94,-,-,-,-,-,433.37,300.25,351.44,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,414.78,477.12,543.46,946.62,275.23,330.76,569.91,754.63,901.71,439.65,433.47,854.8,-,83.93,104.09,104.09,104.09,55.39,55.39
3,Cash Growth,50.71%,44.25%,-4.64%,25.44%,-69.48%,-24.77%,31.48%,-11.72%,-,423.83%,316.43%,721.19%,-,51.54%,87.94%,-,-,-,-
4,Accounts Receivable,351.16,353.45,363.1,336.17,249.32,297.62,200.34,261.81,301.23,378.72,216.45,148.32,-,131.45,-,154.56,154.56,112.89,112.89
5,Other Receivables,29.23,10.33,11.06,19.2,18.83,9.56,6.26,4.89,4.11,6.18,1.96,2.39,-,1.08,-,1.36,1.36,0.85,0.85
6,Receivables,380.39,363.78,374.15,355.38,268.15,307.18,206.59,266.71,305.33,384.9,218.41,150.7,-,132.53,-,155.91,155.91,113.74,113.74
7,Inventory,427.12,401.35,407.02,397.59,341.47,293.35,301.25,302.1,313.6,324.63,314.27,326.61,-,281.61,-,240.98,240.98,152.78,152.78
8,Other Current Assets,108.74,107.9,105.74,84.18,58.05,53.13,53.5,48.64,64.04,67.29,61.16,31.37,-,20.99,-,19.71,19.71,8.88,8.88
9,Total Current Assets,1331,1350,1430,1784,942.9,984.43,1131,1372,1585,1216,1027,1363,-,519.05,-,520.69,520.69,330.79,330.79
10,"Property, Plant & Equipment",2298,2289,1952,1766,1450,1308,1099,1005,800.17,789.73,628.51,564.29,-,505.32,-,484.55,484.55,430.38,430.38
11,Goodwill,92.89,93.45,94.09,94.71,136.68,137.28,137.71,137.83,13.78,13.78,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,387.64,281.91,284.57,250.01,259.15,261.66,263.81,264.24,200.34,200.84,70.38,69.77,-,70.73,-,71.86,71.86,90.47,90.47
13,Long-Term Deferred Tax Assets,24.98,25.53,20.8,23.67,13.34,13.66,12.89,14.39,13.11,13.33,7.96,7.69,-,5.44,-,5.08,5.08,3.26,3.26
14,Long-Term Deferred Charges,64.85,58.86,47.13,46.99,47.75,49.66,43.21,43.37,37.05,38.01,35.51,38.04,-,34.83,-,34.19,34.19,29.74,29.74
15,Other Long-Term Assets,104.84,66.55,206.92,148.96,126.9,93.12,130.25,76.54,12.25,10.21,125.43,21.62,-,9.78,-,10.97,10.97,7.03,7.03
16,Total Assets,4305,4166,4036,4114,2977,2848,2818,2913,2661,2282,1895,2065,-,1145,-,1127,1127,891.68,891.68
17,Accounts Payable,788.18,742.38,689.96,664.59,489.45,584.1,627.52,655.25,550.93,388.64,214.53,248.69,-,243.48,-,296.22,296.22,163.39,163.39
18,Accrued Expenses,44.42,39.66,32.17,74.26,35.89,32.73,25.31,71.78,42.45,41.71,32.81,25.85,-,23.01,-,37.24,37.24,16.28,16.28
19,Short-Term Debt,86.34,70.45,87.69,113.86,102.4,159.17,171.83,184.39,296.97,185.37,106.03,250.57,-,281.31,-,227.78,227.78,205.73,205.73
20,Current Portion of Long-Term Debt,109.03,71.36,77.03,101.83,38.19,23.63,18.46,5.98,37.93,25.83,18.04,39.06,-,30.03,-,30,30,-,-
21,Current Portion of Leases,-,10.15,-,12.32,-,4.19,-,3.83,-,1.03,-,1.01,-,-,-,-,-,-,-
22,Current Income Taxes Payable,19.92,1.13,13.1,3.6,11.18,3.68,5,0.2,15.54,9.97,6.86,1.05,-,4.74,-,7.29,7.29,2.87,2.87
23,Current Unearned Revenue,5.17,5.17,11.54,4.87,7.84,7.73,10.25,6.59,9.7,10.77,6.24,8.76,-,1.84,-,5.51,5.51,5.58,5.58
24,Other Current Liabilities,86.96,93.37,117.01,171.19,87.73,68.11,63.97,103.86,21.29,25.56,8.4,17.04,-,7.03,-,11.21,11.21,39.12,39.12
25,Total Current Liabilities,1140,1034,1028,1147,772.68,883.35,922.33,1032,974.81,688.87,392.91,592.04,-,591.45,-,615.26,615.26,432.98,432.98
26,Long-Term Debt,1131,1156,1011,996.83,398.87,166.09,112.41,122.31,126.58,97.24,77.8,71.8,-,35.62,-,30.65,30.65,56.77,56.77
27,Long-Term Leases,12.89,15.68,19.63,20.34,16.44,16.61,2.53,2.55,-,0.69,2.09,1.76,-,-,-,-,-,-,-
