,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,664.03,559.22,499.35,469.14,477.56,423.73,328.45,382.19,595.98,569.55,414.83,314.86,337.35,263.2,305.42,287.98,287.98,219.23,219.23
1,Other Revenue,-8.37,8.37,-,22.28,-15.58,15.58,-,13.46,-10.69,10.69,-,13.53,-10.72,10.72,-,3.2,3.2,2.72,2.72
2,Revenue,655.66,567.59,499.35,491.42,461.98,439.31,328.45,395.65,585.29,580.24,414.83,328.39,326.63,273.92,305.42,291.19,291.19,221.95,221.95
3,Revenue Growth (YoY),41.92%,29.20%,52.03%,24.20%,-21.07%,-24.29%,-20.82%,20.48%,79.19%,111.83%,35.82%,12.78%,12.17%,23.41%,37.61%,-,-,-,-
4,Cost of Revenue,533.09,464.77,402.84,395.37,368.14,365.1,265.47,305.23,451.17,444.58,339.46,282.69,264.39,219.68,245.87,213.95,213.95,165.31,165.31
5,Gross Profit,122.57,102.82,96.51,96.05,93.84,74.21,62.98,90.42,134.13,135.65,75.37,45.71,62.24,54.23,59.55,77.24,77.24,56.64,56.64
6,"Selling, General & Admin",80.29,66.75,57.79,65.15,56.66,46.38,34.05,50.61,51.23,50.66,38.27,22.75,32.23,26.42,27.22,28.99,28.99,21.01,21.01
7,Research & Development,18.64,15.74,15.88,14.79,13.61,13.21,14.88,8.75,23.84,17.72,13.25,10.93,9.01,8.32,9.86,11.1,11.1,8.17,8.17
8,Other Operating Expenses,13.01,-12.22,2.35,0.57,0.32,2.33,-5.62,5.99,0.87,0.89,0.21,3.63,0.38,0.96,0.68,1.11,1.11,1.73,1.73
9,Operating Expenses,112.73,67.28,76.05,88.12,68.45,67.77,39.36,62.68,76.89,80.77,53.6,37.57,42.79,34.31,38.07,42.33,42.33,30.46,30.46
10,Operating Income,9.84,35.54,20.46,7.92,25.39,6.44,23.62,27.74,57.24,54.88,21.77,8.13,19.45,19.92,21.48,34.91,34.91,26.18,26.18
11,Interest Expense,-15.08,-15.99,-14.36,-7.54,-3.91,-2.61,-2.75,-4.95,-5.17,-3.12,-1.76,-3.29,-3.46,-3.44,-2.55,-3.34,-3.34,-3.6,-3.6
12,Interest & Investment Income,2.19,2.62,2.49,2.66,1.82,3.76,3.72,1.32,6.47,4.02,1.85,0.9,0.22,0.13,0.16,0.1,0.1,0.12,0.12
13,Currency Exchange Gain (Loss),-2.43,2.43,-,3.62,-5.41,5.41,-,26.81,-10.9,10.9,-,-0.4,0.09,-0.09,-,-1.68,-1.68,-,-
14,Other Non Operating Income (Expenses),-8.09,4.5,-5.58,-5.12,3.33,14.65,-2.62,-34.08,27.72,0.92,3.78,-6.61,1.53,4.53,-1.16,-0.06,-0.06,-0.56,-0.56
15,EBT Excluding Unusual Items,-13.58,29.1,3.01,1.54,21.22,27.64,21.97,16.85,75.35,67.6,25.64,-1.26,17.84,21.05,17.92,29.93,29.93,22.14,22.14
16,Impairment of Goodwill,1.26,-1.26,-,-43.12,0.55,-0.55,-,-1.18,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-0.27,-0.13,-0.15,-0.25,-,-,0.09,-0.55,0.21,-1.19,1.44,-,-,-,-,-,-,-0.08,-0.08
18,Gain (Loss) on Sale of Assets,0.24,-1.23,43.31,-1.54,0.34,-0.42,-,0.79,0.73,-0.39,0.04,-0.17,0.22,-0.1,-0.85,9.86,9.86,0.03,0.03
19,Asset Writedown,-5.63,0.66,-0.66,1.76,-2.12,0.01,-0.01,-2.01,-0.11,0.23,-0.23,0.85,-0.85,-,-,0.11,0.11,-0.11,-0.11
20,Other Unusual Items,20.31,-11.15,3.89,3.48,-,-,-,9.22,-,-,-,23.86,-0.03,0.03,-,2.93,2.93,2.72,2.72
21,Pretax Income,2.33,15.98,49.42,-38.14,19.99,26.69,22.05,23.12,76.18,66.24,26.9,23.28,17.17,20.99,17.07,42.82,42.82,24.69,24.69
22,Income Tax Expense,0.3,-0.13,7.68,-6.77,3.71,3.12,3.38,-7.31,11.5,8.39,4.23,0.92,2,1.74,2.65,6.96,6.96,3.39,3.39
23,Earnings From Continuing Operations,2.02,16.11,41.74,-31.37,16.28,23.57,18.67,30.43,64.69,57.85,22.67,22.36,15.17,19.25,14.42,35.87,35.87,21.3,21.3
24,Minority Interest in Earnings,3.41,2.22,1.64,13.71,1.66,3.13,-0.29,4.24,-0.33,-0.33,-,-,-,-,-,-,-,-,-
25,Net Income,5.43,18.33,43.37,-17.67,17.94,26.7,18.38,34.67,64.36,57.52,22.67,22.36,15.17,19.25,14.42,35.87,35.87,21.3,21.3
26,Net Income to Common,5.43,18.33,43.37,-17.67,17.94,26.7,18.38,34.67,64.36,57.52,22.67,22.36,15.17,19.25,14.42,35.87,35.87,21.3,21.3
27,Net Income Growth,-69.71%,-31.36%,136.01%,-,-72.13%,-53.58%,-18.93%,55.07%,324.13%,198.88%,57.20%,-37.66%,-57.69%,-9.66%,-32.32%,-,-,-,-
28,Shares Outstanding (Basic),192,192,192,192,192,192,192,192,288,96,192,145,144,144,144,143,143,145,145
29,Shares Outstanding (Diluted),192,192,225,192,192,192,192,192,288,96,192,145,144,144,144,143,143,145,145
30,Shares Change (YoY),-0.01%,-0.02%,17.33%,-0.02%,-33.33%,99.88%,0.05%,32.65%,100.03%,-33.26%,33.24%,1.22%,0.64%,-0.75%,-0.67%,-,-,-,-
31,EPS (Basic),0.03,0.10,0.23,-0.09,0.09,0.14,0.10,0.18,0.22,0.60,0.12,0.15,0.11,0.13,0.10,0.25,0.25,0.15,0.15
32,EPS (Diluted),0.03,0.10,0.19,-0.09,0.09,0.14,0.10,0.18,0.22,0.60,0.12,0.15,0.11,0.13,0.10,0.25,0.25,0.15,0.15
33,EPS Growth,-69.71%,-31.34%,101.15%,-,-58.19%,-76.77%,-18.97%,16.90%,112.03%,347.85%,17.98%,-38.40%,-57.96%,-8.98%,-31.86%,-,-,-,-
34,Free Cash Flow,-112.96,-181.09,-285.81,-181.38,-166.55,-210,-105.56,215,253.59,-8,-230.41,2.17,-49.38,36.47,-37.2,-0.18,-0.18,8.19,8.19
35,Free Cash Flow Per Share,-0.59,-0.94,-1.27,-0.94,-0.87,-1.09,-0.55,1.12,0.88,-0.08,-1.20,0.01,-0.34,0.25,-0.26,-0.00,-0.00,0.06,0.06
36,Dividend Per Share,-,-,-,0.200,-,-,-,0.188,-,-,-,0.125,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,6.67%,-,-,-,50.00%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,18.69%,18.12%,19.33%,19.54%,20.31%,16.89%,19.17%,22.85%,22.92%,23.38%,18.17%,13.92%,19.05%,19.80%,19.50%,26.52%,26.52%,25.52%,25.52%
39,Operating Margin,1.50%,6.26%,4.10%,1.61%,5.50%,1.47%,7.19%,7.01%,9.78%,9.46%,5.25%,2.48%,5.95%,7.27%,7.03%,11.99%,11.99%,11.80%,11.80%
40,Profit Margin,0.83%,3.23%,8.69%,-3.59%,3.88%,6.08%,5.59%,8.76%,11.00%,9.91%,5.46%,6.81%,4.65%,7.03%,4.72%,12.32%,12.32%,9.60%,9.60%
41,Free Cash Flow Margin,-17.23%,-31.91%,-57.24%,-36.91%,-36.05%,-47.80%,-32.14%,54.34%,43.33%,-1.38%,-55.54%,0.66%,-15.12%,13.32%,-12.18%,-0.06%,-0.06%,3.69%,3.69%
42,EBITDA,42.45,89.77,53.07,40.54,47.21,36,45.43,49.56,72.04,72.38,36.58,22.94,31.18,34.28,33.21,47.47,47.47,37.08,37.08
