,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Feb '25 Feb 28, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,22443,19572,18529,20616,21399,21921,20877,21399,23748,21660,24270,23487,26096,25053,26096,21138,21399,30272,34708,42276,35230,Upgrade
1,Market Cap Growth,-17.58%,-10.71%,-11.25%,-3.66%,-9.89%,1.20%,-13.98%,-8.89%,-9.00%,-13.54%,-7.00%,11.11%,21.95%,-17.24%,-24.81%,-50.00%,-39.26%,-29.70%,-19.39%,5.19%,-18.18%,Upgrade
2,Enterprise Value,12593,13958,15540,18300,19291,19813,17634,16797,21499,20901,22163,17816,20636,19373,24799,20875,22630,32212,40272,50171,43124,Upgrade
3,Last Close Price,8600.00,7500.00,7100.00,7900.00,8200.00,7922.73,7545.45,7734.09,8017.05,7312.25,8193.24,7928.95,8809.94,8096.11,8069.94,6536.65,6617.35,9361.13,9659.71,11765.97,9804.97,Upgrade
4,PE Ratio,11.57,10.10,8.35,11.56,11.75,12.04,11.63,10.28,13.95,12.70,10.69,12.30,11.36,10.46,17.16,9.38,15.96,21.73,18.01,-,19.59,Upgrade
5,PS Ratio,0.31,0.27,0.26,0.35,0.39,0.42,0.38,0.36,0.49,0.46,0.56,0.62,0.55,0.52,0.54,0.35,0.41,0.56,0.58,0.69,0.50,Upgrade
6,PB Ratio,0.43,0.37,0.35,0.40,0.40,0.41,0.40,0.41,-,0.41,-,0.45,0.49,0.47,0.50,0.41,0.40,0.57,0.66,0.82,-,Upgrade
7,P/TBV Ratio,0.37,0.37,0.35,0.40,0.40,0.42,0.40,0.41,-,0.41,-,0.45,0.49,0.47,0.50,0.41,0.40,0.57,0.66,0.82,-,Upgrade
8,P/FCF Ratio,13.01,11.35,-9.05,-,-,-,-,-,-,-,-,-,3.65,-,2.70,2.41,3.27,6.13,839.93,-,-,Upgrade
