,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,8319,5147,4174,3775,1259,2562,3350,-,1999,-,2136,4225,3785,4712,3036,3227,3297,2631,979.43,-,Upgrade
1,Short-Term Investments,5443,5020,4220,4220,5243,4459,4259,-,4100,-,4100,4100,4100,4100,4100,4360,4000,4000,4000,-,Upgrade
2,Cash & Short-Term Investments,13761,10167,8394,7995,6503,7021,7609,-,6099,-,6236,8325,7885,8812,7136,7587,7297,6631,4979,-,Upgrade
3,Cash Growth,111.63%,44.81%,10.31%,-,6.61%,-,22.02%,-,-22.65%,-,-12.60%,9.72%,8.06%,32.89%,43.30%,-,25.82%,2.61%,-10.54%,-,Upgrade
4,Accounts Receivable,29173,29330,34393,26596,32113,29197,28599,-,25979,-,21542,20217,26961,25411,29623,27037,32263,39009,37255,-,Upgrade
5,Other Receivables,7525,9000,8882,14379,14589,15537,15636,-,15940,-,14817,14823,15068,15106,14737,14380,14332,13755,14664,-,Upgrade
6,Receivables,36698,38329,43274,40975,46702,44735,44235,-,41918,-,36358,35040,42029,40517,44360,41417,46594,52763,51919,-,Upgrade
7,Inventory,10825,15019,19899,23852,19097,20232,19394,-,21345,-,25910,19642,16981,17363,17560,22136,20901,21747,23612,-,Upgrade
8,Prepaid Expenses,92.75,110.72,175.55,171.99,117.85,177.48,218.9,-,124.7,-,163,400.21,354.51,240.48,182.58,213.73,162.2,92.86,172.27,-,Upgrade
9,Other Current Assets,1338,1026,1200,1030,946.18,490.46,526.68,-,479.15,-,612.13,490.2,633.87,588.24,863.43,924.6,545.3,570.36,534.04,-,Upgrade
10,Total Current Assets,62715,64653,72943,74023,73366,72656,71984,-,69967,-,69279,63897,67884,67521,70102,72278,75499,81805,81216,-,Upgrade
11,"Property, Plant & Equipment",6842,7160,7482,6213,3875,4065,4268,-,4703,-,5206,5326,5328,5574,5497,5736,5988,6001,6263,-,Upgrade
12,Long-Term Investments,550.13,550.13,550.13,501.79,519.4,550.13,550.13,-,550.13,-,550.13,550.13,550.13,1500,1500,792.11,1152,1104,1307,-,Upgrade
13,Long-Term Accounts Receivable,11994,12610,13018,12330,11682,14124,13782,-,13665,-,13533,13836,14062,14312,14100,12514,12216,12002,12160,-,Upgrade
14,Other Long-Term Assets,1766,1540,1569,1622,798.04,879.35,960.72,-,507.32,-,524,537.59,516.55,693.82,816.96,916.79,1121,1158,1424,-,Upgrade
15,Total Assets,83867,86513,95562,94690,90239,92274,91545,-,89392,-,89093,84146,88340,89601,92016,92237,95976,102069,102371,-,Upgrade
16,Accounts Payable,1851,2149,4936,4704,3976,4197,3383,-,2212,-,1824,1271,1328,1659,1707,2182,2421,3443,2789,-,Upgrade
17,Accrued Expenses,8190,8884,11193,9824,9827,8648,7650,-,9902,-,7910,5918,8094,6855,7700,4091,6191,8610,7307,-,Upgrade
18,Short-Term Debt,2310,2397,3959,4668,4584,4705,4142,-,3616,-,3866,2344,2084,2792,5498,6921,8124,8065,10037,-,Upgrade
19,Current Income Taxes Payable,90.1,334.39,460.92,103.3,177.06,368.9,1114,-,645.33,-,659.19,681.6,1422,2239,2026,573.03,580.65,1024,344.61,-,Upgrade
20,Current Unearned Revenue,-,-,-,-,-,-,55.56,-,55.56,-,-,-,-,-,-,-,-,-,-,-,Upgrade
21,Other Current Liabilities,12859,13919,17572,17221,14619,17500,18833,-,15480,-,18404,15670,17353,18871,18070,20176,20706,22774,24593,-,Upgrade
22,Total Current Liabilities,25301,27683,38120,36521,33183,35419,35178,-,31911,-,32663,25884,30280,32416,35002,33942,38023,43917,45070,-,Upgrade
23,Long-Term Debt,1442,1988,1263,814.9,-,-,-,-,-,-,29,76,107,107,107,171,171,267,267,-,Upgrade
24,Long-Term Deferred Tax Liabilities,634.58,636.58,636.58,636.58,636.58,636.58,636.58,-,636.58,-,636.58,640.58,630.11,630.11,630.11,630.11,630.11,630.11,630.11,-,Upgrade
