,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,196.36,358.26,358.26,-,-,-,169.2,169.2,158.63,158.63,68.7,68.7
1,Trading Asset Securities,10,-,-,-,-,-,-,-,-,-,0.5,0.5
2,Cash & Short-Term Investments,206.36,358.26,358.26,-,-,149.56,169.2,169.2,158.63,158.63,69.2,69.2
3,Cash Growth,-,139.55%,111.74%,-,-,-5.72%,144.51%,144.51%,-,-,-,-
4,Accounts Receivable,316.86,266.43,266.43,-,-,-,118.94,118.94,199.78,199.78,159.44,159.44
5,Other Receivables,2.68,2.39,2.39,-,-,-,0.2,0.2,0.3,0.3,0.5,0.5
6,Receivables,319.54,268.82,268.82,-,-,-,119.14,119.14,200.08,200.08,159.94,159.94
7,Inventory,303.3,256.3,256.3,-,-,-,270.18,270.18,368.82,368.82,304.34,304.34
8,Other Current Assets,23.4,50.42,50.42,-,-,-,28.67,28.67,19.04,19.04,39.27,39.27
9,Total Current Assets,852.61,933.8,933.8,-,-,-,587.19,587.19,746.56,746.56,572.76,572.76
10,"Property, Plant & Equipment",186.76,186.56,186.56,-,-,-,176.25,176.25,180.07,180.07,163.55,163.55
11,Long-Term Investments,-,-,-,-,-,-,1.38,1.38,1.55,1.55,1.88,1.88
12,Other Intangible Assets,25.39,25.89,25.89,-,-,-,29.88,29.88,31.05,31.05,32.27,32.27
13,Long-Term Deferred Tax Assets,9.08,8.91,8.91,-,-,-,14.48,14.48,10.66,10.66,7.89,7.89
14,Long-Term Deferred Charges,0.02,0.05,0.05,-,-,-,8.06,8.06,6.69,6.69,6.78,6.78
15,Other Long-Term Assets,2.31,1.59,1.59,-,-,-,0.08,0.08,-,-,0.2,0.2
16,Total Assets,1076,1157,1157,-,-,-,817.32,817.32,976.59,976.59,785.32,785.32
17,Accounts Payable,147.96,131.24,131.24,-,-,-,116.62,116.62,214.8,214.8,218.18,218.18
18,Accrued Expenses,8.17,11.36,11.36,-,-,-,11.48,11.48,10.75,10.75,8.53,8.53
19,Short-Term Debt,50.05,51.05,51.05,-,-,-,72.59,72.59,135.67,135.67,80.09,80.09
20,Current Portion of Long-Term Debt,0.03,14.8,14.8,-,-,-,7.35,7.35,4.94,4.94,4.77,4.77
21,Current Portion of Leases,-,0.05,0.05,-,-,-,0.55,0.55,1.31,1.31,1.85,1.85
22,Current Income Taxes Payable,4.8,4.53,4.53,-,-,-,1.95,1.95,0.02,0.02,0.61,0.61
23,Current Unearned Revenue,116.88,114.74,114.74,-,-,-,140.66,140.66,141.99,141.99,64.18,64.18
24,Other Current Liabilities,13.55,14.84,14.84,-,-,-,27.54,27.54,58.32,58.32,19.18,19.18
25,Total Current Liabilities,341.45,342.6,342.6,-,-,-,378.73,378.73,567.8,567.8,397.39,397.39
26,Long-Term Debt,-,59.65,59.65,-,-,-,84.41,84.41,84.57,84.57,84.23,84.23
27,Long-Term Leases,0.65,0.65,0.65,-,-,-,0.03,0.03,0.06,0.06,0.59,0.59
28,Long-Term Unearned Revenue,0.05,0.3,0.3,-,-,-,1.83,1.83,1.19,1.19,0.93,0.93
29,Long-Term Deferred Tax Liabilities,0.11,0.12,0.12,-,-,-,-,-,-,-,0.02,0.02
30,Other Long-Term Liabilities,-,-,-,-,-,-,21,21,-,-,-,-
31,Total Liabilities,342.26,403.31,403.31,-,-,-,486,486,653.62,653.62,483.16,483.16
32,Common Stock,100,100,100,-,-,-,75,75,75,75,75,75
33,Additional Paid-In Capital,311.33,311.33,311.33,-,-,-,94.6,94.6,102.87,102.87,103.76,103.76
34,Retained Earnings,322.57,342.17,342.17,-,-,-,161.71,161.71,130.72,130.72,108.33,108.33
35,Total Common Equity,733.91,753.5,753.5,-,-,371.62,331.32,331.32,308.59,308.59,287.1,287.1
36,Minority Interest,-,-,-,-,-,-,-,-,14.38,14.38,15.06,15.06
37,Shareholders' Equity,733.91,753.5,753.5,-,-,371.62,331.32,331.32,322.97,322.97,302.16,302.16
38,Total Liabilities & Equity,1076,1157,1157,-,-,-,817.32,817.32,976.59,976.59,785.32,785.32
39,Total Debt,50.74,126.18,126.18,-,-,119.28,164.92,164.92,226.54,226.54,171.54,171.54
40,Net Cash (Debt),155.63,232.08,232.08,-,-,30.27,4.28,4.28,-67.91,-67.91,-102.34,-102.34
41,Net Cash Growth,-,666.66%,5324.98%,-,-,-,-,-,-,-,-,-
42,Net Cash Per Share,1.66,2.95,2.95,-,-,0.40,0.06,0.06,-0.91,-0.91,-1.35,-1.35
43,Filing Date Shares Outstanding,100,100,100,74.74,75.61,75.61,75,75,75,75,75,75
44,Total Common Shares Outstanding,100,100,100,74.74,75.61,75.61,75,75,75,75,75,75
45,Working Capital,511.16,591.2,591.2,-,-,-,208.45,208.45,178.76,178.76,175.36,175.36
46,Book Value Per Share,7.34,7.54,7.54,-,-,4.95,4.42,4.42,4.11,4.11,3.83,3.83
47,Tangible Book Value,708.52,727.61,727.61,-,-,342.9,301.44,301.44,277.54,277.54,254.83,254.83
48,Tangible Book Value Per Share,7.09,7.28,7.28,-,-,4.57,4.02,4.02,3.70,3.70,3.40,3.40
49,Buildings,-,186.17,186.17,-,-,-,166.85,166.85,166.85,166.85,161.37,161.37
50,Machinery,-,37.16,37.16,-,-,-,24.39,24.39,24.36,24.36,9.28,9.28
51,Construction In Progress,-,3.85,3.85,-,-,-,6.86,6.86,5.68,5.68,5.14,5.14
