,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,8805,5146,6080,-,-,-,-,-,-,-,-,-,-
1,Enterprise Value,8649,4914,6082,-,-,-,-,-,-,-,-,-,-
2,Last Close Price,88.05,51.46,60.42,-,-,-,-,-,-,-,-,-,-
3,PE Ratio,77.19,70.15,67.64,-,-,-,-,-,-,-,-,-,-
4,PS Ratio,12.69,9.03,10.96,-,-,-,-,-,-,-,-,-,-
5,PB Ratio,12.00,7.01,8.07,-,-,-,-,-,-,-,-,-,-
6,P/TBV Ratio,7.26,7.26,8.36,-,-,-,-,-,-,-,-,-,-
7,P/OCF Ratio,-,-,-221.36,-,-,-,-,-,-,-,-,-,-
8,EV/Sales Ratio,15.31,8.63,10.96,-,-,-,-,-,-,-,-,-,-
9,EV/EBITDA Ratio,89.70,58.85,58.81,-,-,-,-,-,-,-,-,-,-
10,EV/EBIT Ratio,102.27,69.74,66.79,-,-,-,-,-,-,-,-,-,-
11,Debt / Equity Ratio,0.07,0.07,0.17,0.17,-,-,0.32,0.50,0.50,0.70,0.70,0.57,0.57
12,Debt / EBITDA Ratio,0.53,1.87,1.02,1.02,-,-,1.12,1.29,1.29,2.32,2.32,2.06,2.06
13,Debt / FCF Ratio,-,-,-,-,-,-,-,1.80,5.31,-7.63,-4.41,-,-
14,Asset Turnover,0.50,0.50,-,-,-,-,0.75,0.68,0.60,0.66,0.62,-,
15,Inventory Turnover,-,1.50,1.47,-,-,-,-,1.56,1.32,1.10,1.21,1.14,-
16,Quick Ratio,1.54,1.54,1.83,1.83,-,-,-,0.76,0.76,0.63,0.63,0.58,0.58
17,Current Ratio,2.50,2.50,2.73,2.73,-,-,-,1.55,1.55,1.31,1.31,1.44,1.44
18,Return on Equity (ROE),2.91%,15.68%,-,-,-,-,18.18%,18.41%,23.98%,24.78%,20.71%,-,
19,Return on Assets (ROA),0.75%,5.93%,-,-,-,-,8.94%,8.15%,5.74%,6.37%,5.80%,-,
20,Return on Capital (ROIC),1.01%,7.80%,-,-,-,-,14.73%,13.98%,10.21%,10.96%,9.62%,-,
21,Return on Capital Employed (ROCE),11.51%,9.59%,11.18%,10.75%,-,-,-,23.56%,21.05%,19.89%,14.40%,9.40%,4.70%
22,Earnings Yield,1.05%,1.43%,1.48%,-,-,-,-,-,-,-,-,-,-
23,FCF Yield,-0.24%,-1.56%,-0.82%,-,-,-,-,-,-,-,-,-,-
24,Dividend Yield,0.52%,-,0.41%,-,-,-,-,-,-,-,-,-,-
25,Payout Ratio,37.12%,479.69%,4.65%,4.65%,-,6.49%,6.49%,23.52%,23.52%,48.44%,48.44%,11.66%,11.66%
26,Buyback Yield / Dilution,-8.44%,-23.91%,-4.18%,-4.22%,1.12%,-1.29%,-1.29%,0.23%,0.23%,-,-,-,-
27,Total Shareholder Return,-7.92%,-23.91%,-3.77%,-4.22%,1.12%,-1.29%,-1.29%,0.23%,0.23%,-,-,-,-
