,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,140.23,145.43,145.43,138.57,124.92,124.92,153.38,153.38,145.33,145.33,121.73,121.73
1,Other Revenue,-0.43,0.22,0.22,-0.03,0.02,0.02,0.01,0.01,0.03,0.03,-,-
2,Revenue,139.8,145.65,145.65,138.54,124.94,124.94,153.39,153.39,145.35,145.35,121.73,121.73
3,Revenue Growth (YoY),11.89%,16.58%,-5.04%,-9.68%,-14.04%,-14.04%,26.01%,26.01%,-,-,-,-
4,Cost of Revenue,105.07,93.91,93.91,101.73,79.46,79.46,105.52,105.52,101.47,101.47,86.77,86.77
5,Gross Profit,34.72,51.74,51.74,36.81,45.48,45.48,47.87,47.87,43.88,43.88,34.96,34.96
6,"Selling, General & Admin",17.94,12.19,12.19,13.82,11.95,11.95,12.29,12.29,11.62,11.62,10.65,10.65
7,Research & Development,7.68,9.79,9.79,7.48,9.56,9.56,8.08,8.08,7.08,7.08,4.75,4.75
8,Other Operating Expenses,0.53,0.62,0.62,-0.58,-0.57,-0.57,-0.46,-0.46,1.47,1.47,-0.04,-0.04
9,Operating Expenses,31.37,24.3,24.3,24.56,21.55,21.55,18.64,18.64,21.45,21.45,16.73,16.73
10,Operating Income,3.35,27.44,27.44,12.24,23.94,23.94,29.23,29.23,22.43,22.43,18.22,18.22
11,Interest Expense,-0.91,-1.38,-1.38,-1.32,-1.41,-1.41,-2.02,-2.02,-2.37,-2.37,-1.31,-1.31
12,Interest & Investment Income,0.39,0.34,0.34,0.2,0.51,0.51,0.35,0.35,0.1,0.1,0.13,0.13
13,Currency Exchange Gain (Loss),-1.44,0.72,0.72,-1.07,0.54,0.54,-,-,-0.09,-0.09,0.02,0.02
14,Other Non Operating Income (Expenses),0.55,-0.04,-0.04,-0.83,1.42,1.42,-9.12,-9.12,0.6,0.6,-0.08,-0.08
15,EBT Excluding Unusual Items,1.94,27.07,27.07,9.22,24.99,24.99,18.44,18.44,20.67,20.67,16.98,16.98
16,Gain (Loss) on Sale of Investments,-,-,-,-0.97,-,-,-0.08,-0.08,-0.16,-0.16,-0.04,-0.04
17,Gain (Loss) on Sale of Assets,-0.02,0,0,-,-,-,-,-,0,0,-,-
18,Asset Writedown,-1.41,-,-,0.55,-,-,-2.39,-2.39,-,-,-0,-0
19,Other Unusual Items,4.64,5.64,5.64,1.16,-0.58,-0.58,0.33,0.33,0.61,0.61,0.75,0.75
20,Pretax Income,5.14,32.71,32.71,9.96,24.41,24.41,16.3,16.3,21.12,21.12,17.68,17.68
21,Income Tax Expense,-0.26,3.17,3.17,1.09,2.48,2.48,1.24,1.24,1.76,1.76,2.04,2.04
22,Earnings From Continuing Operations,5.4,29.54,29.54,8.87,21.93,21.93,15.06,15.06,19.36,19.36,15.64,15.64
23,Minority Interest in Earnings,-,-,-,-,-,-,0.44,0.44,0.83,0.83,-0.11,-0.11
24,Net Income,5.4,29.54,29.54,8.87,21.93,21.93,15.5,15.5,20.19,20.19,15.53,15.53
25,Net Income to Common,5.4,29.54,29.54,8.87,21.93,21.93,15.5,15.5,20.19,20.19,15.53,15.53
26,Net Income Growth,-75.35%,34.72%,90.64%,-42.76%,8.60%,8.60%,-0.23%,-0.23%,-,-,-,-
27,Shares Outstanding (Basic),94,79,79,75,76,76,76,76,75,75,76,76
28,Shares Outstanding (Diluted),94,79,79,75,76,76,76,76,75,75,76,76
29,Shares Change (YoY),23.91%,4.18%,4.22%,-1.12%,1.29%,1.29%,-0.23%,-0.23%,-,-,-,-
30,EPS (Basic),0.06,0.38,0.38,0.12,0.29,0.29,0.20,0.20,0.27,0.27,0.20,0.20
31,EPS (Diluted),0.06,0.38,0.38,0.12,0.29,0.29,0.20,0.20,0.27,0.27,0.20,0.20
32,EPS Growth,-80.11%,29.31%,82.93%,-42.11%,7.22%,7.22%,0%,0%,-,-,-,-
33,Free Cash Flow,-52.18,-2.36,-2.36,-23.21,-21.8,-21.8,24.26,24.26,21.66,21.66,-36.51,-36.51
34,Free Cash Flow Per Share,-0.56,-0.03,-0.03,-0.31,-0.29,-0.29,0.32,0.32,0.29,0.29,-0.48,-0.48
35,Dividend Per Share,-,0.125,0.125,-,-,-,-,-,-,-,-,-
36,Gross Margin,24.84%,35.52%,35.52%,26.57%,36.40%,36.40%,31.21%,31.21%,30.19%,30.19%,28.72%,28.72%
37,Operating Margin,2.39%,18.84%,18.84%,8.84%,19.16%,19.16%,19.06%,19.06%,15.43%,15.43%,14.97%,14.97%
38,Profit Margin,3.87%,20.28%,20.28%,6.40%,17.55%,17.55%,10.10%,10.10%,13.89%,13.89%,12.76%,12.76%
39,Free Cash Flow Margin,-37.33%,-1.62%,-1.62%,-16.76%,-17.45%,-17.45%,15.82%,15.82%,14.90%,14.90%,-29.99%,-29.99%
40,EBITDA,6.78,30.86,30.86,14.99,26.69,26.69,31.54,31.54,23.95,23.95,20.38,20.38
41,EBITDA Margin,4.85%,21.19%,21.19%,10.82%,21.36%,21.36%,20.57%,20.57%,16.47%,16.47%,16.74%,16.74%
42,D&A For EBITDA,3.43,3.43,3.43,2.75,2.75,2.75,2.32,2.32,1.51,1.51,2.15,2.15
43,EBIT,3.35,27.44,27.44,12.24,23.94,23.94,29.23,29.23,22.43,22.43,18.22,18.22
44,EBIT Margin,2.39%,18.84%,18.84%,8.84%,19.16%,19.16%,19.06%,19.06%,15.43%,15.43%,14.97%,14.97%
45,Effective Tax Rate,-,9.70%,9.70%,10.97%,10.16%,10.16%,7.62%,7.62%,8.33%,8.33%,11.51%,11.51%
46,Revenue as Reported,139.8,145.65,145.65,138.54,124.94,124.94,153.39,153.39,145.35,145.35,121.73,121.73
