,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,670.2,651.26,512,-,743.15,600.79,654.56,612.73,920.41,999.17,760.21,731.55,685.08,633.94,525.62,601.83,505.44,609.65,292.84,439.43,Upgrade
1,Other Revenue,-7.22,7.22,-,-,-10.07,10.07,-,9.8,-5.95,5.95,-,3.91,-1.85,1.85,-,4.52,-2.19,2.19,-,23.32,Upgrade
2,Revenue,662.98,658.48,512,-,733.08,610.86,654.56,622.53,914.46,1005,760.21,735.46,683.23,635.79,525.62,606.34,503.25,611.84,292.84,462.74,Upgrade
3,Revenue Growth (YoY),-9.56%,7.80%,-21.78%,-,-19.83%,-39.22%,-13.90%,-15.35%,33.84%,58.09%,44.63%,21.29%,35.76%,3.91%,79.49%,31.03%,8.96%,53.58%,-25.03%,42.17%,Upgrade
4,Cost of Revenue,635.81,527.61,487.09,-,600.96,719.34,617.1,547.94,798.68,852.39,621.58,624.94,578.11,533.06,438.18,537.43,405.88,509.45,244.95,377.61,Upgrade
5,Gross Profit,27.17,130.87,24.91,-,132.12,-108.48,37.46,74.59,115.78,152.73,138.64,110.52,105.11,102.73,87.43,68.91,97.36,102.39,47.89,85.14,Upgrade
6,"Selling, General & Admin",50.72,46.48,47.15,-,57.51,53.25,52.67,40.82,58.79,54.46,58.82,65.73,50.63,43.08,43.42,15.27,47.71,51.91,39.3,69.16,Upgrade
7,Research & Development,24.55,26.51,19.22,-,31.89,35.25,29.87,45.4,29.9,39.55,32.64,40.35,30.97,28.13,21.56,39.71,28.8,13.87,17.43,23.02,Upgrade
8,Other Operating Expenses,-2.57,0.05,-2.17,-,0.64,1.93,-1.13,13.08,-7.27,-1.38,1.26,16.31,1.01,-4.4,-0.84,8.7,1.25,1.59,-0.26,17.21,Upgrade
9,Operating Expenses,74.43,73.24,63.3,-,92.01,90.74,81.33,99.31,81.31,92.7,92.76,120.33,83.12,67.69,63.63,64.53,79.68,67.51,56.39,109.76,Upgrade
10,Operating Income,-47.26,57.63,-38.39,-,40.12,-199.22,-43.87,-24.72,34.47,60.02,45.87,-9.81,21.99,35.05,23.8,4.38,17.69,34.88,-8.5,-24.63,Upgrade
11,Interest Expense,-7.93,-7.36,-8.07,-,-10.86,-10.86,-11.56,-11.63,-12.03,-10.55,-7.02,-5.82,-9.8,-11.05,-11.46,-9.95,-9.57,-10.77,-8.68,-14.05,Upgrade
12,Interest & Investment Income,0.36,0.64,1.37,-,1.41,0.73,0.48,0.92,0.49,0.33,0.27,0.31,0.22,0.36,0.32,-,0.22,0.73,0.21,0.17,Upgrade
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.45,-,-,-,-,Upgrade
14,Currency Exchange Gain (Loss),-2.08,2.08,-,-,-1.54,1.54,-,3.18,-2.32,2.32,-,-0.88,0.85,-0.85,-,-1.64,-0.92,0.92,-,-0.9,Upgrade
15,Other Non Operating Income (Expenses),-1.67,-0.85,0.33,-,0.55,-0.47,-0.52,-3.26,2.01,-0.1,-0.2,0.63,-1.53,0.58,-0.25,0.15,-0.34,-1.9,0.22,-1.31,Upgrade
16,EBT Excluding Unusual Items,-58.57,52.13,-44.76,-,29.68,-208.28,-55.48,-35.5,22.62,52.02,38.92,-15.57,11.73,24.09,12.42,-6.61,7.08,23.87,-16.76,-40.72,Upgrade
17,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-5.46,Upgrade
18,Gain (Loss) on Sale of Investments,-0.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
19,Gain (Loss) on Sale of Assets,0,0.01,0.03,-,-0.02,0.01,0.42,0.32,-,-,-,0.04,0.01,-,-,0.92,-0.07,4.11,-,-0.08,Upgrade
20,Asset Writedown,53.53,-46.78,46.59,-,-109.11,165,-165.18,-2.99,1.15,-1.97,0.72,-0,-0.59,-0.01,-,-7.29,6.34,-0.81,0.15,-4.99,Upgrade
21,Other Unusual Items,-0.51,0.51,-,-,0,-0,-,12.96,-5.47,0.33,-,23.67,0.03,-0.03,-,20.25,-,-,-,16.44,Upgrade
22,Pretax Income,-5.93,5.88,1.87,-,-79.46,-43.28,-220.23,-25.22,18.3,50.38,39.64,8.14,11.17,24.06,12.42,7.27,13.35,27.17,-16.61,-34.82,Upgrade
23,Income Tax Expense,-2.03,-1.19,-1.75,-,-15.61,-15.47,-31.63,-33.13,-6.05,3.47,4.74,-4.84,-7.86,4.48,1.82,-6.59,3.01,2.99,-3.54,-11.72,Upgrade
24,Earnings From Continuing Operations,-3.9,7.07,3.62,-,-63.85,-27.81,-188.6,7.92,24.35,46.91,34.9,12.98,19.04,19.58,10.59,13.86,10.34,24.18,-13.07,-23.1,Upgrade
25,Minority Interest in Earnings,-0.06,-0.13,0.18,-,0.17,0.24,0.17,2.02,0.04,0.32,0.41,0.34,-0.11,-0.1,-0.03,0.92,0.22,0.16,-0.47,2.45,Upgrade
26,Net Income,-3.96,6.94,3.8,-,-63.68,-27.56,-188.43,9.93,24.4,47.23,35.3,13.31,18.93,19.48,10.57,14.78,10.56,24.34,-13.54,-20.65,Upgrade
27,Net Income to Common,-3.96,6.94,3.8,-,-63.68,-27.56,-188.43,9.93,24.4,47.23,35.3,13.31,18.93,19.48,10.57,14.78,10.56,24.34,-13.54,-20.65,Upgrade
28,Net Income Growth,-,-,-,-,-,-,-,-25.39%,28.87%,142.43%,234.09%,-9.92%,79.31%,-19.94%,-,-,-26.63%,354.69%,-,-,Upgrade
29,Shares Outstanding (Basic),398,398,400,-,399,399,398,378,393,394,393,432,374,399,352,323,372,411,339,228,Upgrade
30,Shares Outstanding (Diluted),398,398,400,-,399,399,398,422,397,395,397,432,374,399,352,484,372,411,339,228,Upgrade
31,Shares Change (YoY),-0.16%,-0.10%,0.36%,-,0.29%,0.96%,0.31%,-2.26%,6.28%,-1.01%,12.74%,-10.71%,0.46%,-2.96%,4.05%,112.00%,-0.42%,-4.43%,-6.03%,-38.75%,Upgrade
32,EPS (Basic),-0.01,0.02,0.01,-,-0.16,-0.07,-0.47,0.03,0.06,0.12,0.09,0.03,0.05,0.05,0.03,0.05,0.03,0.06,-0.04,-0.09,Upgrade
33,EPS (Diluted),-0.01,0.02,0.01,-,-0.16,-0.07,-0.47,0.02,0.06,0.12,0.09,0.03,0.05,0.05,0.03,0.03,0.03,0.06,-0.04,-0.09,Upgrade
34,EPS Growth,-,-,-,-,-,-,-,-23.67%,21.26%,144.91%,196.33%,0.88%,78.50%,-17.50%,-,-,-26.32%,375.76%,-,-,Upgrade
35,Free Cash Flow,19.62,-6.51,-81.64,-,-44.81,187.93,-130.37,2.02,-40.37,-46.64,-95.71,36.84,-5.89,38.83,-116.8,69.01,-85.58,57.45,1.29,51.05,Upgrade
36,Free Cash Flow Per Share,0.05,-0.02,-0.20,-,-0.11,0.47,-0.33,0.00,-0.10,-0.12,-0.24,0.09,-0.02,0.10,-0.33,0.14,-0.23,0.14,0.00,0.22,Upgrade
37,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,0.030,-,-,-,-,-,-,-,-,Upgrade
38,Gross Margin,4.10%,19.87%,4.87%,-,18.02%,-17.76%,5.72%,11.98%,12.66%,15.20%,18.24%,15.03%,15.38%,16.16%,16.63%,11.37%,19.35%,16.73%,16.35%,18.40%,Upgrade
39,Operating Margin,-7.13%,8.75%,-7.50%,-,5.47%,-32.61%,-6.70%,-3.97%,3.77%,5.97%,6.03%,-1.33%,3.22%,5.51%,4.53%,0.72%,3.51%,5.70%,-2.90%,-5.32%,Upgrade
