,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,8249,5713,3587,4615,5932,5756,6731,7688,7179,6868,7840,6943,8253,7399,5980,5127,4674,5370,4416,4379,4663,Upgrade
1,Market Cap Growth,-0.76%,-0.76%,-46.70%,-39.97%,-17.38%,-16.19%,-14.15%,10.73%,-13.01%,-7.18%,31.11%,35.41%,76.55%,37.77%,35.41%,17.10%,0.25%,12.11%,-1.09%,-22.41%,-21.39%,Upgrade
2,Enterprise Value,8889,6366,4229,5105,6421,6287,7446,8285,7727,7436,8268,7339,8649,7991,6597,5745,5292,5942,5065,5055,5340,Upgrade
3,Last Close Price,17.74,14.30,8.98,11.57,14.87,14.43,16.88,19.30,18.05,17.46,19.93,17.62,20.94,18.78,15.94,13.68,12.47,14.32,11.78,11.68,12.44,Upgrade
4,PE Ratio,-,-,-67.76,-52.78,-,-,-,-,61.43,57.12,68.30,79.77,132.48,116.04,107.96,85.11,129.36,7598.30,972.94,-,-,Upgrade
5,Forward PE,-,-,299.33,20.48,34.58,48.92,26.79,30.63,28.76,24.77,34.44,34.44,34.44,34.44,34.44,34.44,34.44,34.44,27.44,26.59,31.75,Upgrade
6,PS Ratio,2.79,3.12,1.88,2.49,-,2.20,2.40,2.40,2.17,2.01,2.46,2.47,3.20,3.02,2.63,2.28,2.32,2.87,2.41,2.71,2.72,Upgrade
7,PB Ratio,5.23,4.22,2.64,3.41,-,-,4.31,4.84,4.05,3.90,4.71,4.28,5.21,4.74,4.44,3.93,3.62,4.20,3.49,3.52,3.71,Upgrade
8,P/TBV Ratio,4.49,4.49,2.81,3.64,-,-,4.60,5.17,4.31,4.10,4.84,4.40,5.31,4.82,4.54,4.02,3.70,4.29,3.62,3.67,3.87,Upgrade
9,P/FCF Ratio,-,-83.37,-,-,-,-,350.47,-,-39.73,-,-,-,-175.52,-,-63.25,-,110.84,-,55.31,-121.01,-51.85,Upgrade
10,P/OCF Ratio,851.45,-210.84,-46.29,-,-,-,39.31,-,943.05,208.07,-,-,186.52,95.86,-764.19,-,37.43,-,24.12,63.38,80.83,Upgrade
11,EV/Sales Ratio,3.51,3.47,2.22,2.75,-,2.40,2.66,2.59,2.34,2.18,2.60,2.61,3.35,3.26,2.90,2.56,2.63,3.18,2.77,3.13,3.12,Upgrade
12,EV/EBITDA Ratio,-,-,28.07,-,-,-53.36,-,-,37.17,33.98,40.57,41.66,57.19,49.15,41.86,37.17,43.53,64.69,60.24,82.75,-,Upgrade
13,EV/EBIT Ratio,-,-,71.25,-,-,-27.61,-,-,-,56.96,70.02,78.83,-,93.76,81.53,71.14,109.24,305.74,239.35,-,-,Upgrade
14,EV/FCF Ratio,-150.08,-92.90,-,-,-,-,387.72,-,-42.76,-,-,-,-183.95,-,-69.78,-,125.48,-,63.44,-139.72,-59.38,Upgrade
15,Debt / Equity Ratio,0.62,0.62,0.66,0.64,-,-,0.61,0.65,0.52,0.55,0.51,0.35,0.35,0.37,0.54,0.60,0.64,0.63,0.60,0.62,0.62,Upgrade
16,Debt / EBITDA Ratio,-,-,2.41,-,-,-,-,-,26.83,4.34,2.41,2.08,7.71,3.50,3.22,4.60,8.93,5.58,3.56,20.04,-,Upgrade
17,Debt / FCF Ratio,-,-12.26,-,-,-,-,49.86,-,-5.13,-,-,-,-11.90,-,-7.63,-,19.63,-,9.45,-21.31,-8.61,Upgrade
18,Asset Turnover,0.86,0.85,-,-,-,0.71,0.72,0.66,1.01,1.25,1.01,1.00,0.97,0.93,0.77,0.91,0.79,0.96,0.46,0.73,Upgrade,
19,Inventory Turnover,-,7.98,6.88,-,-,-,5.40,3.57,3.12,4.94,5.40,4.51,5.45,5.29,4.71,4.38,5.67,4.25,4.58,1.81,2.82,Upgrade
20,Quick Ratio,0.63,0.63,0.65,0.66,-,-,0.81,0.75,0.76,0.89,0.76,0.78,0.88,0.94,0.92,0.94,1.02,0.96,1.01,0.64,0.65,Upgrade
21,Current Ratio,0.97,0.97,0.99,0.98,-,-,1.23,1.26,1.36,1.40,1.31,1.35,1.34,1.41,1.43,1.47,1.45,1.58,1.58,1.43,1.41,Upgrade
22,Return on Equity (ROE),-1.15%,2.09%,-,-,-,-7.06%,-44.91%,1.79%,5.68%,11.42%,8.71%,3.30%,5.24%,5.91%,3.27%,4.32%,3.25%,7.71%,-4.19%,-7.30%,Upgrade,
23,Return on Assets (ROA),-3.83%,4.66%,-,-,-,-14.38%,-3.03%,-1.64%,2.39%,4.67%,3.80%,-0.83%,1.96%,3.21%,2.18%,0.41%,1.73%,3.43%,-0.83%,-2.42%,Upgrade,
24,Return on Capital (ROIC),-5.32%,6.45%,-,-,-,-19.39%,-4.13%,-2.28%,3.29%,6.39%,5.30%,-1.15%,2.62%,4.22%,2.83%,0.52%,2.16%,4.32%,-1.05%,-3.00%,Upgrade,
25,Return on Capital Employed (ROCE),-,-,3.72%,-,-,-,-,-,-,6.18%,6.51%,5.50%,-,5.17%,5.09%,5.05%,3.06%,1.20%,1.31%,-,-,Upgrade
26,Earnings Yield,-1.75%,0.12%,-1.48%,-1.89%,-,-4.69%,-2.70%,-1.39%,1.63%,1.75%,1.46%,1.25%,0.75%,0.86%,0.93%,1.17%,0.77%,0.01%,0.10%,-0.33%,0.29%,Upgrade
27,FCF Yield,-0.72%,-1.20%,-3.71%,1.33%,-,0.26%,0.29%,-2.80%,-2.52%,-2.12%,-1.42%,-0.37%,-0.57%,-0.20%,-1.58%,-1.48%,0.90%,0.45%,1.81%,-0.83%,-1.93%,Upgrade
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,0.14%,-,-,-,-,-,-,-,-,Upgrade
29,Payout Ratio,0.00%,-,-,211.88%,-,-,-,-,131.47%,41.41%,48.14%,26.74%,48.29%,45.41%,27.39%,55.59%,98.66%,66.41%,8.08%,-,-,Upgrade
30,Buyback Yield / Dilution,-1.40%,0.16%,0.10%,-0.36%,-,-0.29%,-0.96%,-0.31%,2.26%,-6.28%,1.01%,-12.74%,10.71%,-0.46%,2.96%,-4.05%,-112.00%,0.42%,4.43%,6.03%,38.75%,Upgrade
