,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1520,1558,1304,1468,1895,1926,1982,2075,1798,1882,2625,2920,2919,-,-,-,-,-,-,-
1,Market Cap Growth,-19.13%,-19.13%,-34.24%,-29.24%,5.42%,2.34%,-24.47%,-28.93%,-38.42%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,935,982,695,852,1278,1339,1371,1432,1154,1306,1986,2776,2775,-,-,-,-,-,-,-
3,Last Close Price,13.57,13.91,11.64,12.88,16.62,16.90,17.39,18.01,15.60,16.34,22.78,25.20,25.19,-,-,-,-,-,-,-
4,PE Ratio,48.60,49.56,30.01,-,31.77,30.21,27.72,25.01,21.84,23.40,35.01,42.06,43.43,-,-,-,-,-,-,-
5,PS Ratio,3.56,3.64,2.66,2.99,3.69,3.56,3.82,3.96,3.53,4.56,6.75,7.35,7.42,-,-,-,-,-,-,-
6,PB Ratio,1.64,1.60,1.34,1.48,1.92,2.01,2.10,2.18,1.92,2.08,2.97,3.41,3.47,-,-,-,-,-,-,-
7,P/TBV Ratio,1.74,1.74,1.46,1.61,2.08,2.17,2.27,2.34,2.07,2.23,3.19,3.56,3.62,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-64.39,-,-,78.08,-216.83,-,-,-,23.54,-,-,3153.73,-,-,-,-,-,-,-
9,P/OCF Ratio,110.58,110.58,-,-,41.80,3495.53,-,-,-,20.38,-,-,257.23,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.18,2.29,1.42,1.73,2.49,2.47,2.64,2.73,2.27,3.16,5.10,6.99,7.06,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,33.04,35.97,14.93,-,18.59,21.45,20.78,18.10,15.81,17.47,40.00,50.26,49.38,-,-,-,-,-,-,-
12,EV/EBIT Ratio,52.31,51.69,18.21,-,21.26,24.95,23.73,20.05,17.53,19.18,46.16,56.66,55.53,-,-,-,-,-,-,-
13,EV/FCF Ratio,-38.64,-40.57,-,-,52.67,-150.73,-,-,-,16.33,-,-,2998.27,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.05,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.00,0.00,-,-,0.00,0.00,0.01,0.01,0.01
15,Debt / EBITDA Ratio,1.65,5.33,3.49,-,0.23,0.30,1.15,0.22,0.23,0.15,0.26,0.02,0.02,-,-,0.01,0.01,0.02,0.03,0.03
16,Debt / FCF Ratio,-,-1.93,-,-,0.99,-2.88,-,-,-,0.19,-,-,1.29,-,-,-,-,-,-,-
17,Asset Turnover,0.22,0.31,0.20,0.54,0.41,0.33,0.29,0.66,0.37,0.39,0.28,-,-,-,-,-,-,0.62,-,
18,Inventory Turnover,3361.16,2216.18,3397.72,2404.86,5710.70,4407.27,3248.70,2657.82,6507.39,3439.01,3269.22,2029.49,-,-,-,-,-,-,1690.83,-
19,Quick Ratio,2.98,2.98,2.95,3.12,2.93,3.03,3.31,3.58,2.95,3.18,3.37,3.68,3.29,-,1.57,-,1.43,-,1.23,1.23
20,Current Ratio,2.99,2.99,2.95,3.12,2.93,3.03,3.31,3.58,2.95,3.19,3.37,3.68,3.30,-,1.61,-,1.44,-,1.27,1.27
21,Return on Equity (ROE),1.49%,1.98%,0.48%,10.36%,6.70%,3.41%,7.72%,13.56%,10.89%,9.03%,7.19%,-,-,15.20%,17.54%,39.00%,34.10%,23.26%,-,
22,Return on Assets (ROA),0.03%,0.00%,-0.54%,4.01%,3.72%,0.19%,3.52%,2.99%,4.85%,3.20%,2.81%,-,-,-,-,-,-,6.90%,-,
23,Return on Capital (ROIC),0.04%,0.01%,-0.72%,5.45%,4.97%,0.25%,4.70%,4.08%,6.44%,4.16%,3.69%,-,-,16.22%,11.07%,22.18%,28.96%,15.15%,-,
24,Return on Capital Employed (ROCE),1.80%,1.91%,3.88%,-,6.05%,5.51%,6.05%,7.39%,6.94%,7.40%,4.78%,5.71%,5.93%,-,26.79%,-,28.10%,-,12.09%,6.04%
25,Earnings Yield,2.07%,2.02%,3.33%,2.97%,3.15%,3.31%,3.61%,4.00%,4.58%,4.27%,2.86%,2.38%,2.30%,-,-,-,-,-,-,-
26,FCF Yield,-1.59%,-1.55%,0.23%,0.74%,1.28%,-0.46%,0.64%,0.58%,-1.29%,4.25%,0.88%,1.13%,0.03%,-,-,-,-,-,-,-
27,Dividend Yield,1.57%,-,-,-,1.30%,-,-,-,1.14%,-,-,-,0.57%,-,-,-,-,-,-,-
28,Payout Ratio,80.20%,14.13%,404.07%,-,0.98%,0.70%,325.87%,0.35%,1.18%,-,91.39%,-,-,-,-,-,-,-,2.04%,2.04%
29,Buyback Yield / Dilution,0.14%,-0.22%,-0.18%,0.32%,0.63%,0.10%,-0.07%,0.02%,-36.78%,-33.34%,-33.32%,-33.32%,-0.06%,-,-0.38%,-0.42%,-,-,-,-
30,Total Shareholder Return,1.71%,-0.22%,-0.18%,0.32%,1.93%,0.10%,-0.07%,0.02%,-35.63%,-33.34%,-33.32%,-33.32%,0.51%,-,-0.38%,-0.42%,-,-,-,-
