,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,74.29,102.24,69.11,181.08,135.54,104.21,91.59,208.9,112.51,109.58,76.92,112.19,88.74,117.46,72.84,116.52,139.1,87.78,87.78
1,Other Revenue,-0.77,0.77,-,1.81,-0.84,0.84,-,1.24,-0.66,0.66,-,2.02,-1.05,1.05,-,2.36,-1.16,0.58,0.58
2,Revenue,73.52,103.02,69.11,182.89,134.71,105.05,91.59,210.14,111.85,110.24,76.92,114.22,87.69,118.51,72.84,118.87,137.94,88.36,88.36
3,Revenue Growth (YoY),-45.42%,-1.93%,-24.54%,-12.96%,20.44%,-4.71%,19.07%,83.99%,27.55%,-6.97%,5.60%,-3.92%,-36.43%,34.12%,-17.56%,-,-,-,-
4,Cost of Revenue,51.56,78.1,55.64,131.87,102.85,74.67,61.08,150.78,77.82,77.98,51.15,71.49,60.8,84,50.3,72.22,97.86,57.92,57.92
5,Gross Profit,21.96,24.92,13.47,51.02,31.86,30.38,30.51,59.36,34.03,32.27,25.77,42.73,26.89,34.51,22.54,46.65,40.08,30.44,30.44
6,"Selling, General & Admin",10.88,10.28,9.78,14.08,11.09,10.13,9.79,12.24,9.18,9.38,7.04,10.43,7.7,8.01,6.99,35.42,-15.46,7.73,7.73
7,Research & Development,3.49,3.68,4.67,5.97,3.68,3.94,4.03,5.83,4.04,3.25,3.36,4.1,2.59,1.77,3.32,12.11,-4.82,2.41,2.41
8,Other Operating Expenses,1.7,1.32,0.35,0.16,0.77,0.95,0.42,14.51,-9.44,0.1,0.29,8.16,0.65,-6.23,-0.03,-34.59,37.68,0.97,0.97
9,Operating Expenses,21.79,24.9,16.41,29.3,12.52,29.42,12.42,44.08,10.6,17.63,13.24,25.22,28.54,13.9,9.03,21.63,10.1,14.76,14.76
10,Operating Income,0.17,0.03,-2.93,21.73,19.34,0.96,18.09,15.28,23.43,14.64,12.53,17.51,-1.65,20.61,13.51,25.02,29.98,15.69,15.69
11,Interest Expense,-0.3,-0.26,-0.49,-0.16,-0.27,-0.16,-0.06,-0.17,-,-,-,-,-,-,-0.05,-0.5,-3.55,-0.02,-0.02
12,Interest & Investment Income,1.37,1.71,3.83,4.76,4.48,2.8,2.37,5.09,4.52,3.37,5.16,4.01,4.01,3.93,2.37,7.17,0.05,1.77,1.77
13,Other Non Operating Income (Expenses),1.75,-0.16,-0.02,4.87,-3.86,3.82,0.09,-6.29,1.41,2.99,0.29,-7.57,4.27,1.24,-0.02,-3.05,2.69,-1.66,-1.66
14,EBT Excluding Unusual Items,2.99,1.31,0.39,31.21,19.7,7.41,20.49,13.9,29.37,21,17.98,13.95,6.63,25.77,15.82,28.64,29.18,15.78,15.78
15,Gain (Loss) on Sale of Investments,1.02,2.61,0.63,-0.39,-0.09,1.32,0.76,-0.97,-0.34,1.57,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-0,0,-0,0.13,0.05,-,-,-0.05,-,0.05,-,-,0.1,-,-,0.02,-0.02,0.01,0.01
17,Asset Writedown,0.14,-0.03,0.02,1.19,-1.16,-0.09,0.06,0.51,-0.51,0.12,-0.17,0.21,-0.21,-0.11,0.11,-0.04,0.02,-0.01,-0.01
18,Other Unusual Items,-0.32,1.2,-0,-2,-0.11,0.11,-,22.54,-0.13,0.13,-,16.04,12.32,-12.32,-,3.8,-3.62,1.81,1.81
19,Pretax Income,3.83,5.09,1.04,30.14,18.38,8.76,21.31,35.93,28.37,22.87,17.81,30.19,18.84,13.34,15.93,32.42,25.56,17.59,17.59
20,Income Tax Expense,0.22,0.25,-0.14,4.95,2.45,0.69,3.11,4.8,4.07,3.25,2.56,4.03,2.25,1.28,2.58,5.05,3.66,2.66,2.66
21,Earnings From Continuing Operations,3.62,4.84,1.18,25.19,15.93,8.07,18.2,31.14,24.3,19.63,15.25,26.16,16.58,12.06,13.36,27.38,21.89,14.93,14.93
22,Minority Interest in Earnings,-1.49,1.21,-1.58,-1.53,-1.8,-1.89,-2.52,-3.37,-2.42,-1.99,-0.23,-0.27,-0.15,0.03,-0.55,-0.43,-0.37,-0.29,-0.29
23,Net Income,2.12,6.05,-0.4,23.66,14.13,6.19,15.68,27.77,21.88,17.63,15.02,25.89,16.44,12.08,12.8,26.95,21.53,14.64,14.64
24,Net Income to Common,2.12,6.05,-0.4,23.66,14.13,6.19,15.68,27.77,21.88,17.63,15.02,25.89,16.44,12.08,12.8,26.95,21.53,14.64,14.64
25,Net Income Growth,-84.98%,-2.14%,-,-14.80%,-35.43%,-64.91%,4.38%,7.25%,33.13%,45.92%,17.31%,-3.93%,-23.64%,-17.46%,-12.55%,-,-,-,-
26,Shares Outstanding (Basic),112,112,112,114,112,112,112,115,112,112,112,84,84,84,84,84,-,84,84
27,Shares Outstanding (Diluted),112,112,112,114,112,112,112,115,112,112,112,84,84,84,84,84,-,84,84
28,Shares Change (YoY),0.22%,0.18%,-0.32%,-0.63%,-0.10%,0.07%,-0.02%,36.78%,33.34%,33.32%,33.32%,0.06%,-,0.38%,0.42%,-,-,-,-
29,EPS (Basic),0.02,0.05,-0.00,0.21,0.13,0.06,0.14,0.24,0.20,0.16,0.13,0.31,0.20,0.14,0.15,0.32,-,0.17,0.17
30,EPS (Diluted),0.02,0.05,-0.00,0.21,0.13,0.06,0.14,0.24,0.20,0.16,0.13,0.31,0.20,0.14,0.15,0.32,-,0.17,0.17
31,EPS Growth,-85.02%,-2.31%,-,-14.26%,-35.37%,-64.94%,4.40%,-21.59%,-0.16%,9.46%,-12.01%,-3.98%,-,-17.77%,-12.91%,-,-,-,-
32,Free Cash Flow,6.41,-12.1,-24.59,6.08,33.59,-4.23,-11.18,-27.07,55.14,-4.82,-46.45,76.09,-1.7,4.98,-78.43,-,-,-39.95,-39.95
