,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,132.31,90.46,119.3,371.98,278.57,241.96,324.27,492.09,389.73,271.42,643.35,694.07,-,146.33,-,216.74,-,173.01,173.01
1,Trading Asset Securities,548.12,575.1,577.49,324.86,402.24,402.34,338.01,180.25,295.22,350.57,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,680.43,665.56,696.79,696.84,680.81,644.29,662.28,672.34,684.95,621.99,643.35,694.07,-,146.33,216.74,216.74,173.01,173.01,173.01
3,Cash Growth,-0.06%,3.30%,5.21%,3.64%,-0.60%,3.59%,2.94%,-3.13%,-,325.07%,196.83%,220.23%,-,-15.42%,25.27%,-,-,-,-
4,Accounts Receivable,394.3,410.64,388.11,419.07,395.31,379.83,345.58,398.83,308.61,311.01,256.71,225.95,-,234.42,-,193.17,-,207.38,207.38
5,Other Receivables,4.94,7.22,7.7,9.59,7.49,9.58,11.68,12.36,10.45,12.57,7.82,9.02,-,0.75,-,8.88,-,1.04,1.04
6,Receivables,399.24,417.86,395.81,428.66,402.8,389.41,357.26,411.19,319.06,323.58,264.53,234.97,-,235.17,-,202.05,-,208.42,208.42
7,Inventory,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,-,0.11,-,0.11,-,0.14,0.14
8,Prepaid Expenses,-,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,2.81,2.56,1.67,0.44,2.02,0.62,0.08,0.13,0.52,0.72,0.23,0.01,-,10.94,-,2.11,-,9.56,9.56
