,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,13329,12635,12315,11439,12111,12987,10639,15249,7951,9796,10939,8699,4350,3625,3168,2712,-,1041,-,950.63
1,Trading Asset Securities,1056,105.21,60.6,122.46,396.77,181.65,83.33,4.25,154.84,225.89,-,-,46.77,85.96,124.89,0.22,-,2.47,-,62.06
2,Cash & Short-Term Investments,14385,12741,12376,11562,12508,13168,10722,15253,8106,10022,10939,8699,4397,3711,3292,2712,-,1044,1013,1013
3,Cash Growth,15.01%,-3.25%,15.42%,-24.20%,54.30%,31.39%,-1.98%,75.34%,84.36%,170.07%,232.23%,220.76%,-,255.55%,225.12%,167.81%,-,-,-,-
4,Accounts Receivable,4719,4334,5039,5140,5616,5734,7405,5077,6559,6977,7018,5297,4649,3753,3045,1979,-,1500,-,1485
5,Other Receivables,587.42,807.56,747.13,674.44,740.02,356.61,170.24,102.49,129.48,53.61,111.44,85.18,56.86,46.42,50.56,59.64,-,32.47,-,36.31
6,Receivables,5306,5142,5786,5814,6356,6090,7575,5180,6688,7030,7130,5382,4706,3799,3095,2039,-,1533,-,1522
7,Inventory,9710,8437,7470,7929,8313,7192,8740,9620,6600,6709,5706,4824,4299,3091,2217,1460,-,1114,-,1040
8,Other Current Assets,4687,5338,4919,4661,3956,3428,2775,2537,2582,930.02,991.59,723.55,717.05,489.69,576.58,336.87,4483,241.01,-,304.13
9,Total Current Assets,34089,31658,30551,29967,31133,29879,29813,32590,23976,24691,24765,19630,14119,11091,9181,6548,4483,3932,-,3878
10,"Property, Plant & Equipment",27629,27662,25397,24077,21327,17832,17368,14796,12313,9723,8568,6879,5115,3906,2993,2688,-,2089,-,1896
11,Long-Term Investments,4166,3839,3052,3013,2518,2706,1211,1068,640.71,224.93,179.7,80.66,-,-,-,-,-,-,-,-
12,Goodwill,1389,1413,1351,1348,1400,1326,1326,1326,1020,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,1635,1646,1654,1663,1660,1297,1140,1075,928.63,933.6,852.6,786.65,791.22,586.93,437.75,407.3,-,359.21,-,276.62
14,Long-Term Deferred Tax Assets,406.73,349.07,225.67,223.61,226.87,169,219.45,246.89,80.05,80.3,76.65,71.39,60.24,51.07,52.84,44.16,-,43.62,-,56.49
15,Long-Term Deferred Charges,16.63,23.02,22.76,14.7,20.52,22.94,26.88,23.98,42.44,36.74,27.41,17.37,17.91,12.04,5.36,1.63,-,1.53,-,1.52
16,Other Long-Term Assets,1730,1575,1924,1880,1729,2681,2563,2754,3799,2264,409.84,735.2,583.56,212.49,414.78,174.96,2809,42.35,-,55.28
17,Total Assets,71061,68165,64177,62186,60015,55913,53668,53880,42799,37953,34880,28200,20687,15859,13084,9864,7292,6467,-,6164
18,Accounts Payable,10612,9006,7635,8594,7532,6182,9098,8723,7430,9121,9348,10018,8534,6814,5362,3523,-,1911,-,2116
19,Accrued Expenses,282.63,269.76,178.14,344.18,399.48,147.96,96.54,237.3,97.38,123.83,68.56,136.52,54.41,50.3,43.56,63.63,-,19.99,-,43.71
20,Short-Term Debt,2313,2110,2963,3521,2588,4530,3076,6331,6442,7960,7088,3405,3539,1971,1489,734.13,-,712.71,-,738.11
21,Current Portion of Long-Term Debt,5017,4731,3704,3352,3218,2523,1888,1040,540.91,678.71,383.84,383.04,213.51,265.73,251.77,60.22,-,45,-,41
22,Current Portion of Leases,-,17.93,-,30.52,-,11.67,-,36.92,-,6.15,-,29.23,-,-,-,-,-,-,-,-
23,Current Income Taxes Payable,171.79,78.94,257.77,139.63,-,72.29,150.37,94.39,200.37,88.41,67.6,1.26,36.75,52.26,25.02,1.77,-,6.08,-,0.36
24,Current Unearned Revenue,323.38,499.11,300.07,169.25,373.8,70.79,642.39,86.42,111.62,139.75,10.37,18.19,6.55,11.2,16.63,35.28,-,2.01,-,3.7
25,Other Current Liabilities,1831,669.08,642.91,332.67,1238,414.44,984.39,1041,1453,649.04,839.49,326.57,1012,700.04,326.76,262.34,3526,285.3,-,375.47
26,Total Current Liabilities,20550,17382,15681,16482,15350,13952,15935,17591,16275,18767,17806,14318,13396,9864,7515,4680,3526,2982,-,3319
27,Long-Term Debt,20152,21066,17380,16480,16891,16815,16266,15099,12071,5853,5470,2552,2077,1111,967.86,840.94,1349,681.8,-,150.09
28,Long-Term Leases,18.78,10.54,11.94,8.6,16.43,18.4,25.63,28.69,59.4,68.74,62.65,68.22,65.65,97.58,122.81,152.26,-,236.28,-,323.4
29,Long-Term Unearned Revenue,379.23,459.56,353.57,485.3,528.64,448.6,354.24,508.12,379.71,450.27,419.59,426.22,384.85,367.25,298.71,243.84,-,202.68,-,178.61
30,Long-Term Deferred Tax Liabilities,502.04,468.82,331.85,328.14,276.9,283.3,304.17,309.19,202.67,209.77,213.69,212.51,182.48,125.03,125.91,110.29,-,81.13,-,78.69
31,Other Long-Term Liabilities,1014,481.06,1480,478.08,1418,487.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Total Liabilities,42616,39868,35239,34263,34480,32005,32885,33536,28987,25348,23972,17577,16107,11565,9030,6027,4875,4184,-,4050
