,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,35190,37357,28844,35735,32908,33927,40406,48051,44000,50834,75538,71318,91766,85009,92853,44968,46552,-,-,-,-
1,Market Cap Growth,10.11%,10.11%,-28.61%,-25.63%,-25.21%,-33.26%,-46.51%,-32.62%,-52.05%,-40.20%,-18.65%,58.60%,97.13%,-,-,-,-,-,-,-,-
2,Enterprise Value,56684,60910,49167,52881,50054,50511,54808,61831,57780,57524,78421,69846,93266,84743,92392,46317,47901,-,-,-,-
3,Last Close Price,37.83,39.86,30.76,36.95,34.03,35.08,41.73,49.43,45.26,57.52,85.47,81.09,104.33,102.76,112.25,54.33,56.24,-,-,-,-
4,PE Ratio,18.90,19.83,14.12,18.00,16.91,18.39,24.48,29.49,28.52,40.40,67.95,72.61,97.73,93.92,123.16,79.02,110.80,-,-,-,-
5,Forward PE,17.75,17.18,13.19,14.35,13.50,13.63,14.18,14.95,12.47,17.80,30.34,36.17,52.71,58.04,86.54,46.16,-,-,-,-,-
6,PS Ratio,0.93,0.98,0.78,1.00,0.96,0.99,1.21,1.51,1.45,1.78,2.91,3.14,4.57,5.24,7.23,4.70,6.26,-,-,-,-
7,PB Ratio,1.77,1.31,1.02,1.23,1.18,1.33,1.69,2.31,2.16,3.68,5.99,6.54,8.64,18.56,21.63,11.09,12.13,-,-,-,-
8,P/TBV Ratio,2.19,2.19,1.71,2.07,1.96,2.18,2.62,3.33,3.12,5.59,7.93,7.72,10.14,22.45,25.05,12.43,13.57,-,-,-,-
9,P/FCF Ratio,-,-45.32,-,-,-12.90,-,-4.37,-,-,-,-,-,-,-,-,-,-79.89,-,-,-,-
10,P/OCF Ratio,7.37,7.37,6.04,5.90,7.50,11.15,-344.56,-,-8.88,-,-,-,-,-,199.60,-,100.42,-,-,-,-
11,EV/Sales Ratio,1.48,1.59,1.33,1.48,1.46,1.47,1.64,1.94,1.90,2.02,3.02,3.08,4.65,5.22,7.20,4.84,6.44,-,-,-,-
12,EV/EBITDA Ratio,14.88,15.31,11.68,13.36,13.73,17.16,22.53,26.52,27.80,29.44,45.21,51.64,74.28,64.09,87.21,55.42,78.57,-,-,-,-
13,EV/EBIT Ratio,21.09,20.01,14.62,16.49,16.80,21.37,28.53,32.32,33.43,34.43,53.32,60.20,86.17,72.55,100.80,66.48,99.43,-,-,-,-
14,EV/FCF Ratio,-68.76,-73.89,-,-,-19.62,-,-5.93,-,-,-,-,-,-,-,-,-,-82.21,-,-,-,-
15,Debt / Equity Ratio,0.97,0.97,0.99,0.83,0.84,0.89,1.00,1.02,1.11,1.38,1.16,1.19,0.61,1.29,0.80,0.70,0.47,0.56,0.73,0.59,0.59
16,Debt / EBITDA Ratio,7.22,7.12,6.20,5.94,6.47,4.74,6.86,7.61,27.69,6.96,4.75,7.29,15.64,3.15,2.13,2.03,3.56,1.65,2.68,2.55,2.23
17,Debt / FCF Ratio,-,-33.36,-,-,-9.17,-,-2.58,-,-,-,-,-,-,-,-,-,-3.07,-,-,-,-
18,Asset Turnover,0.58,0.65,0.59,0.53,0.62,0.68,0.59,0.67,0.80,0.87,0.80,1.01,1.21,1.29,1.29,1.10,1.23,-,-,-,
19,Inventory Turnover,3.70,3.91,4.77,4.17,3.43,3.79,4.21,3.06,3.51,4.32,4.54,4.27,4.92,5.23,6.26,6.94,-,-,-,-,-
20,Quick Ratio,0.96,0.96,1.03,1.16,1.05,1.23,1.38,1.15,1.16,0.91,0.91,1.01,0.98,0.68,0.76,0.85,1.02,-,0.86,-,0.76
21,Current Ratio,1.66,1.66,1.82,1.95,1.82,2.03,2.14,1.87,1.85,1.47,1.32,1.39,1.37,1.05,1.12,1.22,1.40,1.27,1.32,-,1.17
22,Return on Equity (ROE),6.91%,8.86%,7.36%,8.56%,11.05%,8.58%,7.11%,10.49%,12.84%,13.88%,9.44%,9.11%,24.99%,26.48%,21.45%,17.89%,21.48%,16.64%,11.85%,-,
23,Return on Assets (ROA),2.71%,3.08%,3.17%,2.76%,4.62%,3.01%,2.67%,0.30%,3.90%,4.47%,3.08%,0.01%,5.87%,5.89%,6.77%,2.54%,6.47%,-,-,-,
24,Return on Capital (ROIC),3.36%,3.73%,3.84%,3.39%,5.58%,3.67%,3.38%,0.39%,5.24%,6.37%,4.74%,0.03%,11.79%,11.65%,12.42%,4.64%,11.52%,8.25%,7.12%,-,
25,Return on Capital Employed (ROCE),5.32%,6.03%,6.62%,6.61%,6.52%,5.29%,4.58%,5.07%,4.76%,6.30%,7.67%,6.80%,7.80%,16.02%,15.29%,12.51%,9.29%,13.49%,9.47%,-,3.98%
26,Earnings Yield,5.35%,5.04%,7.08%,5.55%,5.92%,5.44%,4.09%,3.39%,3.51%,2.48%,1.47%,1.38%,1.02%,1.06%,0.81%,1.27%,0.90%,-,-,-,-
27,FCF Yield,-2.34%,-2.21%,-6.69%,-1.18%,-7.75%,-11.93%,-22.89%,-26.70%,-32.94%,-31.23%,-16.13%,-13.66%,-7.25%,-4.38%,-1.75%,-3.17%,-1.25%,-,-,-,-
28,Dividend Yield,1.45%,-,3.60%,-,2.43%,-,-,-,0.41%,-,-,-,0.11%,-,-,-,0.10%,-,-,-,-
29,Payout Ratio,93.72%,60.45%,204.21%,51.40%,54.00%,23.09%,104.47%,62.04%,41.40%,31.31%,49.98%,25.41%,13.92%,13.66%,27.30%,9.55%,5.14%,10.48%,14.35%,13.85%,165.79%
30,Buyback Yield / Dilution,-2.30%,-0.10%,-1.00%,-1.27%,-8.77%,-8.62%,-10.62%,-10.22%,-7.67%,-6.44%,-7.17%,-6.50%,-10.72%,-15.46%,-11.86%,-9.06%,-1.62%,-,-,-,-
31,Total Shareholder Return,-0.84%,-0.10%,2.60%,-1.27%,-6.34%,-8.62%,-10.62%,-10.22%,-7.26%,-6.44%,-7.17%,-6.50%,-10.60%,-15.46%,-11.86%,-9.06%,-1.52%,-,-,-,-
