,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,14042,6829,9292,2929,11394,6894,7903,6531,8346,7612,6328,5847,5612,4572,3690,2268,2128,1380,1569,1528
1,Other Revenue,-3965,3965,-,5153,-2470,2470,-,1527,-289.81,289.81,-,352.44,-93.96,93.96,-,95.06,-6.94,6.94,-,87.27
2,Revenue,10077,10794,9292,8083,8924,9363,7903,8058,8056,7902,6328,6199,5518,4666,3690,2363,2121,1387,1569,1615
3,Revenue Growth (YoY),12.91%,15.28%,17.58%,0.31%,10.78%,18.50%,24.88%,29.99%,46.01%,69.33%,71.51%,162.38%,160.09%,236.41%,135.23%,46.27%,-,-,-,-
4,Cost of Revenue,8861,9481,8036,6956,7345,8381,7016,7123,7188,7039,5619,5608,4834,4156,3188,2071,1800,1216,1385,1119
5,Gross Profit,1216,1313,1256,1127,1579,982.41,886.93,934.92,868.41,862.39,709.26,590.78,683.61,510.66,501.1,291.85,321.03,171.41,183.04,495.71
6,"Selling, General & Admin",246.47,289.06,261.67,324.71,256.92,184.34,169.96,213.51,157.83,133.75,106.61,158.95,75.92,57.88,50.37,48.65,65.72,25.82,41.45,188.02
7,Research & Development,267.42,195.64,254.89,289.29,313.98,216.63,235.78,309.41,187.15,209.53,223.07,277.35,206.59,144.38,140.88,87.94,70.69,46.35,65.12,175.47
8,Other Operating Expenses,-48.83,8.14,-67.85,-126.47,-88.71,-71.86,-98.25,381.48,-116.77,-119.19,-45.66,141.7,-35.1,-37.04,-10.02,69.45,-1.28,-20.24,-20.85,15.53
9,Operating Expenses,461.57,498.09,455.18,452.7,506.9,323.25,313.14,876.31,238.87,211.11,320.53,589.34,254.27,169.83,190.33,204.77,143.11,50.47,87.2,382.46
10,Operating Income,754.05,814.94,800.97,674.34,1072,659.16,573.79,58.61,629.53,651.28,388.73,1.44,429.34,340.83,310.77,87.08,177.92,120.94,95.84,113.25
11,Interest Expense,-261.81,-270.29,-212.17,-239.16,-184.85,-184.66,-175.32,-223.11,-121.64,-134.77,-48.25,-20,-40.57,-27.97,-16.95,-15.44,-16,-16.76,-14.12,-94.1
12,Interest & Investment Income,63.63,56.96,47.19,77.51,46.38,64.96,29.45,28.95,25.8,21.86,13.32,6.27,11.07,5.74,4.63,2.08,1.05,1.92,2.23,7.92
13,Currency Exchange Gain (Loss),-17.8,17.8,-,47.09,-143.19,143.19,-,-21.69,57.49,-57.49,-,-1.98,4.63,-4.63,-,-2.22,-0.71,0.71,-,2.31
14,Other Non Operating Income (Expenses),-129.48,-23.74,-1.9,-148.49,78.34,-91.12,39.68,24.06,-52.54,6.91,-19.87,-3.49,-16.82,2.49,-8.52,-6.21,-2.82,-0.68,2.73,-8.41
15,EBT Excluding Unusual Items,408.6,595.67,634.09,411.29,868.86,591.52,467.59,-133.19,538.65,487.78,333.93,-17.76,387.64,316.46,289.93,65.28,159.43,106.13,86.67,20.97
16,Gain (Loss) on Sale of Investments,55.61,-20.96,-7.36,3.84,-18.83,-32.79,5.84,-32.48,-3.45,-10.96,-21.37,-58.18,-27.37,-17.76,-11.1,-12.38,-3.96,-4.69,-7.63,-19.6
17,Gain (Loss) on Sale of Assets,0.01,-0.03,-0.4,-0,0.48,-0.45,-0.36,-0.09,-0,0,-0,0.08,-0,-,-0.1,-0.05,-,-,-,-
18,Asset Writedown,-13.77,-5.61,5.61,61.28,-76.97,19.68,-19.68,14.95,-17.79,-,-,30.55,-30.55,28.35,-28.35,10.6,-10.6,5.51,-5.51,-
19,Other Unusual Items,56.27,105.89,3.29,98.59,-,-,-,531.39,-,-,-,205.92,-,-,-,86.82,0.17,-0.17,-,65.69
20,Pretax Income,506.7,674.95,635.24,574.99,773.54,577.97,453.39,380.58,517.41,476.83,312.55,160.61,329.71,327.05,250.39,150.27,145.04,106.77,73.53,67.06
21,Income Tax Expense,16.51,41.18,112.33,2.93,90.91,98.86,87.71,-67.18,93.37,68.77,58.61,-12.48,52.48,50.72,38.84,10.39,18.88,15.32,10.87,10.96
22,Earnings From Continuing Operations,490.19,633.77,522.91,572.06,682.63,479.11,365.68,447.76,424.04,408.06,253.94,173.09,277.23,276.33,211.55,139.88,126.17,91.46,62.66,56.1
23,Minority Interest in Earnings,-30.65,-148.83,-143.77,-12.03,-64.32,-51.87,-24.71,10.56,0.05,-2.2,0.82,0.59,0.17,-,-,-,-,-,-,-
24,Net Income,459.55,484.94,379.14,560.04,618.32,427.24,340.97,458.32,424.08,405.85,254.76,173.67,277.4,276.33,211.55,139.88,126.17,91.46,62.66,56.1
25,Net Income to Common,459.55,484.94,379.14,560.04,618.32,427.24,340.97,458.32,424.08,405.85,254.76,173.67,277.4,276.33,211.55,139.88,126.17,91.46,62.66,56.1
26,Net Income Growth,-25.68%,13.50%,11.19%,22.19%,45.80%,5.27%,33.84%,163.90%,52.88%,46.87%,20.43%,24.16%,119.86%,202.15%,237.63%,149.36%,-,-,-,-
27,Shares Outstanding (Basic),938,947,931,946,937,938,936,869,863,848,849,808,810,791,797,729,702,707,731,718
28,Shares Outstanding (Diluted),938,947,948,946,937,938,936,869,863,848,849,808,810,791,797,729,702,707,731,718
29,Shares Change (YoY),0.10%,1.00%,1.27%,8.77%,8.62%,10.62%,10.22%,7.67%,6.44%,7.17%,6.50%,10.72%,15.46%,11.86%,9.06%,1.62%,-,-,-,-
30,EPS (Basic),0.49,0.51,0.41,0.59,0.66,0.46,0.36,0.53,0.49,0.48,0.30,0.22,0.34,0.35,0.27,0.19,0.18,0.13,0.09,0.08
31,EPS (Diluted),0.49,0.51,0.40,0.59,0.66,0.46,0.36,0.53,0.49,0.48,0.30,0.22,0.34,0.35,0.27,0.19,0.18,0.13,0.09,0.08
32,EPS Growth,-25.75%,12.38%,9.80%,12.34%,34.23%,-4.83%,21.43%,145.09%,43.63%,37.05%,13.08%,12.14%,90.42%,170.12%,209.57%,145.39%,-,-,-,-
33,Free Cash Flow,59.81,-608.38,-432.36,156.55,-1045,899.98,-2563,-1339,-6245,-2680,-4230,-2723,-2553,-240.2,-1139,210.56,-454.32,-42.75,-296.17,-355.56
34,Free Cash Flow Per Share,0.06,-0.64,-0.46,0.17,-1.12,0.96,-2.74,-1.54,-7.24,-3.16,-4.98,-3.37,-3.15,-0.30,-1.43,0.29,-0.65,-0.06,-0.41,-0.50
35,Dividend Per Share,-,0.280,-,0.829,-,-,-,0.184,-,-,-,0.119,-,-,-,0.057,-,-,-,-
36,Dividend Growth,-,-,-,349.59%,-,-,-,54.61%,-,-,-,108.76%,-,-,-,-,-,-,-,-
37,Gross Margin,12.06%,12.16%,13.52%,13.94%,17.69%,10.49%,11.22%,11.60%,10.78%,10.91%,11.21%,9.53%,12.39%,10.94%,13.58%,12.35%,15.13%,12.36%,11.67%,30.69%
38,Operating Margin,7.48%,7.55%,8.62%,8.34%,12.01%,7.04%,7.26%,0.73%,7.81%,8.24%,6.14%,0.02%,7.78%,7.30%,8.42%,3.69%,8.39%,8.72%,6.11%,7.01%
39,Profit Margin,4.56%,4.49%,4.08%,6.93%,6.93%,4.56%,4.31%,5.69%,5.26%,5.14%,4.03%,2.80%,5.03%,5.92%,5.73%,5.92%,5.95%,6.59%,3.99%,3.47%
40,Free Cash Flow Margin,0.59%,-5.64%,-4.65%,1.94%,-11.71%,9.61%,-32.43%,-16.62%,-77.52%,-33.91%,-66.84%,-43.92%,-46.26%,-5.15%,-30.87%,8.91%,-21.42%,-3.08%,-18.88%,-22.01%
41,EBITDA,965.16,1116,1012,885.44,1197,863.58,698.63,183.45,686.89,762.27,446.08,58.79,467.63,380.07,349.07,125.37,204.96,156.41,122.88,140.3
42,EBITDA Margin,9.58%,10.34%,10.89%,10.95%,13.41%,9.22%,8.84%,2.28%,8.53%,9.65%,7.05%,0.95%,8.48%,8.15%,9.46%,5.31%,9.66%,11.28%,7.83%,8.69%
43,D&A For EBITDA,211.1,301.38,211.1,211.1,124.84,204.42,124.84,124.84,57.35,110.99,57.35,57.35,38.3,39.24,38.3,38.3,27.04,35.47,27.04,27.04
44,EBIT,754.05,814.94,800.97,674.34,1072,659.16,573.79,58.61,629.53,651.28,388.73,1.44,429.34,340.83,310.77,87.08,177.92,120.94,95.84,113.25
45,EBIT Margin,7.48%,7.55%,8.62%,8.34%,12.01%,7.04%,7.26%,0.73%,7.81%,8.24%,6.14%,0.02%,7.78%,7.30%,8.42%,3.69%,8.39%,8.72%,6.11%,7.01%
46,Effective Tax Rate,3.26%,6.10%,17.68%,0.51%,11.75%,17.10%,19.35%,-,18.05%,14.42%,18.75%,-,15.92%,15.51%,15.51%,6.92%,13.01%,14.35%,14.79%,16.34%
47,Revenue as Reported,10077,10794,9292,8083,8924,9363,7903,8058,8056,7902,6328,6199,5518,4666,3690,2363,2121,1387,1569,5311
