,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2016
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Sep '15 Sep 30, 2015"
0,Market Capitalization,1517,1517,1260,1424,1645,1319,1365,1517,1692,-,-
1,Market Cap Growth,6.56%,6.56%,-23.40%,7.96%,20.51%,-13.08%,-19.31%,-,-,-,-
2,Enterprise Value,2738,2629,2332,2440,2438,1943,1835,1737,2297,-,-
3,Last Close Price,1.30,1.30,1.08,1.22,1.41,1.11,1.15,1.22,1.36,-,-
4,PE Ratio,-,-,-,-,-40.20,-,23.20,16.13,14.09,-,-
5,PS Ratio,2.06,2.06,1.70,1.79,1.87,1.42,1.27,1.57,1.80,-,-
6,PB Ratio,0.99,0.99,0.82,0.89,0.95,0.79,0.70,0.80,0.92,-,-
7,P/TBV Ratio,1.00,1.00,0.83,0.90,0.96,0.80,0.72,0.82,0.94,-,-
8,P/FCF Ratio,-,-,-11.14,-,-,-,-,-,-61.31,-,-
9,P/OCF Ratio,15.43,15.43,12.82,5.34,6.22,5.96,4.93,5.35,5.37,-,-
10,EV/Sales Ratio,3.72,3.57,3.15,3.06,2.77,2.10,1.71,1.80,2.44,-,-
11,EV/EBITDA Ratio,10.20,13.11,10.98,8.56,7.49,6.51,4.82,4.51,5.56,-,-
12,EV/EBIT Ratio,-,-,-,69.06,52.28,91.07,21.19,11.94,12.93,-,-
13,EV/FCF Ratio,-74.04,-,-20.62,-,-,-,-,-,-83.23,-,-
14,Debt / Equity Ratio,0.93,0.93,0.83,0.78,0.70,0.60,0.45,0.39,0.35,0.57,0.60
15,Debt / FCF Ratio,-,-,-11.31,-,-,-,-,-,-23.64,-,-
16,Return on Capital Employed (ROCE),-,-,-,1.43%,1.79%,0.87%,3.22%,5.63%,7.30%,-,4.11%
17,Earnings Yield,-8.13%,-8.13%,-8.23%,-1.08%,-2.49%,-2.74%,4.31%,6.20%,7.10%,-,-
18,FCF Yield,-2.44%,-2.44%,-8.97%,-17.93%,-17.60%,-22.21%,-32.14%,-17.79%,-1.63%,-,-
19,Dividend Yield,0.00%,-,-,-,-,-,1.39%,-,-,-,-
20,Buyback Yield / Dilution,-,-,-,-,-,-16.71%,-33.33%,-20.28%,-,-,
21,Total Shareholder Return,-,-,-,-,-,-15.32%,-33.33%,-20.28%,-,-,
