,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2733,3029,2759,3333,3687,5001,-,-,-,-,-,-,-,-
1,Market Cap Growth,-39.44%,-39.44%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1591,1840,1610,2129,2483,4815,-,-,-,-,-,-,-,-
3,Last Close Price,40.99,45.01,41.00,48.98,54.18,73.50,-,-,-,-,-,-,-,-
4,PE Ratio,25.11,27.89,25.24,29.55,34.11,46.69,-,-,-,-,-,-,-,-
5,PS Ratio,6.91,7.68,7.58,9.26,10.79,15.58,-,-,-,-,-,-,-,-
6,PB Ratio,1.81,2.01,1.86,2.23,2.52,3.49,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.03,2.03,1.87,2.25,2.54,3.52,-,-,-,-,-,-,-,-
8,P/FCF Ratio,9586.49,-,707.16,-,-262.48,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,54.71,54.71,42.95,48.01,51.26,68.92,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.03,4.67,4.42,5.92,7.27,15.00,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,18.25,20.49,16.34,19.33,21.81,43.15,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,20.99,23.00,17.97,20.74,23.15,45.50,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,5582.19,-,412.69,-,-176.80,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,0.00,-,-,-,-,0.00,0.00,0.00,0.00,0.00,-,-
15,Debt / EBITDA Ratio,-,-,0.01,-,-,-,-,0.00,0.00,0.00,0.00,0.00,-,-
16,Debt / FCF Ratio,-,-,0.26,-,-,-,-,-,-,0.00,0.00,0.01,-,-
17,Asset Turnover,0.27,0.25,0.23,-,-,-,-,-,-,0.65,-,0.89,-,
18,Inventory Turnover,178.44,282.87,264.26,305.92,-,-,-,-,-,-,265.32,-,169.02,-
19,Quick Ratio,18.41,18.41,20.04,22.57,19.30,18.26,-,-,4.28,-,4.48,4.48,5.88,5.88
20,Current Ratio,19.40,19.40,20.34,23.81,20.35,18.51,-,-,4.39,-,4.63,4.63,6.07,6.07
21,Return on Equity (ROE),6.08%,6.81%,8.03%,-,-,-,30.14%,39.72%,49.27%,26.66%,-,41.54%,-,
22,Return on Assets (ROA),2.48%,2.80%,3.76%,-,-,-,-,-,-,13.76%,-,22.93%,-,
23,Return on Capital (ROIC),2.63%,2.95%,3.95%,-,-,-,21.08%,18.22%,34.89%,17.02%,-,27.15%,-,
24,Return on Capital Employed (ROCE),4.96%,5.24%,5.96%,6.80%,7.26%,7.32%,-,-,28.29%,-,28.28%,21.64%,21.14%,10.57%
25,Earnings Yield,3.97%,3.59%,3.96%,3.38%,2.93%,2.14%,-,-,-,-,-,-,-,-
26,FCF Yield,0.01%,0.01%,0.14%,-0.05%,-0.38%,-0.42%,-,-,-,-,-,-,-,-
27,Dividend Yield,1.69%,-,2.07%,-,0.92%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,28.68%,-,122.88%,-,-,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-32.94%,-33.83%,-34.10%,-32.01%,-31.12%,1.03%,0.13%,-0.44%,-0.72%,-0.75%,-,-,-,-
30,Total Shareholder Return,-31.25%,-33.83%,-32.03%,-32.01%,-30.20%,1.03%,0.13%,-0.44%,-0.72%,-0.75%,-,-,-,-
