,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,111.38,91.75,90.17,76.5,89.41,79.18,72.06,65.85,72.72,53.82,53.82,47.5,47.5
1,Other Revenue,-5.29,5.29,-,24.65,-13.75,13.75,-,14.57,-,-,-,2.62,2.62
2,Revenue,106.09,97.04,90.17,101.15,75.66,92.93,72.06,80.42,72.72,53.82,53.82,50.12,50.12
3,Revenue Growth (YoY),40.22%,4.42%,25.14%,25.78%,4.04%,72.68%,33.89%,60.45%,45.10%,-,-,-,-
4,Cost of Revenue,65.86,53.07,47.83,57.41,37.44,45.67,34.02,40.74,34.18,27.23,27.23,22.61,22.61
5,Gross Profit,40.23,43.98,42.35,43.75,38.22,47.27,38.04,39.68,38.54,26.58,26.58,27.51,27.51
6,"Selling, General & Admin",8.01,7.49,7.75,7.13,6.05,6.82,5.2,3.87,4.48,4.31,4.31,3.67,3.67
7,Research & Development,15.9,16.41,10.74,10.63,11.2,7.77,4.92,3.93,3.93,4.05,4.05,2.43,2.43
8,Other Operating Expenses,0.44,0.35,0.37,-0.16,-3.12,-0.23,-0.18,8.29,-7.07,-0.53,-0.53,0.09,0.09
9,Operating Expenses,24.5,26.41,18.96,20.43,12.92,16.59,10.08,17.79,1.03,8.29,8.29,6.81,6.81
10,Operating Income,15.73,17.56,23.39,23.32,25.3,30.68,27.96,21.88,37.52,18.3,18.3,20.7,20.7
11,Interest Expense,-,-,-,-,-,-,-0,-0,-0,-0,-0,-,-
12,Interest & Investment Income,1.25,1.47,2.02,4.71,0.44,1.06,0.86,1.13,1.05,0.96,0.96,0.5,0.5
13,Other Non Operating Income (Expenses),2.62,-0.04,-0.01,-0.51,0.22,0.21,-0.07,-2.19,-0.01,1.09,1.09,-0.01,-0.01
14,EBT Excluding Unusual Items,19.6,18.99,25.4,27.51,25.95,31.95,28.75,20.82,38.56,20.34,20.34,21.2,21.2
15,Gain (Loss) on Sale of Investments,8.66,5.1,6.88,2.93,0.86,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-,0.02,-,-,-,-,-,-,-,-,-,-,-
17,Asset Writedown,-1.67,0.41,-0.45,1.55,-1.57,0.31,-0.31,0.84,-0.84,-,-,-,-
18,Other Unusual Items,-2.1,2.66,0.55,1.71,-,-,-,11.09,-,-,-,1.63,1.63
19,Pretax Income,24.5,27.18,32.38,33.7,25.24,32.26,28.44,32.75,37.72,20.34,20.34,22.84,22.84
20,Income Tax Expense,1.73,1.84,2.69,2.92,1.75,3.43,3.45,2.94,4.62,2.43,2.43,3.04,3.04
21,Net Income,22.76,25.35,29.69,30.78,23.49,28.83,24.99,29.81,33.1,17.91,17.91,19.79,19.79
22,Net Income to Common,22.76,25.35,29.69,30.78,23.49,28.83,24.99,29.81,33.1,17.91,17.91,19.79,19.79
23,Net Income Growth,-3.09%,-12.10%,18.81%,3.26%,-29.03%,60.97%,39.49%,50.60%,67.23%,-,-,-,-
24,Shares Outstanding (Basic),67,67,66,66,50,50,50,50,50,50,50,50,50
25,Shares Outstanding (Diluted),67,67,66,66,50,50,50,50,50,50,50,50,50
26,Shares Change (YoY),33.83%,34.10%,32.01%,31.12%,-1.03%,-0.13%,0.44%,0.72%,0.75%,-,-,-,-
27,EPS (Basic),0.34,0.38,0.45,0.47,0.47,0.58,0.50,0.59,0.66,0.36,0.36,0.40,0.40
28,EPS (Diluted),0.34,0.38,0.45,0.47,0.47,0.58,0.50,0.59,0.66,0.36,0.36,0.40,0.40
29,EPS Growth,-27.59%,-34.45%,-10.00%,-21.25%,-28.29%,61.17%,38.89%,49.51%,65.98%,-,-,-,-
30,Free Cash Flow,-5.99,15.4,-14.75,5.63,-2.38,9.73,-27.03,-1.47,6.18,8.46,8.46,2.62,2.62
31,Free Cash Flow Per Share,-0.09,0.23,-0.22,0.09,-0.05,0.20,-0.54,-0.03,0.12,0.17,0.17,0.05,0.05
32,Dividend Per Share,-,0.350,-,0.500,-,-,-,-,-,-,-,-,-
33,Gross Margin,37.92%,45.32%,46.96%,43.25%,50.51%,50.86%,52.79%,49.34%,53.00%,49.40%,49.40%,54.89%,54.89%
34,Operating Margin,14.83%,18.10%,25.93%,23.05%,33.44%,33.01%,38.81%,27.21%,51.59%,34.00%,34.00%,41.30%,41.30%
35,Profit Margin,21.46%,26.12%,32.92%,30.43%,31.05%,31.03%,34.68%,37.07%,45.52%,33.28%,33.28%,39.49%,39.49%
36,Free Cash Flow Margin,-5.65%,15.87%,-16.36%,5.57%,-3.14%,10.48%,-37.52%,-1.83%,8.49%,15.72%,15.72%,5.23%,5.23%
37,EBITDA,17.93,20.77,25.59,25.52,26.64,32.42,29.31,23.23,38.81,19.59,19.59,21.75,21.75
38,EBITDA Margin,16.90%,21.40%,28.37%,25.23%,35.21%,34.88%,40.67%,28.88%,53.36%,36.39%,36.39%,43.39%,43.39%
39,D&A For EBITDA,2.2,3.2,2.2,2.2,1.34,1.74,1.34,1.34,1.29,1.29,1.29,1.05,1.05
40,EBIT,15.73,17.56,23.39,23.32,25.3,30.68,27.96,21.88,37.52,18.3,18.3,20.7,20.7
41,EBIT Margin,14.83%,18.10%,25.93%,23.05%,33.44%,33.01%,38.81%,27.21%,51.59%,34.00%,34.00%,41.30%,41.30%
42,Effective Tax Rate,7.08%,6.75%,8.30%,8.67%,6.94%,10.62%,12.14%,8.97%,12.24%,11.94%,11.94%,13.32%,13.32%
43,Revenue as Reported,106.09,97.04,90.17,101.15,75.66,92.93,72.06,80.42,180.36,-,-,-,-
