,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,31,27,46,37,107,152,64,86,95,197,313,Upgrade
1,Market Cap Growth,-25.70%,-25.70%,-56.85%,-75.79%,66.83%,76.83%,-32.42%,-56.53%,-69.56%,-5.94%,151.22%,Upgrade
2,Enterprise Value,3,-0,20,32,119,158,63,81,115,209,1395,Upgrade
3,Last Close Price,0.15,0.16,0.41,0.39,1.71,2.42,1.02,1.37,1.52,4.39,6.95,Upgrade
4,PS Ratio,0.78,1.11,1.56,1.00,4.61,33.80,8.49,7.03,11.93,7.59,7.58,Upgrade
5,PB Ratio,0.50,0.54,1.09,0.88,5.52,3.96,1.34,1.09,0.85,1.62,2.19,Upgrade
6,P/TBV Ratio,0.54,0.54,1.10,0.88,5.52,3.96,1.34,1.53,1.08,2.64,3.33,Upgrade
7,P/FCF Ratio,-,-,-7.20,-,-,-,-,-,-,-,-,Upgrade
8,P/OCF Ratio,-,-,-7.74,-,-,-,-,-,-,-,-,Upgrade
9,EV/Sales Ratio,0.13,-,0.67,0.87,5.09,35.10,8.29,6.67,14.39,8.04,33.80,Upgrade
10,EV/FCF Ratio,-0.27,-,-3.10,-,-,-,-,-,-,-,-,Upgrade
11,Debt / Equity Ratio,0.21,0.21,0.25,0.01,1.15,0.61,0.51,0.31,0.22,0.18,0.16,Upgrade
12,Debt / FCF Ratio,-,-,-1.65,-,-,-,-,-,-,-,-,Upgrade
13,Earnings Yield,-50.10%,-56.01%,-27.12%,-135.17%,-48.40%,-26.44%,-102.41%,-95.45%,-70.79%,-51.16%,-34.94%,Upgrade
14,FCF Yield,-39.02%,-43.62%,-13.89%,-51.24%,-12.66%,-5.47%,-5.27%,-6.84%,-11.06%,-4.69%,-4.16%,Upgrade
15,Buyback Yield / Dilution,-42.45%,-54.49%,-28.91%,-76.04%,-66.41%,-,-29.49%,-39.92%,-42.95%,-62.16%,-22.58%,Upgrade
16,Total Shareholder Return,-42.45%,-54.49%,-28.91%,-76.04%,-66.41%,-,-29.49%,-39.92%,-42.95%,-62.16%,-22.58%,Upgrade
