,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,531.3,834.98,1099,1325,1297,1183,-
1,Short-Term Investments,-,2.78,-,3.85,-,2.96,-
2,Trading Asset Securities,-,-,-,-,190.49,-,-
3,Cash & Short-Term Investments,531.3,837.76,1099,1329,1487,1186,-
4,Cash Growth,-51.64%,-36.96%,-26.12%,12.10%,-,-,-
5,Other Receivables,-,38.57,-,12.58,-,51.94,-
6,Receivables,-,38.57,-,12.58,-,51.94,-
7,Inventory,139.69,118.08,41.99,66.14,31.25,38.55,-
8,Other Current Assets,124.37,134.97,121.89,12.2,48.63,18.57,-
9,Total Current Assets,795.36,1129,1263,1420,1567,1295,-
10,"Property, Plant & Equipment",1061,884.23,682.71,631.25,568.89,471.61,-
11,Long-Term Investments,-,2.4,-,31.4,81.01,80,-
12,Goodwill,9.31,9.31,9.31,9.31,9.31,9.31,-
13,Other Intangible Assets,38.93,41.13,43.25,33.51,22.12,22.12,-
14,Other Long-Term Assets,154.3,119.84,247.4,184.22,163.85,41.62,-
15,Total Assets,2059,2186,2245,2310,2412,1919,-
16,Accounts Payable,68.34,115.08,68.71,62.52,28.47,16.82,-
17,Accrued Expenses,127.63,118.82,72.41,148.8,155.2,53.46,-
18,Current Portion of Long-Term Debt,212.15,46.31,22.13,1.39,-,-,-
19,Current Portion of Leases,15.5,14.73,27.12,20.36,10.48,7.86,-
20,Other Current Liabilities,258.02,149.29,125.8,95.91,39.07,61.15,-
21,Total Current Liabilities,681.64,444.24,316.16,328.98,233.21,139.29,-
22,Long-Term Debt,469.17,585.33,487.11,231.62,88.09,50,-
23,Long-Term Leases,0.27,4.42,20.41,29.25,34.65,18.86,-
24,Long-Term Unearned Revenue,66.34,75.81,60.78,61.14,42.24,32.24,-
25,Long-Term Deferred Tax Liabilities,5.53,5.53,5.53,5.53,5.53,5.53,-
26,Total Liabilities,1223,1115,889.99,656.53,403.72,245.92,-
27,Common Stock,482.96,482.96,482.96,482.96,482.96,448.25,-
28,Additional Paid-In Capital,2583,2583,2583,2583,2583,1954,-
29,Retained Earnings,-2583,-2334,-2026,-1754,-1381,-1031,-
30,Treasury Stock,-58.73,-54.01,-41.2,-,-,-,-
31,Comprehensive Income & Other,412.93,393.76,369.78,349.44,326.03,301.63,-
32,Total Common Equity,836.75,1071,1368,1662,2011,1673,-
33,Minority Interest,-0.99,-0.49,-13.19,-8.8,-2.94,-0.01,-
34,Shareholders' Equity,835.76,1071,1355,1653,2009,1673,-
35,Total Liabilities & Equity,2059,2186,2245,2310,2412,1919,-
36,Total Debt,697.09,650.8,556.76,282.63,133.22,76.72,-
37,Net Cash (Debt),-165.79,186.97,541.96,1046,1354,1109,-
38,Net Cash Growth,-,-82.13%,-59.97%,-5.63%,-,-,-
39,Net Cash Per Share,-0.35,0.39,1.12,2.17,2.91,2.47,-
40,Filing Date Shares Outstanding,478.91,479.15,480.32,482.96,482.96,448.25,394.19
41,Total Common Shares Outstanding,478.91,479.15,480.32,482.96,482.96,448.25,394.19
42,Working Capital,113.72,685.14,946.44,1091,1334,1155,-
43,Book Value Per Share,1.75,2.24,2.85,3.44,4.16,3.73,-
44,Tangible Book Value,788.52,1021,1316,1619,1980,1642,-
45,Tangible Book Value Per Share,1.65,2.13,2.74,3.35,4.10,3.66,-
46,Machinery,-,291.14,-,198,-,144.58,-
47,Construction In Progress,-,493.71,-,381.73,-,266.74,-
48,Leasehold Improvements,-,150.38,-,30.06,-,29.21,-
