,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Other Revenue,17.62,25.78,4.6,3.36,1.97,6.2,-
1,Revenue,17.62,25.78,4.6,3.36,1.97,6.2,-
2,Revenue Growth (YoY),283.29%,667.95%,133.59%,-45.85%,-,-,-
3,Cost of Revenue,9.05,8.04,-,-,-,-,-
4,Gross Profit,8.57,17.74,4.6,3.36,1.97,6.2,-
5,"Selling, General & Admin",56.22,68.71,83.53,83.51,80.45,62.69,83.81
6,Research & Development,205.22,240.03,247.82,361.98,354.47,268.12,204.83
7,Other Operating Expenses,-,-,-,-,-,3.32,-3.32
8,Operating Expenses,261.45,308.74,331.35,445.48,434.92,334.13,285.33
9,Operating Income,-252.88,-291,-326.75,-442.13,-432.95,-327.93,-285.33
10,Interest Expense,-9.1,-8.19,-5.38,-2.74,-0.79,-0.63,-55.68
11,Interest & Investment Income,13.25,20.8,24.79,16.85,7.13,6.88,3.47
12,Currency Exchange Gain (Loss),3.83,-12.75,30.24,48.18,66.88,-10.73,2.24
13,Other Non Operating Income (Expenses),-1.04,-2.5,-0.12,-0.05,0.07,-1.06,-0
14,EBT Excluding Unusual Items,-245.93,-293.63,-277.22,-379.88,-359.67,-333.48,-335.29
15,Gain (Loss) on Sale of Investments,0.09,0.47,0.02,1.01,2.55,6.23,4.99
16,Gain (Loss) on Sale of Assets,0.06,6.35,0.26,-,-,-0.01,-0.01
17,Asset Writedown,-3.86,-8.69,-,-,-,-,-
18,Pretax Income,-249.64,-295.5,-276.94,-378.88,-357.12,-327.26,-330.3
19,Earnings From Continuing Operations,-249.64,-295.5,-276.94,-378.88,-357.12,-327.26,-330.3
20,Minority Interest in Earnings,0.5,-3.91,4.39,5.86,7.43,0.01,-
21,Net Income,-249.14,-299.41,-272.55,-373.02,-349.69,-327.26,-330.3
22,Net Income to Common,-249.14,-299.41,-272.55,-373.02,-349.69,-327.26,-330.3
23,Shares Outstanding (Basic),479,480,482,483,465,449,394
24,Shares Outstanding (Diluted),479,480,482,483,465,449,394
25,Shares Change (YoY),-0.67%,-0.69%,3.61%,7.67%,18.04%,-,-
26,EPS (Basic),-0.52,-0.62,-0.57,-0.77,-0.75,-0.73,-0.84
27,EPS (Diluted),-0.52,-0.62,-0.57,-0.77,-0.75,-0.73,-0.84
28,Free Cash Flow,-358.03,-377.64,-472.47,-405.32,-470.95,-371.4,-339.39
29,Free Cash Flow Per Share,-0.75,-0.79,-0.98,-0.84,-1.01,-0.83,-0.86
30,Operating Margin,-1435.16%,-1128.76%,-7107.92%,-13170.30%,-21999.39%,-5290.11%,-
31,Profit Margin,-1413.93%,-1161.40%,-5928.84%,-11111.62%,-17768.60%,-5279.22%,-
32,Free Cash Flow Margin,-2031.95%,-1464.87%,-10277.81%,-12073.82%,-23930.49%,-5991.22%,-
33,EBITDA,-217.67,-264.59,-305.28,-427.65,-420.02,-319.23,-279.13
34,D&A For EBITDA,35.21,26.4,21.48,14.48,12.93,8.71,6.2
35,EBIT,-252.88,-291,-326.75,-442.13,-432.95,-327.93,-285.33
