,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,3723,4298,5216,5892,11881,10770,-,-
1,Market Cap Growth,-27.06%,-27.06%,-56.10%,-45.29%,-,-,-,-
2,Enterprise Value,3900,4091,4616,4699,10291,9409,-,-
3,Last Close Price,7.77,8.97,10.86,12.20,24.60,22.30,-,-
4,PS Ratio,79.87,92.17,155.87,685.56,1973.59,1125.79,-,-
5,PB Ratio,4.14,4.79,4.42,4.02,6.36,4.58,-,-
6,P/TBV Ratio,5.07,5.07,4.64,4.14,6.49,4.64,-,-
7,EV/Sales Ratio,83.63,87.74,137.94,546.77,1709.56,983.52,-,-
8,Debt / Equity Ratio,0.83,0.83,0.61,0.41,0.17,0.07,0.05,-
9,Earnings Yield,-15.83%,-13.71%,-12.08%,-11.84%,-6.88%,-7.36%,-,-
10,FCF Yield,-21.23%,-18.39%,-17.95%,-16.10%,-8.34%,-9.16%,-,-
11,Buyback Yield / Dilution,0.68%,0.67%,0.69%,-3.61%,-7.67%,-18.04%,-,-
12,Total Shareholder Return,0.68%,0.67%,0.69%,-3.61%,-7.67%,-18.04%,-,-
