,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,649,874,1248,1398,1798,2047,2197,3496,1773,2197,2796,Upgrade
1,Market Cap Growth,-37.50%,-37.50%,-30.56%,-31.71%,-18.18%,-41.43%,23.95%,59.10%,-36.61%,-38.03%,-23.29%,Upgrade
2,Enterprise Value,368,530,602,827,1648,1761,1640,3030,742,576,977,Upgrade
3,Last Close Price,1.30,1.75,2.50,2.80,3.60,4.10,4.40,7.00,3.55,4.40,5.60,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,22.80,Upgrade
5,Forward PE,-,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,Upgrade
6,PS Ratio,0.27,0.37,0.51,0.53,0.60,0.63,0.70,1.11,0.59,0.66,0.76,Upgrade
7,PB Ratio,0.22,0.23,0.30,0.32,0.40,0.42,0.41,0.61,0.30,0.36,0.37,Upgrade
8,P/TBV Ratio,0.30,0.30,0.40,0.42,0.54,0.58,0.55,0.84,0.41,0.52,0.55,Upgrade
9,P/FCF Ratio,-,-,-,-,8.90,-,-,-,-,-,-,Upgrade
10,P/OCF Ratio,248.62,-,-28.25,-,6.15,-,-,-,-,-,-,Upgrade
11,PEG Ratio,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,Upgrade
12,EV/Sales Ratio,0.15,0.22,0.24,0.31,0.55,0.54,0.52,0.96,0.24,0.17,0.26,Upgrade
13,EV/EBITDA Ratio,-,-,-,-,-6.47,-,-,-,-2.25,-,-,Upgrade
14,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-1.52,-,-,Upgrade
15,EV/FCF Ratio,-8.53,-,-,-,8.16,-,-,-,-,-,-,Upgrade
16,Debt / Equity Ratio,0.27,0.27,0.22,0.22,0.23,0.27,0.25,0.20,0.25,0.25,0.22,Upgrade
17,Debt / FCF Ratio,-,-,-,-,5.07,-,-,-,-,-,-,Upgrade
18,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-7.40%,-,-,Upgrade
19,Earnings Yield,-48.41%,-35.96%,-20.75%,-13.02%,-21.32%,-26.45%,-20.76%,-9.89%,-58.50%,-27.84%,4.39%,Upgrade
20,FCF Yield,-6.65%,-4.94%,-8.66%,17.01%,11.24%,-10.83%,-11.02%,-13.93%,-43.60%,-31.10%,-18.34%,Upgrade
21,Buyback Yield / Dilution,-,-,-,-0.00%,-,-0.00%,-0.00%,-,-,-,Upgrade,
22,Total Shareholder Return,-,-,-,-0.00%,-,-0.00%,-0.00%,-,-,-,Upgrade,
