,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,20.24,39.55,35.78,33.39,17.89,42.64,48.36,55.53,34.73,56.64
1,Revenue Growth (YoY),-43.43%,18.45%,100.01%,-21.70%,-63.01%,-23.20%,39.26%,-1.97%,-73.85%,-70.85%
2,Cost of Revenue,12.23,30.98,23,23.34,11.31,35.15,43.52,49.41,32.11,46.18
3,Gross Profit,8.01,8.57,12.78,10.05,6.58,7.49,4.84,6.12,2.62,10.46
4,"Selling, General & Admin",12.08,18.3,15.78,24.42,29.41,78.57,35.23,65.25,22.43,27.64
5,Operating Expenses,12.08,18.3,15.78,24.17,29.66,65.97,47.83,52.81,34.87,27.64
6,Operating Income,-4.07,-9.73,-3,-14.12,-23.08,-58.48,-42.99,-46.69,-32.25,-17.18
7,Interest Expense,-,-,-,-,-,-0.05,-0.1,-0.05,-,-0.01
8,Interest & Investment Income,0.32,0.52,0.43,0.14,0.1,-,0.95,1.44,2.09,2.29
9,Currency Exchange Gain (Loss),0.65,-0.95,1.49,0.94,1.59,-0.53,-0.42,-3.78,0.31,0.95
10,Other Non Operating Income (Expenses),-0.05,0.26,0.23,0.94,0.01,3.53,-3.19,0.76,0.38,0.41
11,EBT Excluding Unusual Items,-3.15,-9.9,-0.85,-12.1,-21.38,-55.53,-45.74,-48.33,-29.48,-13.54
12,Gain (Loss) on Sale of Investments,-0.97,3.24,-,-11.11,-,-3.87,-3.3,1.14,0.35,0.7
13,Gain (Loss) on Sale of Assets,-,-,-,-,-,0,0.88,-,-,-0
14,Asset Writedown,-,-,-,-8.88,-,-,-,-,-,-
15,Pretax Income,-4.12,-6.67,-0.85,-32.09,-21.38,-59.39,-48.16,-47.19,-29.13,-12.84
16,Income Tax Expense,-,-,-,0.82,-,2.54,-0.86,-1.21,-0.33,0.04
17,Earnings From Continuing Operations,-4.12,-6.67,-0.85,-32.91,-21.38,-61.93,-47.31,-45.98,-28.8,-12.89
18,Minority Interest in Earnings,-,-,-,-,-,-,0.3,0.83,0.19,0.02
19,Net Income,-4.12,-6.67,-0.85,-32.91,-21.38,-61.93,-47.01,-45.15,-28.61,-12.86
20,Net Income to Common,-4.12,-6.67,-0.85,-32.91,-21.38,-61.93,-47.01,-45.15,-28.61,-12.86
21,Shares Outstanding (Basic),2300,2300,2292,2294,2260,2291,2268,2283,2300,2301
22,Shares Outstanding (Diluted),2300,2300,2292,2294,2260,2291,2268,2283,2300,2301
23,Shares Change (YoY),0.36%,0.25%,1.39%,0.12%,-0.37%,0.37%,-1.35%,-0.78%,3.53%,9.43%
24,EPS (Basic),-0.00,-0.00,-0.00,-0.01,-0.01,-0.03,-0.02,-0.02,-0.01,-0.01
25,EPS (Diluted),-0.00,-0.00,-0.00,-0.01,-0.01,-0.03,-0.02,-0.02,-0.01,-0.01
26,Free Cash Flow,-10.68,-0.17,-4.55,-8.31,-11.45,-20.6,-36.22,-1.02,-10.38,19.42
27,Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.00,-0.01,-0.01,-0.02,-0.00,-0.00,0.01
28,Operating Margin,-20.11%,-24.61%,-8.38%,-42.28%,-129.01%,-137.13%,-88.89%,-84.09%,-92.87%,-30.33%
29,Profit Margin,-20.36%,-16.86%,-2.39%,-98.55%,-119.49%,-145.23%,-97.20%,-81.31%,-82.37%,-22.71%
30,Free Cash Flow Margin,-52.75%,-0.42%,-12.71%,-24.88%,-64.01%,-48.32%,-74.89%,-1.84%,-29.88%,34.28%
31,EBITDA,-3.38,-12.1,-0.54,-18.53,-13.61,-59.27,-29.9,-42.71,-19.79,-13.16
32,D&A For EBITDA,0.7,-2.36,2.46,-4.41,9.47,-0.8,13.09,3.99,12.46,4.02
33,EBIT,-4.07,-9.73,-3,-14.12,-23.08,-58.48,-42.99,-46.69,-32.25,-17.18
