,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,133,152,209,294,129,193,253,285,304,336,449
1,Market Cap Growth,-48.44%,-48.44%,62.50%,52.38%,-49.09%,-32.26%,-16.67%,-15.07%,-32.31%,-71.92%,-
2,Enterprise Value,97,107,166,247,73,119,161,145,144,150,244
3,Last Close Price,0.06,0.07,0.09,0.13,0.06,0.08,0.11,0.12,0.13,0.15,0.20
4,PS Ratio,2.08,2.36,2.52,3.94,2.22,2.72,2.26,2.28,2.83,3.35,2.12
5,PB Ratio,2.32,2.65,3.30,4.15,1.76,1.69,1.74,1.32,1.15,1.13,1.33
6,P/TBV Ratio,2.67,2.67,3.37,4.30,1.90,2.10,2.27,1.69,1.46,1.39,1.66
7,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,11.68
8,P/OCF Ratio,-,-,-,-,-,-,-,-,-,-,11.68
9,EV/Sales Ratio,1.51,1.66,2.00,3.30,1.26,1.68,1.44,1.16,1.34,1.50,1.15
10,EV/FCF Ratio,-8.35,-,-,-,-,-,-,-,-,-,6.36
11,Debt / Equity Ratio,-,-,-,-,-,-,-,0.02,0.02,-,-
12,Earnings Yield,-8.69%,-7.64%,-3.96%,-12.39%,-47.64%,-50.51%,-52.86%,-38.86%,-28.85%,-13.55%,2.72%
13,FCF Yield,-8.74%,-7.68%,-2.48%,-4.72%,-17.34%,-19.43%,-27.57%,-15.70%,-4.46%,2.95%,8.56%
14,Buyback Yield / Dilution,-0.30%,-0.36%,-0.25%,-1.39%,-0.12%,0.37%,-0.37%,1.35%,0.78%,-3.53%,-9.43%
15,Total Shareholder Return,-0.30%,-0.36%,-0.25%,-1.39%,-0.12%,0.37%,-0.37%,1.35%,0.78%,-3.53%,-9.43%
